"Time","Steer Angle","Lean Angle"
"572","-22","9.2"
"573","-22","9.2"
"573","-22","9.2"
"574","-22","9.2"
"575","-22","9.2"
"576","-22","9.2"
"576","-22","9.2"
"577","-22","9.2"
"577","-22","9.2"
"578","-22","9.2"
"583","-27","11.4"
"583","-27","11.4"
"584","-27","11.4"
"584","-27","11.4"
"585","-27","11.4"
"588","-31","12.8"
"589","-31","12.8"
"590","-31","12.8"
"590","-31","12.8"
"651","-7","3.1"
"652","-7","3.1"
"652","-7","3.1"
"653","-7","3.1"
"653","-7","3.1"
"654","-7","3.1"
"654","-7","3.1"
"655","-7","3.1"
"655","-7","3.1"
"656","-7","3.1"
"656","-7","3.1"
"656","-7","3.1"
"657","-7","3.1"
"717","-8","3.6"
"753","-7","3.2"
"796","-6","3"
"874","-5","2.6"
"909","-5","2.4"
"950","-4","2.2"
"32","-4","2.2"
"64","-4","2.3"
"105","-5","2.3"
"143","-5","2.4"
"221","-5","2.3"
"279","-5","2.4"
"298","-5","2.4"
"341","-6","2.5"
"417","-6","2.5"
"463","-6","2.6"
"496","-6","2.5"
"573","-5","2.4"
"609","-5","2.2"
"653","-4","2"
"691","-4","1.9"
"766","-3","1.6"
"807","-2","1.3"
"850","-1","1"
"922","0","0.8"
"962","0","0.7"
"999","0","0.6"
"40","0","0.6"
"119","0","0.5"
"155","0","0.5"
"198","0","0.5"
"279","0","0.5"
"312","0","0.5"
"356","-1","0.5"
"391","-1","0.6"
"473","-2","0.8"
"512","-2","1"
"550","-3","1.1"
"626","-2","0.9"
"678","-1","0.6"
"705","0","0.2"
"746","5","-1"
"824","9","-2.2"
"862","13","-3.5"
"908","14","-4"
"981","13","-3.7"
"16","10","-3.2"
"60","6","-2.2"
"114","4","-1.4"
"170","0","-0.4"
"214","-2","0.1"
"248","-3","0.6"
"289","-3","0.7"
"369","-3","0.6"
"407","-2","0.5"
"446","-2","0.5"
"524","-2","0.4"
"561","-2","0.4"
"603","-2","0.5"
"640","-3","0.8"
"717","-3","0.9"
"760","-4","1.1"
"794","-4","1.3"
"878","-5","1.4"
"919","-5","1.6"
"952","-5","1.7"
"993","-5","1.6"
"72","-5","1.7"
"108","-5","1.7"
"150","-4","1.6"
"229","-4","1.6"
"264","-4","1.6"
"316","-4","1.6"
"341","-4","1.7"
"421","-5","1.7"
"462","-5","1.9"
"508","-5","1.9"
"541","-5","1.9"
"618","-5","1.8"
"654","-5","1.8"
"710","-4","1.8"
"775","-4","1.7"
"810","-4","1.7"
"851","-4","1.6"
"928","-4","1.6"
"965","-4","1.6"
"7","-4","1.6"
"45","-3","1.5"
"124","-3","1.5"
"163","-3","1.4"
"200","-3","1.3"
"244","-3","1.2"
"330","-2","1.2"
"355","-3","1.2"
"397","-3","1.3"
"474","-3","1.3"
"499","-3","1.3"
"574","-59","24.7"
"577","-62","0.1"
"579","-63","0.6"
"581","-63","0.6"
"586","-63","0.6"
"589","-65","1.2"
"590","-65","1.2"
"591","-65","1.2"
"592","-65","1.2"
"594","-65","1.2"
"594","-65","1.2"
"595","-65","1.2"
"596","-65","1.2"
"596","-65","1.2"
"597","-65","1.2"
"598","-65","1.2"
"598","-65","1.2"
"599","-65","1.2"
"600","-65","1.2"
"600","-65","1.2"
"601","-65","1.2"
"602","-65","1.2"
"603","-65","1.2"
"604","-65","1.2"
"604","-65","1.2"
"605","-65","1.2"
"606","-65","1.2"
"606","-65","1.2"
"607","-65","1.2"
"608","-65","1.2"
"609","-65","1.2"
"648","-20","8.1"
"691","-14","5.9"
"729","-11","5"
"773","-9","4.6"
"861","-7","3.8"
"883","-6","3.5"
"925","-5","3.1"
"1","-5","3.1"
"39","-5","3"
"82","-5","2.9"
"119","-6","3"
"197","-5","2.8"
"237","-5","2.7"
"273","-5","2.6"
"316","-5","2.6"
"393","-5","2.5"
"429","-5","2.5"
"476","-4","2.4"
"548","-4","2.3"
"585","-4","2.3"
"626","-4","2.1"
"673","-3","1.8"
"742","-2","1.5"
"782","-2","1.3"
"820","-1","1.1"
"897","-1","1"
"940","-1","0.9"
"975","-1","0.9"
"18","-1","1"
"94","-1","0.9"
"130","-2","1"
"171","-2","1"
"255","-2","1.1"
"292","-3","1.2"
"330","-3","1.4"
"365","-3","1.4"
"443","-3","1.3"
"493","-2","1.1"
"522","-1","0.8"
"599","-1","0.7"
"640","0","0.6"
"676","-1","0.6"
"717","-1","0.6"
"797","-2","0.9"
"834","-3","1.2"
"888","-4","1.4"
"952","-4","1.4"
"990","-4","1.5"
"31","-4","1.4"
"69","-3","1.2"
"146","-2","0.9"
"187","-1","0.7"
"224","0","0.5"
"269","0","0.4"
"346","1","0.2"
"381","1","0"
"423","2","-0.3"
"509","3","-0.6"
"536","5","-1.1"
"578","5","-1.4"
"619","6","1.6"
"697","6","-1.8"
"733","7","-2"
"769","8","-2.3"
"848","8","-2.4"
"896","8","-2.5"
"927","8","-2.7"
"969","9","-3"
"49","10","-3.4"
"97","11","-3.5"
"123","10","-3.3"
"205","8","-3"
"240","6","-2.4"
"280","5","-2.2"
"316","4","-1.9"
"395","4","-1.8"
"437","3","-1.4"
"474","2","-1.3"
"552","1","-1"
"593","1","-0.8"
"629","0","-0.6"
"670","0","-0.5"
"748","1","-0.7"
"784","1","-0.7"
"825","1","-0.6"
"904","1","-0.6"
"939","0","-0.4"
"982","0","-0.3"
"18","0","-0.2"
"95","0","-0.2"
"136","0","-0.1"
"176","-1","-0.1"
"216","0","-0.1"
"293","0","-0.1"
"334","0","0"
"373","0","-0.1"
"450","0","-0.2"
"486","0","-0.2"
"538","0","-0.1"
"566","0","0"
