"Time","Steer Angle","Lean Angle"
"565","-18","11.8"
"566","-18","11.8"
"567","-18","11.8"
"568","-18","11.8"
"570","-18","11.8"
"571","-18","11.8"
"572","-18","11.8"
"573","-18","11.8"
"574","-18","11.8"
"575","-18","11.8"
"576","-18","11.8"
"578","-18","11.8"
"579","-18","11.8"
"580","-18","11.8"
"581","-18","11.8"
"685","-3","2"
"732","2","-1.1"
"853","7","-5"
"932","6","-4.2"
"49","6","-3.9"
"122","4","-2.7"
"244","4","-3"
"358","2","-1.6"
"435","0","0.1"
"555","-1","0.7"
"633","1","-0.7"
"747","4","-2.7"
"825","5","-3.1"
"945","3","-2.2"
"22","1","-0.8"
"136","1","-0.4"
"254","2","-1.6"
"333","7","-4.7"
"447","6","-3.9"
"526","6","-4"
"647","4","-2.6"
"725","3","-2.1"
"839","1","-0.7"
"961","5","-3.2"
"37","4","-2.4"
"152","6","-4.3"
"231","11","-7.6"
"351","9","-6"
"430","7","-4.6"
"541","7","-4.5"
"622","6","-4.3"
"738","6","-4.3"
"856","12","-8.1"
"932","10","-6.8"
"53","0","0"
"130","-5","3"
"247","-8","5.5"
"323","-6","3.9"
"444","-4","2.5"
"635","-8","5.1"
"754","-5","3.5"
"832","-4","2.6"
"947","-2","1.6"
"25","-2","1.1"
"342","-18","12.3"
"456","-24","16.3"
"839","-28","18.7"
"839","-29","19.5"
"","",""
