"Time","Steer Angle","Lean Angle"
"411","-2","0.8"
"411","-2","0.8"
"411","-2","0.8"
"411","-2","0.8"
"411","-2","0.8"
"411","-2","0.8"
"411","-2","0.8"
"411","-2","0.8"
"411","3","-1.3"
"411","3","-1.3"
"411","3","-1.3"
"411","3","-1.3"
"411","3","-1.3"
"411","3","-1.3"
"411","3","-1.3"
"411","3","-1.3"
"411","2","-0.8"
"411","-2","0.5"
"411","1","-0.2"
"411","-1","0.5"
"411","-5","1.4"
"411","-3","1"
"411","1","0"
"411","5","-1.1"
"411","8","-2.2"
"411","6","-1.9"
"411","10","-3"
"411","11","-3.5"
"411","7","-2.6"
"411","-2","-0.2"
"411","-3","0.4"
"411","-5","1.1"
"411","-1","0.3"
"411","1","-0.4"
"411","4","-1.1"
"411","4","-1.3"
"411","6","-1.8"
"411","10","-3.1"
"411","2","-1.2"
"411","4","-1.5"
"411","4","-1.6"
"411","2","-1.1"
"411","0","-0.3"
"411","-4","0.8"
"411","-5","1.2"
"411","-3","0.9"
"411","2","-0.4"
"411","8","-2.3"
"411","13","-3.9"
"411","19","-5.6"
"411","36","-10.8"
"411","40","-12.7"
"411","6","-3.9"
"411","-29","5.9"
"411","-43","11.1"
"411","-45","15.3"
"411","-32","10.5"
"411","-19","7.4"
"411","-20","7.7"
"411","-31","10.6"
"411","-19","7.8"
"411","2","1.9"
"411","12","-1.4"
"411","7","-0.8"
"411","-20","6.3"
"411","-45","14.7"
"411","-45","18.7"
"411","-45","17.8"
"411","-36","13.7"
"411","-45","16.3"
"411","-45","19.7"
"834","-45","3.1"
"981","-45","7.1"
"218","-45","7.5"
"296","-45","7.3"
"378","-45","7.4"
"489","-16","6.9"
"489","-21","8.2"
"489","-23","8.9"
"489","-18","7.4"
"489","-8","4.7"
"489","1","1.8"
"489","2","1.1"
"489","4","0.3"
"51","7","-1"
"","",""
