Row, Timestamp, Series 1, Series 2, Series 3, Series 4
0   , 0.499, 0      , 0      , 0      , 0      
1   , 0.509, 0      , 0      , 0      , 0      
2   , 0.519, 2      , 0      , 0      , 3      
3   , 0.529, 2      , 0      , 0      , 3      
4   , 0.539, 2      , 0      , 0      , -2     
5   , 0.549, 2      , -1     , 0      , -4     
6   , 0.559, 2      , -1     , 0      , 1      
7   , 0.569, 2      , 0      , 0      , -3     
8   , 0.579, 2      , -1     , 0      , 3      
9   , 0.589, 2      , 0      , 0      , 3      
10  , 0.601, 2      , 0      , 0      , 8      
11  , 0.610, 2      , 1      , 0      , 3      
12  , 0.619, 29     , 2      , 0      , 3      
13  , 0.629, 29     , 2      , 0      , 3      
14  , 0.641, 29     , 2      , 0      , -2     
15  , 0.650, 29     , 2      , 0      , 14     
16  , 0.661, 29     , 1      , 0      , -11    
17  , 0.671, 29     , 1      , 0      , 15     
18  , 0.684, 29     , 2      , 0      , -18    
19  , 0.689, 29     , 2      , 0      , 18     
20  , 0.699, 29     , 3      , 0      , -6     
21  , 0.711, 29     , 3      , 0      , 16     
22  , 0.720, 47     , 3      , 0      , 3      
23  , 0.731, 47     , 3      , 0      , 3      
24  , 0.741, 47     , 3      , 0      , -4     
25  , 0.752, 47     , 3      , 0      , -2     
26  , 0.762, 47     , 2      , 0      , 0      
27  , 0.771, 47     , 1      , 0      , -1     
28  , 0.781, 47     , 1      , 0      , 5      
29  , 0.792, 47     , 1      , 0      , -1     
30  , 0.801, 47     , 2      , 0      , 7      
31  , 0.811, 47     , 2      , 0      , -1     
32  , 0.821, 52     , 1      , 0      , 6      
33  , 0.831, 52     , 2      , 0      , -5     
34  , 0.841, 52     , 1      , 0      , 3      
35  , 0.852, 52     , 1      , 0      , -6     
36  , 0.861, 52     , 1      , 0      , 7      
37  , 0.872, 52     , 2      , 0      , -10    
38  , 0.882, 52     , 2      , 0      , -5     
39  , 0.892, 52     , 0      , 0      , -12    
40  , 0.901, 52     , -1     , 0      , 0      
41  , 0.912, 52     , -1     , 0      , -9     
42  , 0.922, 54     , -1     , 0      , -10    
43  , 0.932, 54     , -2     , 0      , -7     
44  , 0.941, 54     , -3     , 0      , -4     
45  , 0.951, 54     , -3     , 0      , -10    
46  , 0.961, 54     , -4     , -1     , -4     
47  , 0.972, 54     , -4     , 0      , -4     
48  , 0.982, 54     , -4     , 0      , 1      
49  , 0.992, 54     , -4     , 0      , -11    
50  , 1.001, 54     , -4     , 0      , -9     
51  , 1.011, 54     , -4     , 0      , -6     
52  , 1.021, 53     , -5     , 0      , -10    
53  , 1.031, 53     , -6     , 0      , -7     
54  , 1.041, 53     , -6     , 0      , -12    
55  , 1.051, 53     , -7     , 0      , -3     
56  , 1.061, 53     , -7     , 0      , -5     
57  , 1.071, 53     , -6     , 0      , 3      
58  , 1.085, 53     , -5     , 0      , -2     
59  , 1.095, 53     , -4     , 0      , -9     
60  , 1.107, 53     , -4     , 0      , 5      
61  , 1.117, 54     , -4     , 0      , -11    
62  , 1.127, 54     , -4     , 0      , -1     
63  , 1.137, 54     , -4     , 0      , -14    
64  , 1.147, 54     , -4     , 0      , -6     
65  , 1.157, 54     , -4     , 0      , -10    
66  , 1.167, 54     , -5     , 0      , -5     
67  , 1.177, 54     , -6     , 0      , -1     
68  , 1.187, 54     , -5     , 0      , 7      
69  , 1.197, 54     , -4     , 0      , -5     
70  , 1.207, 54     , -3     , 0      , 3      
71  , 1.217, 55     , -4     , 0      , -6     
72  , 1.227, 55     , -4     , 0      , 0      
