Row, Timestamp, Series 1, Series 2, Series 3, Series 4
0   , 0.535, 0      , 0      , 0      , 0      
1   , 0.545, 0      , 0      , 0      , 0      
2   , 0.555, 0      , 0      , 0      , 0      
3   , 0.565, 4      , 0      , 0      , 0      
4   , 0.575, 4      , 0      , 0      , -1     
5   , 0.585, 4      , 0      , 0      , -1     
6   , 0.595, 4      , 0      , 0      , -2     
7   , 0.605, 4      , 0      , 0      , -2     
8   , 0.615, 4      , 0      , 0      , -3     
9   , 0.625, 4      , 0      , 0      , -3     
10  , 0.635, 4      , 0      , 0      , -4     
11  , 0.645, 4      , 0      , 0      , -4     
12  , 0.655, 4      , 0      , 0      , -5     
13  , 0.665, 33     , 0      , 0      , -6     
14  , 0.675, 33     , 0      , -1     , -7     
15  , 0.685, 33     , 0      , -1     , -9     
16  , 0.695, 33     , 0      , -1     , -10    
17  , 0.705, 33     , 0      , -1     , -11    
18  , 0.715, 33     , 0      , -1     , -12    
19  , 0.725, 33     , -1     , -1     , -11    
20  , 0.735, 33     , -3     , -1     , -12    
21  , 0.745, 33     , -4     , -1     , -11    
22  , 0.755, 33     , -6     , -1     , -11    
23  , 0.765, 48     , -7     , -1     , -11    
24  , 0.775, 48     , -9     , -1     , -11    
25  , 0.785, 48     , -10    , -1     , -11    
26  , 0.795, 48     , -11    , -1     , -10    
27  , 0.805, 48     , -12    , -1     , -9     
28  , 0.815, 48     , -11    , -1     , -7     
29  , 0.825, 48     , -10    , 0      , -5     
30  , 0.835, 48     , -10    , 0      , -2     
31  , 0.845, 48     , -9     , 0      , 1      
32  , 0.855, 48     , -9     , 0      , 3      
33  , 0.865, 51     , -8     , 0      , 4      
34  , 0.875, 51     , -6     , 0      , 5      
35  , 0.885, 51     , -4     , 0      , 5      
36  , 0.895, 51     , -2     , 0      , 6      
37  , 0.905, 51     , 0      , 0      , 6      
38  , 0.915, 51     , 2      , 0      , 6      
39  , 0.925, 51     , 4      , 0      , 6      
40  , 0.936, 51     , 6      , 0      , 5      
41  , 0.946, 51     , 7      , 0      , 5      
42  , 0.955, 51     , 7      , 0      , 4      
43  , 0.965, 51     , 7      , 0      , 4      
44  , 0.975, 51     , 7      , 0      , 4      
45  , 0.985, 51     , 7      , 0      , 4      
46  , 0.995, 51     , 7      , 0      , 4      
47  , 1.005, 51     , 7      , 0      , 4      
48  , 1.015, 51     , 7      , 0      , 4      
49  , 1.025, 51     , 7      , 0      , 4      
50  , 1.035, 51     , 7      , 0      , 4      
51  , 1.045, 51     , 7      , 0      , 4      
52  , 1.055, 51     , 7      , 0      , 3      
53  , 1.065, 51     , 7      , 0      , 3      
54  , 1.075, 51     , 7      , 0      , 1      
55  , 1.085, 51     , 7      , 0      , 0      
56  , 1.095, 51     , 7      , 0      , -1     
57  , 1.105, 51     , 7      , 0      , -3     
58  , 1.115, 51     , 7      , 0      , -5     
59  , 1.125, 51     , 6      , 0      , -5     
60  , 1.135, 51     , 5      , 0      , -6     
61  , 1.145, 51     , 4      , -1     , -6     
62  , 1.155, 51     , 3      , -1     , -7     
63  , 1.165, 53     , 1      , -1     , -6     
64  , 1.175, 53     , 0      , 0      , -5     
65  , 1.185, 53     , -1     , 0      , -4     
66  , 1.195, 53     , -2     , 0      , -3     
67  , 1.205, 53     , -3     , 0      , -2     
68  , 1.215, 53     , -3     , 0      , -1     
69  , 1.225, 53     , -2     , 0      , 1      
70  , 1.235, 53     , -2     , 0      , 2      
71  , 1.245, 53     , -1     , 0      , 3      
72  , 1.255, 53     , -1     , 0      , 3      
73  , 1.266, 55     , 0      , 0      , 3      
74  , 1.276, 55     , 1      , 0      , 2      
75  , 1.286, 55     , 2      , 0      , 2      
76  , 1.296, 55     , 2      , 0      , 1      
77  , 1.306, 55     , 2      , 0      , 1      
78  , 1.316, 55     , 1      , 0      , 0      
79  , 1.326, 55     , 1      , 0      , -1     
80  , 1.336, 55     , 0      , 0      , -1     
81  , 1.346, 55     , 0      , 0      , -1     
82  , 1.356, 55     , 0      , 0      , -1     
83  , 1.366, 56     , 0      , 0      , -1     
84  , 1.376, 56     , 0      , 0      , -2     
85  , 1.386, 56     , 0      , 0      , -2     
86  , 1.396, 56     , 0      , 0      , -2     
87  , 1.406, 56     , 0      , 0      , -3     
88  , 1.416, 56     , 0      , 0      , -4     
89  , 1.426, 56     , 0      , -1     , -6     
90  , 1.436, 56     , 0      , -1     , -7     
91  , 1.446, 56     , 0      , -1     , -9     
92  , 1.457, 56     , 0      , -1     , -11    
93  , 1.467, 54     , -1     , -1     , -14    
94  , 1.476, 54     , -2     , -1     , -16    
95  , 1.486, 54     , -4     , -2     , -18    
96  , 1.496, 54     , -6     , -2     , -20    
97  , 1.506, 54     , -8     , -2     , -22    
98  , 1.516, 54     , -10    , -2     , -24    
99  , 1.526, 54     , -13    , -2     , -24    
100 , 1.536, 54     , -15    , -2     , -23    
101 , 1.547, 54     , -18    , -2     , -22    
102 , 1.557, 54     , -19    , -2     , -19    
103 , 1.567, 56     , -20    , -1     , -17    
104 , 1.577, 56     , -19    , -1     , -14    
105 , 1.589, 56     , -19    , -1     , -9     
106 , 1.599, 56     , -19    , 0      , -6     
107 , 1.609, 56     , -18    , 0      , -3     
108 , 1.619, 56     , -16    , 0      , -1     
109 , 1.629, 56     , -15    , 0      , 1      
110 , 1.639, 56     , -13    , 0      , 1      
111 , 1.652, 56     , -10    , 0      , 2      
112 , 1.662, 54     , -8     , 0      , 1      
113 , 1.672, 54     , -7     , 0      , 1      
114 , 1.682, 54     , -5     , 0      , 1      
115 , 1.692, 54     , -3     , 0      , 1      
116 , 1.702, 54     , -2     , 0      , 1      
117 , 1.712, 54     , -1     , 0      , 0      
118 , 1.722, 54     , 0      , 0      , -2     
119 , 1.732, 54     , 0      , 0      , -2     
120 , 1.742, 54     , 0      , 0      , -3     
121 , 1.752, 54     , 0      , 0      , -3     
122 , 1.762, 55     , 0      , 0      , -4     
123 , 1.772, 55     , 0      , 0      , -4     
124 , 1.782, 55     , 0      , 0      , -3     
125 , 1.792, 55     , 0      , 0      , -1     
126 , 1.802, 55     , 0      , 0      , -1     
127 , 1.812, 55     , 0      , 0      , 1      
128 , 1.822, 55     , 1      , 0      , 3      
129 , 1.832, 55     , 1      , 0      , 5      
130 , 1.842, 55     , 1      , 1      , 7      
131 , 1.852, 55     , 2      , 1      , 9      
132 , 1.864, 56     , 3      , 1      , 11     
133 , 1.873, 56     , 4      , 1      , 13     
134 , 1.882, 56     , 6      , 1      , 16     
135 , 1.892, 56     , 7      , 1      , 18     
136 , 1.902, 56     , 9      , 2      , 20     
137 , 1.912, 56     , 10     , 2      , 21     
138 , 1.922, 56     , 12     , 2      , 22     
139 , 1.932, 56     , 14     , 2      , 22     
140 , 1.942, 56     , 16     , 2      , 23     
141 , 1.952, 56     , 18     , 2      , 23     
142 , 1.962, 55     , 19     , 2      , 22     
143 , 1.972, 55     , 21     , 2      , 21     
144 , 1.982, 55     , 22     , 2      , 19     
145 , 1.992, 55     , 22     , 1      , 18     
146 , 2.002, 55     , 22     , 1      , 16     
147 , 2.012, 55     , 22     , 1      , 15     
148 , 2.022, 55     , 22     , 1      , 15     
149 , 2.032, 55     , 22     , 1      , 15     
150 , 2.042, 55     , 22     , 1      , 14     
151 , 2.052, 55     , 21     , 1      , 14     
152 , 2.062, 57     , 21     , 1      , 14     
153 , 2.072, 57     , 20     , 1      , 14     
154 , 2.082, 57     , 20     , 1      , 14     
155 , 2.092, 57     , 20     , 1      , 15     
156 , 2.102, 57     , 19     , 1      , 16     
157 , 2.112, 57     , 18     , 1      , 18     
158 , 2.122, 57     , 18     , 2      , 19     
159 , 2.132, 57     , 19     , 2      , 21     
160 , 2.142, 57     , 19     , 2      , 23     
161 , 2.152, 57     , 20     , 2      , 25     
162 , 2.162, 55     , 21     , 2      , 26     
163 , 2.172, 55     , 22     , 2      , 28     
164 , 2.182, 55     , 24     , 2      , 30     
165 , 2.193, 55     , 25     , 2      , 29     
166 , 2.202, 55     , 27     , 2      , 29     
167 , 2.212, 55     , 28     , 2      , 28     
168 , 2.223, 55     , 29     , 2      , 26     
169 , 2.233, 55     , 28     , 2      , 23     
170 , 2.243, 55     , 28     , 2      , 20     
171 , 2.253, 55     , 28     , 1      , 18     
172 , 2.263, 55     , 28     , 1      , 15     
173 , 2.273, 55     , 27     , 1      , 11     
174 , 2.283, 55     , 26     , 1      , 7      
175 , 2.293, 55     , 24     , 0      , 3      
176 , 2.303, 55     , 23     , 0      , -1     
177 , 2.313, 55     , 21     , 0      , -5     
178 , 2.323, 55     , 17     , -1     , -8     
179 , 2.333, 55     , 15     , -1     , -10    
180 , 2.343, 55     , 11     , -1     , -11    
181 , 2.353, 55     , 7      , -1     , -12    
182 , 2.363, 56     , 3      , -1     , -13    
183 , 2.373, 56     , 1      , -1     , -14    
184 , 2.383, 56     , -2     , -1     , -15    
185 , 2.393, 56     , -6     , -1     , -16    
186 , 2.403, 56     , -8     , -1     , -17    
187 , 2.413, 56     , -10    , -1     , -18    
188 , 2.423, 56     , -13    , -2     , -19    
189 , 2.433, 56     , -15    , -2     , -20    
190 , 2.443, 56     , -16    , -2     , -21    
191 , 2.453, 56     , -18    , -2     , -23    
192 , 2.463, 56     , -20    , -2     , -24    
193 , 2.473, 56     , -21    , -2     , -26    
194 , 2.483, 56     , -23    , -2     , -27    
195 , 2.493, 56     , -24    , -2     , -29    
196 , 2.503, 56     , -26    , -3     , -32    
197 , 2.513, 56     , -27    , -3     , -34    
198 , 2.523, 56     , -29    , -3     , -36    
199 , 2.533, 56     , -31    , -3     , -37    
200 , 2.543, 56     , -33    , -3     , -39    
201 , 2.553, 56     , -34    , -3     , -41    
202 , 2.563, 55     , -36    , -4     , -44    
203 , 2.573, 55     , -38    , -4     , -45    
204 , 2.583, 55     , -40    , -4     , -48    
205 , 2.593, 55     , -42    , -4     , -49    
206 , 2.603, 55     , -44    , -4     , -49    
207 , 2.613, 55     , -45    , -4     , -50    
208 , 2.623, 55     , -47    , -4     , -51    
209 , 2.637, 55     , -50    , -4     , -51    
210 , 2.645, 55     , -51    , -4     , -50    
211 , 2.654, 55     , -52    , -4     , -49    
212 , 2.664, 55     , -51    , -4     , -47    
213 , 2.674, 55     , -51    , -4     , -45    
214 , 2.684, 55     , -51    , -3     , -41    
215 , 2.694, 55     , -51    , -3     , -35    
216 , 2.704, 55     , -51    , -2     , -29    
217 , 2.714, 55     , -50    , -2     , -22    
218 , 2.724, 55     , -48    , -1     , -15    
219 , 2.734, 55     , -46    , -1     , -9     
220 , 2.744, 55     , -43    , 0      , 0      
221 , 2.754, 55     , -39    , 1      , 10     
222 , 2.764, 55     , -34    , 2      , 21     
223 , 2.774, 55     , -29    , 3      , 30     
224 , 2.786, 55     , -22    , 3      , 39     
225 , 2.796, 55     , -16    , 4      , 46     
226 , 2.806, 55     , -9     , 4      , 50     
227 , 2.816, 55     , -4     , 4      , 54     
228 , 2.827, 55     , 7      , 5      , 57     
229 , 2.837, 55     , 14     , 5      , 59     
230 , 2.847, 55     , 24     , 5      , 60     
231 , 2.857, 55     , 33     , 5      , 61     
232 , 2.867, 56     , 42     , 5      , 60     
233 , 2.877, 56     , 48     , 5      , 60     
234 , 2.887, 56     , 55     , 5      , 61     
235 , 2.897, 56     , 61     , 5      , 61     
236 , 2.907, 56     , 65     , 5      , 61     
237 , 2.917, 56     , 67     , 5      , 61     
238 , 2.927, 56     , 67     , 5      , 60     
239 , 2.937, 56     , 67     , 5      , 58     
240 , 2.947, 56     , 66     , 5      , 55     
241 , 2.957, 56     , 65     , 4      , 51     
242 , 2.967, 55     , 63     , 4      , 48     
243 , 2.977, 55     , 60     , 4      , 44     
244 , 2.987, 55     , 57     , 3      , 41     
245 , 2.997, 55     , 54     , 3      , 36     
246 , 3.007, 55     , 50     , 3      , 31     
247 , 3.017, 55     , 46     , 2      , 23     
248 , 3.027, 55     , 42     , 1      , 14     
249 , 3.037, 55     , 38     , 0      , 3      
250 , 3.047, 55     , 35     , -1     , -8     
251 , 3.058, 55     , 30     , -2     , -19    
252 , 3.067, 54     , 26     , -2     , -26    
253 , 3.077, 54     , 22     , -3     , -33    
254 , 3.088, 54     , 16     , -3     , -37    
255 , 3.098, 54     , 11     , -3     , -39    
256 , 3.108, 54     , 5      , -3     , -39    
257 , 3.118, 54     , -2     , -3     , -40    
258 , 3.127, 54     , -9     , -3     , -40    
259 , 3.137, 54     , -14    , -3     , -37    
