t	v	delta	phi	u
0	0	0	0	0
1	0	0	0	0
2	3	0	0	-1
3	3	-1	0	-1
4	3	-1	0	-2
5	3	-1	0	-2
6	3	-1	0	0
7	3	0	0	1
8	3	0	0	-2
9	3	-1	0	-1
10	3	-1	0	-3
11	3	-1	0	-1
12	32	-1	0	0
13	32	0	0	2
14	32	0	0	4
15	32	0	0	9
16	32	0	0	7
17	32	0	0	12
18	32	0	1	10
19	32	2	1	12
20	32	3	1	15
21	32	4	1	18
22	47	6	1	16
23	47	8	1	13
24	47	10	1	5
25	47	10	1	2
26	47	9	1	6
27	47	8	0	4
28	47	7	0	5
29	47	7	0	7
30	47	6	0	8
31	47	6	1	8
32	52	6	1	9
33	52	6	1	9
34	52	6	1	4
35	52	6	1	9
36	52	6	1	10
37	52	7	1	9
38	52	7	1	8
39	52	8	1	8
40	52	8	1	8
41	52	8	1	6
42	50	8	0	6
43	50	8	0	4
44	50	8	0	2
45	50	7	0	0
46	50	7	0	2
47	50	7	0	0
48	50	7	0	1
49	50	7	0	-1
50	50	7	0	0
51	50	7	0	-1
52	49	7	0	-3
53	49	7	0	-2
54	49	7	0	-6
55	49	7	0	-13
56	49	7	-1	-13
57	49	5	-1	-13
58	49	2	-1	-17
59	49	0	-1	-13
60	49	-2	-1	-8
61	49	-4	-1	-5
62	52	-5	0	0
63	52	-5	0	2
64	52	-5	0	8
65	52	-4	0	13
66	52	-3	1	13
67	52	-1	1	12
68	52	0	1	11
69	52	2	1	8
70	52	3	1	6
71	52	4	0	-1
72	54	4	0	-2
73	54	4	0	-5
74	54	3	0	-3
75	54	2	0	-3
76	54	1	0	1
77	54	1	0	0
78	54	1	0	5
79	54	1	0	4
80	54	2	0	7
81	54	2	0	6
82	57	3	0	4
83	57	4	0	0
84	57	4	0	0
85	57	3	0	-3
86	57	1	0	-4
87	57	0	0	-4
88	57	-1	0	-3
89	57	-1	0	-6
90	57	-2	0	-2
91	57	-2	0	1
92	56	-2	0	4
93	56	-2	0	4
94	56	-1	0	6
95	56	0	0	9
96	56	1	0	9
97	56	2	0	8
98	56	3	1	9
99	56	4	1	7
100	56	4	1	6
101	56	5	0	6
102	55	5	0	5
103	55	5	0	3
104	55	5	0	4
105	55	4	0	8
106	55	4	0	10
107	55	5	1	11
108	55	6	1	16
109	55	7	1	16
110	55	8	1	18
111	55	10	1	20
112	54	11	1	17
113	54	12	1	17
114	54	13	1	13
115	54	13	1	11
116	54	13	1	9
117	54	12	1	8
118	54	11	1	6
119	54	11	1	5
120	54	11	1	6
121	54	11	1	12
122	56	11	1	9
123	56	11	1	11
124	56	11	1	10
125	56	11	1	9
126	56	11	1	5
127	56	11	0	3
128	56	11	0	-1
129	56	11	0	0
130	56	11	0	-4
131	56	10	0	-3
132	55	9	0	-8
133	55	7	0	-9
134	55	6	-1	-13
135	55	4	-1	-17
136	55	1	-1	-16
137	55	-1	-1	-18
138	55	-3	-1	-19
139	55	-6	-1	-14
140	55	-8	-1	-9
141	55	-10	-1	-2
142	56	-11	0	2
143	56	-10	0	6
144	56	-8	0	10
145	56	-7	0	7
146	56	-5	0	1
147	56	-4	0	-3
148	56	-3	0	-9
149	56	-4	0	-16
150	56	-5	-1	-15
151	56	-6	-1	-19
152	53	-8	-1	-19
153	53	-10	-1	-22
154	53	-12	-1	-15
155	53	-13	-1	-12
156	53	-14	-1	-7
157	53	-14	-1	-1
158	53	-13	0	8
159	53	-12	0	10
160	53	-11	0	13
161	53	-8	0	9
162	56	-6	0	8
163	56	-4	0	5
164	56	-2	0	6
165	56	0	0	-2
166	56	0	0	-1
167	56	-1	0	-6
168	56	-1	0	-4
169	56	-3	0	-4
170	56	-3	0	0
171	56	-2	0	-2
172	56	-2	0	1
173	56	-2	0	2
174	56	-2	0	7
175	56	-2	0	10
176	56	-1	0	11
177	56	1	1	9
178	56	2	1	12
179	56	3	1	17
180	56	4	1	12
181	56	6	1	15
182	56	7	1	13
183	56	8	1	12
184	56	10	1	14
185	56	11	1	13
186	56	12	1	12
187	56	12	1	12
188	56	13	1	12
189	56	12	1	13
190	56	13	1	10
191	56	13	1	11
192	56	12	1	11
193	56	12	1	13
194	56	13	1	12
195	56	13	1	15
196	56	13	1	16
197	56	13	1	20
198	56	13	1	22
199	56	13	1	25
200	56	14	2	25
201	56	15	2	28
202	55	17	2	30
203	55	19	2	34
204	55	21	2	32
205	55	23	2	30
206	55	26	2	23
207	55	27	2	17
208	55	26	2	16
209	55	24	1	14
210	55	24	1	4
211	55	23	1	8
212	54	22	1	8
213	54	20	1	7
214	54	18	1	5
215	54	17	1	7
216	54	15	1	7
217	54	13	1	7
218	54	12	0	7
219	54	10	1	9
220	54	9	1	7
221	54	9	1	10
222	55	9	1	9
223	55	10	1	9
224	55	9	1	7
225	55	9	1	6
226	55	9	0	5
227	55	9	0	2
228	55	9	0	-3
229	55	9	0	-4
230	55	8	0	-2
231	55	7	0	-8
232	56	6	0	-6
233	56	5	0	-5
234	56	3	0	-8
235	56	2	0	-8
236	56	0	0	-4
237	56	-1	0	-7
238	56	-2	0	-3
239	56	-3	0	-1
240	56	-4	0	-3
241	56	-4	0	-3
242	55	-4	0	0
243	55	-4	0	-1
244	55	-4	0	-4
245	55	-4	0	-8
246	55	-4	0	-9
247	55	-5	-1	-14
248	55	-6	-1	-15
249	55	-7	-1	-21
250	55	-9	-1	-21
251	55	-11	-1	-25
252	55	-13	-1	-23
253	55	-16	-2	-23
254	55	-18	-2	-20
255	55	-20	-1	-20
256	55	-21	-1	-15
257	55	-21	-1	-13
258	55	-20	-1	-9
259	55	-20	-1	-12
260	55	-20	-1	-16
261	54	-19	-1	-17
262	54	-19	-1	-17
263	54	-19	-1	-23
264	54	-19	-1	-21
265	54	-19	-1	-22
266	54	-20	-1	-20
267	54	-20	-1	-23
268	54	-20	-1	-21
269	54	-21	-1	-21
270	54	-22	-1	-21
271	56	-21	-1	-22
272	56	-21	-1	-19
273	56	-21	-1	-18
274	56	-21	-1	-15
275	56	-21	-1	-13
276	56	-21	-1	-12
277	56	-21	-1	-13
278	56	-21	-1	-6
279	56	-20	-1	-9
280	56	-20	-1	0
281	55	-20	0	1
282	55	-19	0	9
283	55	-18	0	12
284	55	-15	1	19
285	55	-13	1	24
286	55	-8	1	23
287	55	-3	1	26
288	55	2	1	23
289	55	6	2	22
290	55	9	1	17
291	55	12	1	13
292	55	15	1	11
293	55	16	1	7
294	55	15	1	7
295	55	14	1	5
296	55	13	1	9
297	55	12	1	10
298	55	12	1	16
299	55	12	1	20
300	55	13	1	24
301	55	15	2	32
302	55	17	2	32
303	55	19	2	38
304	55	22	2	38
305	55	24	2	39
306	55	27	3	37
307	55	30	3	35
308	55	33	2	33
309	55	34	2	30
310	55	34	2	25
311	55	34	2	20
312	55	34	2	16
313	55	32	1	15
314	55	31	1	11
315	55	28	1	13
316	55	26	1	14
317	55	24	1	15
318	55	23	1	19
319	55	21	1	24
320	55	21	2	27
321	56	22	2	32
322	56	23	2	31
323	56	24	2	33
324	56	26	2	32
325	56	28	2	31
326	56	29	2	27
327	56	30	2	20
328	56	29	2	19
329	56	28	1	10
330	56	27	1	3
331	56	25	1	2
332	56	23	1	2
333	56	21	0	4
334	56	18	0	4
335	56	15	0	3
336	56	13	0	3
337	56	10	0	5
338	56	9	0	4
339	56	7	0	5
340	56	6	0	2
341	55	5	0	3
342	55	4	0	0
343	55	4	0	-1
344	55	3	0	-3
345	55	2	0	-6
346	55	1	0	-11
347	55	0	-1	-14
348	55	-2	-1	-17
349	55	-4	-1	-16
350	55	-6	-1	-21
351	56	-8	-1	-19
352	56	-11	-1	-20
353	56	-13	-1	-19
354	56	-15	-1	-20
355	56	-17	-1	-20
356	56	-19	-1	-18
357	56	-20	-1	-23
358	56	-20	-2	-26
359	56	-21	-2	-24
360	56	-22	-2	-27
361	54	-24	-2	-33
362	54	-26	-2	-36
363	54	-27	-2	-34
364	54	-30	-2	-37
365	54	-32	-2	-37
366	54	-34	-3	-37
367	54	-35	-3	-35
368	54	-36	-2	-32
369	54	-36	-2	-32
370	54	-35	-2	-32
371	57	-35	-2	-27
372	57	-35	-2	-31
373	57	-35	-2	-25
374	57	-35	-2	-27
375	57	-35	-2	-25
376	57	-35	-2	-24
377	57	-35	-2	-18
378	57	-35	-1	-15
379	57	-35	-1	-7
380	57	-33	-1	0
381	55	-30	0	4
382	55	-27	0	8
383	55	-23	0	10
384	55	-19	0	11
385	55	-15	1	10
386	55	-11	0	3
