Row, Timestamp, Series 1, Series 2, Series 3, Series 4
0   , 0.057, 0      , 0      , 0      , 0      
1   , 0.067, 0      , 0      , 0      , 0      
2   , 0.077, 2      , 0      , 0      , 0      
3   , 0.087, 2      , 0      , 0      , -4     
4   , 0.097, 2      , 0      , 0      , -4     
5   , 0.107, 2      , 0      , 0      , -5     
6   , 0.117, 2      , 0      , 0      , -1     
7   , 0.127, 2      , 0      , 0      , -3     
8   , 0.137, 2      , 0      , 0      , -3     
9   , 0.151, 2      , 0      , 0      , 0      
10  , 0.160, 2      , 0      , 0      , -7     
11  , 0.170, 2      , 0      , 0      , -6     
12  , 0.181, 32     , 0      , 0      , -6     
13  , 0.191, 32     , 0      , 0      , -9     
14  , 0.201, 32     , 0      , -1     , -10    
15  , 0.211, 32     , 0      , -1     , -11    
16  , 0.221, 32     , -1     , -1     , -10    
17  , 0.231, 32     , -3     , -1     , -9     
18  , 0.241, 32     , -4     , -1     , -13    
19  , 0.251, 32     , -5     , -1     , -10    
20  , 0.261, 32     , -6     , -1     , -10    
21  , 0.271, 32     , -7     , -1     , -6     
22  , 0.281, 47     , -8     , -1     , -7     
23  , 0.291, 47     , -8     , -1     , -3     
24  , 0.301, 47     , -8     , -1     , -1     
25  , 0.311, 47     , -7     , 0      , 0      
26  , 0.321, 47     , -7     , 0      , -1     
27  , 0.331, 47     , -6     , 0      , -4     
28  , 0.341, 47     , -5     , 0      , -3     
29  , 0.351, 47     , -5     , 0      , -4     
30  , 0.361, 47     , -4     , 0      , -5     
31  , 0.371, 47     , -5     , 0      , 5      
32  , 0.381, 53     , -4     , 0      , 2      
33  , 0.391, 53     , -4     , 0      , 13     
34  , 0.401, 53     , -4     , 0      , 10     
35  , 0.411, 53     , -2     , 0      , 11     
36  , 0.421, 53     , -1     , 1      , 13     
37  , 0.431, 53     , 1      , 1      , 13     
38  , 0.441, 53     , 3      , 1      , 5      
39  , 0.451, 53     , 4      , 1      , 4      
40  , 0.461, 53     , 5      , 0      , -1     
41  , 0.471, 53     , 5      , 0      , -7     
42  , 0.481, 55     , 4      , 0      , -14    
43  , 0.491, 55     , 3      , 0      , 14     
44  , 0.501, 55     , 2      , 0      , -9     
45  , 0.512, 55     , 2      , 0      , 12     
46  , 0.522, 55     , 2      , 0      , -12    
47  , 0.531, 55     , 2      , 0      , 7      
48  , 0.541, 55     , 2      , 0      , -8     
49  , 0.551, 55     , 2      , 0      , 3      
50  , 0.561, 55     , 2      , 0      , 1      
51  , 0.571, 55     , 2      , 0      , 0      
52  , 0.581, 54     , 2      , 0      , -11    
53  , 0.591, 54     , 1      , 0      , -12    
54  , 0.601, 54     , 0      , -1     , -20    
55  , 0.611, 54     , -3     , -1     , -13    
56  , 0.621, 54     , -4     , -1     , -19    
57  , 0.631, 54     , -6     , -1     , -12    
58  , 0.641, 54     , -8     , -1     , -8     
59  , 0.651, 54     , -9     , -1     , -3     
60  , 0.661, 54     , -8     , 0      , 15     
61  , 0.671, 54     , -6     , 0      , 9      
62  , 0.681, 55     , -4     , 0      , 15     
63  , 0.693, 55     , -2     , 0      , 4      
64  , 0.703, 55     , 0      , 0      , 2      
65  , 0.713, 55     , 1      , 0      , -5     
66  , 0.723, 55     , 1      , 0      , -15    
67  , 0.733, 55     , -1     , 0      , -21    
68  , 0.743, 55     , -3     , -1     , -24    
69  , 0.753, 55     , -5     , -1     , -24    
70  , 0.763, 55     , -7     , -1     , -10    
71  , 0.773, 55     , -9     , -1     , -11    
72  , 0.783, 54     , -10    , -1     , 4      
73  , 0.793, 54     , -10    , -1     , 5      
74  , 0.803, 54     , -9     , 0      , 12     
75  , 0.813, 54     , -6     , 0      , 15     
76  , 0.823, 54     , -4     , 0      , 17     
77  , 0.833, 54     , -2     , 0      , 4      
78  , 0.843, 54     , -1     , 0      , -1     
79  , 0.853, 54     , 0      , 0      , -10    
80  , 0.863, 54     , 0      , 0      , -17    
81  , 0.873, 54     , 0      , -1     , -25    
82  , 0.883, 56     , -2     , -1     , -23    
83  , 0.893, 56     , -4     , -1     , -22    
84  , 0.903, 56     , -7     , -1     , -22    
85  , 0.913, 56     , -10    , -1     , -18    
86  , 0.923, 56     , -12    , -1     , 4      
87  , 0.933, 56     , -12    , -1     , -5     
88  , 0.943, 56     , -11    , 0      , 24     
89  , 0.953, 56     , -8     , 0      , 17     
90  , 0.963, 56     , -5     , 0      , 21     
91  , 0.973, 56     , -2     , 1      , 6      
92  , 0.983, 56     , 0      , 1      , 7      
93  , 0.993, 56     , 2      , 0      , -7     
94  , 1.003, 56     , 2      , 0      , -13    
95  , 1.013, 56     , 0      , 0      , -23    
96  , 1.023, 56     , -1     , -1     , -21    
97  , 1.033, 56     , -4     , -1     , -16    
98  , 1.044, 56     , -6     , -1     , -9     
99  , 1.053, 56     , -7     , -1     , 7      
100 , 1.063, 56     , -6     , 0      , 11     
101 , 1.073, 56     , -5     , 0      , 30     
102 , 1.083, 55     , -1     , 1      , 32     
103 , 1.093, 55     , 1      , 1      , 43     
104 , 1.103, 55     , 5      , 2      , 18     
105 , 1.113, 55     , 9      , 2      , 20     
106 , 1.123, 55     , 11     , 1      , 4      
107 , 1.133, 55     , 12     , 1      , 0      
108 , 1.143, 55     , 11     , 1      , -23    
109 , 1.153, 55     , 10     , 0      , -11    
110 , 1.163, 55     , 8      , 0      , -12    
111 , 1.173, 55     , 5      , 0      , 4      
112 , 1.183, 55     , 3      , 0      , 12     
113 , 1.193, 55     , 4      , 0      , 22     
114 , 1.203, 55     , 6      , 1      , 39     
115 , 1.213, 55     , 8      , 2      , 50     
116 , 1.223, 55     , 12     , 2      , 46     
