Row, Timestamp, Series 1, Series 2, Series 3, Series 4
0   , 0.829, 0      , 0      , 0      , 0      
1   , 0.839, 0      , 0      , 0      , 0      
2   , 0.850, 2      , 0      , 0      , 0      
3   , 0.861, 2      , 0      , 0      , 0      
4   , 0.870, 2      , 0      , 0      , 0      
5   , 0.880, 2      , 0      , 0      , 0      
6   , 0.890, 2      , 0      , 0      , -1     
7   , 0.900, 2      , 0      , 0      , -2     
8   , 0.910, 2      , 0      , 0      , -2     
9   , 0.920, 2      , 0      , 0      , -2     
10  , 0.930, 2      , 0      , 0      , -3     
11  , 0.940, 2      , 0      , 0      , -4     
12  , 0.950, 32     , 0      , 0      , -3     
13  , 0.960, 32     , 0      , 0      , -2     
14  , 0.970, 32     , 0      , 0      , -1     
15  , 0.981, 32     , 0      , 0      , 0      
16  , 0.990, 32     , 0      , 0      , 3      
17  , 1.000, 32     , 1      , 0      , 5      
18  , 1.010, 32     , 1      , 0      , 7      
19  , 1.020, 32     , 1      , 1      , 10     
20  , 1.030, 32     , 1      , 1      , 12     
21  , 1.040, 32     , 1      , 1      , 14     
22  , 1.050, 47     , 1      , 1      , 15     
23  , 1.060, 47     , 2      , 1      , 16     
24  , 1.070, 47     , 4      , 1      , 15     
25  , 1.080, 47     , 7      , 1      , 15     
26  , 1.090, 47     , 9      , 1      , 14     
27  , 1.100, 47     , 11     , 1      , 14     
28  , 1.110, 47     , 12     , 1      , 14     
29  , 1.120, 47     , 13     , 1      , 12     
30  , 1.130, 47     , 13     , 1      , 11     
31  , 1.140, 47     , 12     , 1      , 11     
32  , 1.150, 52     , 12     , 1      , 10     
33  , 1.160, 52     , 11     , 1      , 11     
34  , 1.170, 52     , 11     , 1      , 11     
35  , 1.180, 52     , 11     , 1      , 12     
36  , 1.190, 52     , 12     , 1      , 12     
37  , 1.200, 52     , 12     , 1      , 12     
38  , 1.210, 52     , 12     , 1      , 12     
39  , 1.221, 52     , 12     , 1      , 11     
40  , 1.231, 52     , 12     , 1      , 11     
41  , 1.242, 52     , 12     , 1      , 10     
42  , 1.251, 50     , 12     , 1      , 9      
43  , 1.261, 50     , 12     , 1      , 10     
44  , 1.271, 50     , 12     , 1      , 10     
45  , 1.281, 50     , 12     , 1      , 9      
46  , 1.291, 50     , 12     , 1      , 8      
47  , 1.301, 50     , 12     , 1      , 8      
48  , 1.311, 50     , 12     , 1      , 7      
49  , 1.321, 50     , 12     , 0      , 6      
50  , 1.331, 50     , 12     , 0      , 5      
51  , 1.341, 50     , 12     , 0      , 3      
52  , 1.351, 49     , 12     , 0      , 1      
53  , 1.361, 49     , 11     , 0      , -2     
