Row, Timestamp, Series 1, Series 2, Series 3, Series 4
0   , 0.352, 0      , 0      , 0      , -4     
1   , 0.362, 0      , 0      , 0      , -30    
2   , 0.373, 6      , 0      , 0      , 0      
3   , 0.384, 6      , 0      , 0      , -13    
4   , 0.394, 6      , 0      , 0      , 36     
5   , 0.406, 6      , 0      , 0      , -229   
6   , 0.417, 6      , 0      , 0      , -54    
7   , 0.428, 6      , -1     , 0      , 31     
8   , 0.438, 6      , 0      , 0      , 64     
9   , 0.448, 6      , 1      , 0      , 215    
10  , 0.458, 6      , 2      , 0      , 279    
11  , 0.469, 6      , 3      , 0      , 317    
12  , 0.479, 71     , 4      , 0      , 369    
13  , 0.489, 71     , 3      , 0      , 227    
14  , 0.499, 71     , 3      , 0      , 253    
15  , 0.509, 71     , 3      , 0      , 85     
16  , 0.519, 71     , 3      , 0      , -57    
17  , 0.529, 71     , 2      , 0      , -80    
18  , 0.540, 71     , 1      , 0      , 172    
19  , 0.550, 71     , 1      , 0      , 365    
20  , 0.560, 71     , 2      , -1     , 672    
21  , 0.570, 71     , 4      , -1     , 667    
22  , 0.580, 100    , 5      , 0      , 193    
23  , 0.590, 100    , 6      , -1     , 406    
24  , 0.601, 100    , 5      , -1     , 533    
25  , 0.611, 100    , 4      , -1     , 402    
26  , 0.621, 100    , 5      , -1     , 456    
27  , 0.631, 100    , 5      , -1     , 744    
28  , 0.642, 100    , 5      , -1     , 612    
29  , 0.651, 100    , 6      , -1     , 544    
30  , 0.662, 100    , 6      , -1     , 611    
31  , 0.673, 111    , 5      , -1     , 676    
32  , 0.682, 111    , 5      , -1     , 679    
33  , 0.693, 111    , 5      , -1     , 608    
34  , 0.704, 111    , 6      , -1     , 858    
35  , 0.720, 111    , 7      , -1     , 866    
36  , 0.727, 111    , 8      , -1     , 793    
37  , 0.738, 111    , 9      , -1     , 733    
38  , 0.752, 111    , 8      , -1     , 505    
39  , 0.760, 111    , 7      , 0      , 229    
40  , 0.770, 111    , 6      , 0      , 33     
41  , 0.780, 115    , 4      , 0      , 21     
42  , 0.790, 115    , 2      , 0      , 61     
43  , 0.800, 115    , 0      , 0      , 183    
44  , 0.810, 115    , 0      , 0      , 364    
45  , 0.820, 115    , 1      , 0      , -26    
46  , 0.830, 115    , 1      , 0      , 249    
47  , 0.840, 115    , 1      , 0      , 126    
48  , 0.850, 115    , 2      , 0      , 490    
49  , 0.860, 115    , 2      , 0      , 539    
50  , 0.870, 115    , 4      , 0      , 294    
51  , 0.880, 116    , 4      , 0      , 214    
52  , 0.890, 116    , 3      , 0      , -66    
53  , 0.901, 116    , 1      , 0      , -223   
54  , 0.910, 116    , 0      , 1      , -389   
55  , 0.920, 116    , -2     , 1      , -548   
56  , 0.930, 116    , -3     , 1      , -634   
57  , 0.940, 116    , -5     , 1      , -344   
58  , 0.951, 116    , -5     , 0      , -9     
59  , 0.961, 116    , -4     , 0      , 694    
60  , 0.971, 116    , -3     , -1     , 1187   
61  , 0.981, 115    , 1      , -2     , 1799   
62  , 0.991, 115    , 5      , -2     , 2109   
63  , 1.004, 115    , 12     , -3     , 2201   
64  , 1.012, 115    , 15     , -2     , 1837   
65  , 1.022, 115    , 21     , -2     , 1063   
66  , 1.032, 115    , 22     , 0      , -103   
67  , 1.042, 115    , 20     , 1      , -1099  
68  , 1.052, 115    , 16     , 2      , -1970  
69  , 1.062, 115    , 10     , 3      , -2951  
70  , 1.072, 115    , 4      , 3      , -2092  
71  , 1.082, 116    , 0      , 2      , -968   
72  , 1.092, 116    , -6     , 0      , 349    
73  , 1.102, 116    , -10    , -1     , 1690   
74  , 1.112, 116    , -8     , -3     , 3394   
75  , 1.122, 116    , -4     , -5     , 4354   
76  , 1.132, 116    , 0      , -5     , 4680   
77  , 1.142, 116    , 7      , -5     , 4258   
78  , 1.153, 116    , 14     , -6     , 4164   
79  , 1.164, 116    , 21     , -5     , 3112   
80  , 1.174, 116    , 30     , -4     , 2712   
81  , 1.184, 116    , 34     , -3     , 1578   
82  , 1.196, 116    , 35     , -2     , 436    
83  , 1.204, 116    , 33     , -1     , -125   
84  , 1.216, 116    , 28     , 1      , -928   
85  , 1.224, 116    , 24     , 1      , -920   
86  , 1.234, 116    , 17     , 1      , -677   
87  , 1.246, 116    , 11     , 0      , 344    
88  , 1.255, 116    , 5      , 0      , 912    
89  , 1.269, 116    , 0      , -2     , 2873   
90  , 1.277, 115    , 0      , -4     , 3660   
91  , 1.287, 115    , 4      , -5     , 4868   
92  , 1.297, 115    , 8      , -6     , 5271   
93  , 1.307, 115    , 15     , -7     , 5681   
94  , 1.317, 115    , 21     , -6     , 4818   
95  , 1.327, 115    , 28     , -6     , 4468   
96  , 1.337, 115    , 36     , -5     , 3327   
97  , 1.347, 115    , 42     , -4     , 2438   
98  , 1.358, 115    , 44     , -2     , 956    
99  , 1.368, 115    , 41     , 0      , -548   
100 , 1.379, 115    , 36     , 1      , -1585  
101 , 1.389, 115    , 30     , 3      , -2224  
102 , 1.400, 115    , 23     , 3      , -2439  
103 , 1.409, 115    , 18     , 4      , -2552  
104 , 1.419, 115    , 11     , 4      , -2208  
105 , 1.429, 115    , 4      , 3      , -858   
106 , 1.440, 115    , -1     , 2      , -482   
107 , 1.450, 115    , -9     , 1      , 476    
108 , 1.460, 115    , -12    , 0      , 1574   
109 , 1.470, 115    , -11    , -1     , 2390   
110 , 1.480, 115    , -7     , -3     , 3412   
111 , 1.490, 115    , -1     , -3     , 2833   
112 , 1.501, 115    , 6      , -3     , 2857   
113 , 1.511, 115    , 13     , -3     , 2598   
114 , 1.521, 115    , 20     , -2     , 1384   
115 , 1.530, 115    , 24     , 0      , 6      
116 , 1.540, 115    , 24     , 1      , -1198  
117 , 1.551, 115    , 21     , 3      , -2661  
118 , 1.560, 115    , 17     , 5      , -4310  
119 , 1.570, 115    , 12     , 6      , -4411  
120 , 1.580, 113    , 6      , 5      , -3730  
121 , 1.590, 113    , 0      , 5      , -3339  
122 , 1.600, 113    , -7     , 5      , -3186  
123 , 1.610, 113    , -17    , 4      , -2094  
124 , 1.620, 113    , -23    , 4      , -2036  
125 , 1.630, 113    , -29    , 3      , -1209  
126 , 1.640, 113    , -30    , 2      , -847   
127 , 1.650, 113    , -28    , 2      , -651   
128 , 1.661, 113    , -22    , 2      , -848   
