Row, Timestamp, Series 1, Series 2, Series 3, Series 4
0   , 0.442, 0      , 0      , 0      , -3     
1   , 0.452, 0      , 0      , 0      , 4      
2   , 0.463, 0      , 0      , 0      , -23    
3   , 0.473, 6      , 0      , 0      , -203   
4   , 0.483, 6      , -1     , 0      , -10    
5   , 0.493, 6      , 0      , 0      , -8     
6   , 0.503, 6      , 0      , 0      , 204    
7   , 0.513, 6      , 0      , 0      , 406    
8   , 0.524, 6      , 0      , -1     , 476    
9   , 0.534, 6      , 1      , -1     , 594    
10  , 0.544, 6      , 3      , -1     , 725    
11  , 0.554, 6      , 5      , -1     , 748    
12  , 0.564, 6      , 7      , -1     , 767    
13  , 0.574, 71     , 9      , -1     , 554    
14  , 0.584, 71     , 9      , 0      , 68     
15  , 0.594, 71     , 7      , 0      , -490   
16  , 0.604, 71     , 3      , 1      , -1021  
17  , 0.614, 71     , 0      , 1      , -1303  
18  , 0.624, 71     , -3     , 2      , -1434  
19  , 0.634, 71     , -7     , 1      , -374   
20  , 0.645, 71     , -9     , 0      , 623    
21  , 0.655, 71     , -7     , -1     , 1435   
22  , 0.665, 71     , -5     , -2     , 2453   
23  , 0.674, 101    , 0      , -4     , 3354   
24  , 0.684, 101    , 7      , -3     , 2022   
25  , 0.694, 101    , 12     , -1     , 654    
26  , 0.705, 101    , 17     , 0      , -704   
27  , 0.715, 101    , 15     , 2      , -2159  
28  , 0.724, 101    , 13     , 4      , -3707  
29  , 0.735, 101    , 6      , 4      , -3678  
30  , 0.746, 101    , 1      , 4      , -2922  
31  , 0.757, 101    , -8     , 3      , -1483  
32  , 0.768, 110    , -16    , 1      , -166   
33  , 0.779, 110    , -17    , -1     , 1431   
34  , 0.790, 110    , -15    , -3     , 3125   
35  , 0.801, 110    , -10    , -5     , 4393   
36  , 0.812, 110    , -5     , -4     , 3554   
37  , 0.822, 110    , 2      , -4     , 2899   
38  , 0.832, 110    , 9      , -3     , 1921   
39  , 0.842, 110    , 16     , -2     , 607    
40  , 0.852, 110    , 20     , 0      , -554   
41  , 0.862, 110    , 19     , 2      , -2170  
42  , 0.872, 113    , 15     , 4      , -3638  
43  , 0.886, 113    , 9      , 6      , -5658  
44  , 0.894, 113    , 3      , 6      , -4886  
45  , 0.904, 113    , -4     , 6      , -4407  
46  , 0.918, 113    , -14    , 6      , -4128  
47  , 0.926, 113    , -17    , 5      , -3469  
48  , 0.936, 113    , -27    , 4      , -2365  
49  , 0.946, 113    , -34    , 3      , -1660  
50  , 0.956, 113    , -35    , 2      , -889   
51  , 0.966, 113    , -34    , 1      , -266   
52  , 0.977, 116    , -29    , 0      , 317    
53  , 0.987, 116    , -24    , 0      , 337    
54  , 0.997, 116    , -17    , 0      , 86     
55  , 1.006, 116    , -11    , 0      , -551   
56  , 1.017, 116    , -5     , 2      , -1979  
57  , 1.027, 116    , -4     , 3      , -3507  
58  , 1.039, 116    , -7     , 5      , -4921  
59  , 1.050, 116    , -12    , 7      , -6588  
60  , 1.062, 116    , -20    , 8      , -6987  
61  , 1.075, 115    , -27    , 8      , -6260  
62  , 1.083, 115    , -33    , 7      , -5182  
63  , 1.095, 115    , -41    , 6      , -3790  
64  , 1.105, 115    , -50    , 4      , -2654  
65  , 1.115, 115    , -51    , 3      , -1787  
66  , 1.125, 115    , -48    , 2      , -683   
67  , 1.136, 115    , -43    , 0      , 442    
68  , 1.146, 115    , -37    , -1     , 1309   
69  , 1.156, 115    , -30    , -3     , 1955   
70  , 1.167, 115    , -22    , -3     , 1937   
71  , 1.178, 115    , -15    , -3     , 1360   
72  , 1.189, 115    , -7     , -2     , 639    
73  , 1.200, 115    , -1     , -2     , 59     
74  , 1.210, 115    , 5      , -1     , -895   
75  , 1.222, 115    , 7      , 1      , -2180  
76  , 1.231, 115    , 4      , 2      , -3430  
77  , 1.242, 115    , 1      , 4      , -4045  
78  , 1.252, 115    , -5     , 4      , -3651  
79  , 1.262, 115    , -11    , 3      , -2597  
80  , 1.272, 115    , -17    , 2      , -1515  
81  , 1.282, 115    , -21    , 1      , -411   
82  , 1.292, 115    , -22    , -1     , 945    
83  , 1.306, 115    , -17    , -4     , 3796   
84  , 1.319, 115    , -11    , -5     , 4081   
85  , 1.327, 115    , -6     , -6     , 4060   
86  , 1.337, 115    , 0      , -6     , 3893   
87  , 1.347, 115    , 7      , -6     , 4180   
88  , 1.357, 115    , 15     , -6     , 3942   
89  , 1.367, 115    , 23     , -5     , 2824   
90  , 1.377, 113    , 31     , -4     , 1948   
91  , 1.387, 113    , 35     , -4     , 1526   
92  , 1.397, 113    , 35     , -2     , 541    
93  , 1.407, 113    , 31     , -1     , -262   
94  , 1.418, 113    , 25     , 0      , -1315  
95  , 1.429, 113    , 18     , 1      , -1702  
96  , 1.440, 113    , 12     , 1      , -871   
97  , 1.449, 113    , 5      , 1      , -409   
98  , 1.460, 113    , -1     , 0      , 547    
99  , 1.468, 113    , -5     , -1     , 1660   
100 , 1.480, 116    , -4     , -3     , 3075   
101 , 1.491, 116    , 1      , -5     , 4421   
102 , 1.502, 116    , 7      , -6     , 5402   
103 , 1.512, 116    , 14     , -6     , 5198   
104 , 1.522, 116    , 18     , -6     , 4395   
105 , 1.532, 116    , 30     , -5     , 3587   
106 , 1.542, 116    , 37     , -5     , 3703   
107 , 1.553, 116    , 43     , -4     , 2613   
108 , 1.564, 116    , 46     , -3     , 1280   
109 , 1.574, 116    , 43     , -1     , 188    
110 , 1.584, 116    , 40     , 0      , -879   
111 , 1.594, 116    , 32     , 2      , -2297  
112 , 1.604, 116    , 25     , 4      , -3533  
113 , 1.614, 116    , 20     , 6      , -4377  
114 , 1.624, 116    , 14     , 6      , -4045  
115 , 1.634, 116    , 6      , 6      , -3741  
116 , 1.644, 116    , 1      , 5      , -2860  
117 , 1.654, 116    , -7     , 5      , -2581  
118 , 1.664, 116    , -17    , 4      , -1799  
119 , 1.675, 115    , -24    , 3      , -1174  
120 , 1.685, 115    , -29    , 2      , -619   
121 , 1.695, 115    , -28    , 1      , 297    
122 , 1.705, 115    , -25    , 0      , 964    
