Row;t;rpm;delta;phi;u
0   ; 0.768; 0      ; 0      ; 0      ; 4      
1   ; 0.777; 0      ; 0      ; 0      ; -88    
2   ; 0.789; 6      ; -1     ; 0      ; -177   
3   ; 0.799; 6      ; -1     ; 0      ; -277   
4   ; 0.807; 6      ; -1     ; 1      ; -380   
5   ; 0.818; 6      ; -1     ; 1      ; -524   
6   ; 0.830; 6      ; -1     ; 1      ; -793   
7   ; 0.840; 6      ; -2     ; 1      ; -1016  
8   ; 0.850; 6      ; -6     ; 2      ; -1251  
9   ; 0.859; 6      ; -9     ; 2      ; -1485  
10  ; 0.869; 6      ; -11    ; 2      ; -1708  
11  ; 0.880; 6      ; -15    ; 2      ; -1614  
12  ; 0.891; 68     ; -18    ; 2      ; -1401  
13  ; 0.900; 68     ; -18    ; 2      ; -1132  
14  ; 0.910; 68     ; -17    ; 1      ; -535   
15  ; 0.923; 68     ; -14    ; 0      ; -58    
16  ; 0.930; 68     ; -12    ; -1     ; 476    
17  ; 0.943; 68     ; -8     ; -1     ; 532    
18  ; 0.952; 68     ; -4     ; 0      ; 134    
19  ; 0.963; 68     ; 0      ; 1      ; -615   
20  ; 0.973; 68     ; 1      ; 2      ; -1064  
21  ; 0.982; 68     ; 0      ; 3      ; -1933  
22  ; 0.993; 103    ; -3     ; 4      ; -2705  
23  ; 1.002; 103    ; -8     ; 5      ; -3297  
24  ; 1.012; 103    ; -14    ; 5      ; -3300  
25  ; 1.023; 103    ; -21    ; 5      ; -3279  
26  ; 1.032; 103    ; -28    ; 4      ; -2742  
27  ; 1.042; 103    ; -34    ; 3      ; -1881  
28  ; 1.052; 103    ; -36    ; 1      ; -863   
29  ; 1.063; 103    ; -34    ; 0      ; 311    
30  ; 1.072; 103    ; -30    ; -2     ; 1630   
31  ; 1.082; 103    ; -25    ; -4     ; 2601   
32  ; 1.093; 110    ; -18    ; -3     ; 2252   
33  ; 1.101; 110    ; -14    ; -3     ; 2216   
34  ; 1.114; 110    ; -2     ; -4     ; 2564   
35  ; 1.121; 110    ; 4      ; -5     ; 3381   
36  ; 1.132; 110    ; 12     ; -5     ; 3610   
37  ; 1.147; 110    ; 25     ; -5     ; 3269   
38  ; 1.154; 110    ; 32     ; -4     ; 2497   
39  ; 1.167; 110    ; 38     ; -3     ; 1735   
40  ; 1.177; 110    ; 38     ; -2     ; 1177   
41  ; 1.185; 110    ; 34     ; -1     ; 449    
42  ; 1.197; 113    ; 29     ; 1      ; -374   
43  ; 1.207; 113    ; 22     ; 1      ; -826   
44  ; 1.217; 113    ; 15     ; 1      ; -844   
45  ; 1.228; 113    ; 7      ; 1      ; -382   
46  ; 1.238; 113    ; 2      ; 0      ; 32     
47  ; 1.247; 113    ; -4     ; -1     ; 927    
48  ; 1.258; 113    ; -5     ; -3     ; 2015   
49  ; 1.267; 113    ; -2     ; -5     ; 3559   
50  ; 1.277; 113    ; 1      ; -7     ; 4612   
51  ; 1.287; 113    ; 6      ; -8     ; 5665   
52  ; 1.297; 111    ; 13     ; -8     ; 5807   
53  ; 1.308; 111    ; 22     ; -9     ; 5949   
54  ; 1.317; 111    ; 30     ; -8     ; 5732   
55  ; 1.328; 111    ; 39     ; -8     ; 5216   
56  ; 1.336; 111    ; 46     ; -7     ; 4669   
57  ; 1.351; 111    ; 58     ; -6     ; 3852   
58  ; 1.360; 111    ; 60     ; -5     ; 3198   
59  ; 1.368; 111    ; 59     ; -3     ; 2348   
60  ; 1.380; 111    ; 53     ; -2     ; 1187   
61  ; 1.389; 116    ; 48     ; 0      ; -165   
