Row, Timestamp, Series 1, Series 2, Series 3, Series 4
0   , 0.956, 0      , 0      , 0      , 0      
1   , 0.965, 0      , 0      , 0      , 0      
2   , 0.975, 3      , 0      , 0      , 0      
3   , 0.985, 3      , 0      , 0      , 0      
4   , 0.995, 3      , 0      , 0      , -1     
5   , 1.005, 3      , 0      , 0      , 0      
6   , 1.015, 3      , 0      , 0      , -1     
7   , 1.025, 3      , 0      , 0      , -1     
8   , 1.035, 3      , 0      , 0      , -2     
9   , 1.045, 3      , 0      , 0      , -2     
10  , 1.055, 3      , 0      , 0      , -3     
11  , 1.065, 3      , 0      , 0      , -4     
12  , 1.076, 30     , 0      , 0      , -4     
13  , 1.086, 30     , 0      , 0      , -4     
14  , 1.095, 30     , 0      , 0      , -4     
15  , 1.105, 30     , 0      , 0      , -4     
16  , 1.115, 30     , 0      , 0      , -4     
17  , 1.125, 30     , 0      , 0      , -3     
18  , 1.135, 30     , 0      , 0      , -4     
19  , 1.145, 30     , 0      , 0      , -3     
20  , 1.155, 30     , 0      , 0      , -5     
21  , 1.166, 30     , 0      , 0      , -5     
22  , 1.176, 48     , 0      , 0      , -6     
23  , 1.186, 48     , 0      , 0      , -6     
24  , 1.196, 48     , 0      , 0      , -7     
25  , 1.207, 48     , 0      , -1     , -9     
26  , 1.218, 48     , -1     , -1     , -8     
27  , 1.228, 48     , -1     , -1     , -9     
28  , 1.238, 48     , -3     , -1     , -10    
29  , 1.248, 48     , -4     , -1     , -11    
30  , 1.258, 48     , -5     , -1     , -12    
31  , 1.268, 48     , -6     , -1     , -13    
32  , 1.278, 51     , -8     , -1     , -13    
33  , 1.288, 51     , -9     , -1     , -12    
34  , 1.299, 51     , -10    , -1     , -12    
35  , 1.309, 51     , -11    , -1     , -11    
36  , 1.319, 51     , -12    , -1     , -8     
37  , 1.329, 51     , -11    , 0      , -5     
38  , 1.340, 51     , -11    , 0      , -1     
39  , 1.350, 51     , -11    , 0      , 2      
40  , 1.360, 51     , -10    , 0      , 2      
