Row, Timestamp, Series 1, Series 2, Series 3, Series 4
0   , 0.891, 0      , 0      , 0      , -10    
1   , 0.901, 0      , 0      , 0      , -19    
2   , 0.911, 0      , 0      , 0      , -29    
3   , 0.921, 8      , 0      , 0      , -123   
4   , 0.931, 8      , 0      , 0      , -144   
5   , 0.941, 8      , 0      , 0      , -67    
6   , 0.955, 8      , 0      , 0      , 57     
7   , 0.965, 8      , 1      , 0      , 219    
8   , 0.975, 8      , 1      , -1     , 515    
9   , 0.985, 8      , 1      , -1     , 811    
10  , 0.995, 8      , 1      , -2     , 1095   
11  , 1.005, 8      , 3      , -2     , 1550   
12  , 1.016, 66     , 4      , -3     , 1875   
13  , 1.027, 66     , 6      , -3     , 2227   
14  , 1.037, 66     , 8      , -4     , 2682   
15  , 1.047, 66     , 9      , -4     , 2624   
16  , 1.060, 66     , 12     , -3     , 2261   
17  , 1.069, 66     , 14     , -3     , 1850   
18  , 1.079, 66     , 16     , -2     , 1047   
19  , 1.089, 66     , 16     , 0      , 246    
20  , 1.099, 66     , 16     , 1      , -544   
21  , 1.109, 66     , 14     , 2      , -1334  
22  , 1.119, 93     , 13     , 3      , -1830  
23  , 1.129, 93     , 10     , 3      , -2022  
24  , 1.139, 93     , 8      , 3      , -1823  
25  , 1.149, 93     , 5      , 2      , -1648  
26  , 1.161, 93     , 1      , 2      , -1108  
27  , 1.171, 93     , -1     , 1      , -473   
28  , 1.181, 93     , -4     , 0      , 79     
29  , 1.193, 93     , -5     , -1     , 512    
30  , 1.207, 93     , -4     , -1     , 991    
31  , 1.214, 93     , -3     , -2     , 1595   
32  , 1.224, 115    , -2     , -3     , 1952   
33  , 1.234, 115    , 0      , -3     , 2199   
34  , 1.245, 115    , 2      , -3     , 2275   
35  , 1.255, 115    , 5      , -3     , 2266   
36  , 1.265, 115    , 8      , -3     , 2095   
37  , 1.275, 115    , 10     , -3     , 2037   
38  , 1.285, 115    , 13     , -3     , 1942   
39  , 1.295, 115    , 15     , -3     , 1787   
40  , 1.305, 115    , 17     , -2     , 1521   
41  , 1.315, 115    , 17     , -2     , 1317   
42  , 1.325, 115    , 17     , -2     , 1088   
43  , 1.335, 115    , 17     , -1     , 872    
44  , 1.345, 115    , 16     , -1     , 826    
45  , 1.355, 115    , 16     , -1     , 988    
46  , 1.370, 115    , 15     , -2     , 1230   
47  , 1.378, 115    , 15     , -2     , 1367   
48  , 1.388, 115    , 15     , -2     , 1492   
49  , 1.398, 115    , 15     , -3     , 1763   
50  , 1.408, 115    , 15     , -3     , 1901   
51  , 1.418, 118    , 16     , -3     , 1879   
52  , 1.428, 118    , 17     , -3     , 1955   
53  , 1.438, 118    , 17     , -3     , 2007   
54  , 1.448, 118    , 18     , -3     , 2059   
55  , 1.458, 118    , 19     , -3     , 2062   
56  , 1.468, 118    , 20     , -3     , 2101   
57  , 1.478, 118    , 21     , -3     , 2080   
58  , 1.488, 118    , 21     , -3     , 2058   
59  , 1.498, 118    , 21     , -3     , 1939   
60  , 1.508, 118    , 21     , -3     , 1881   
61  , 1.518, 116    , 21     , -3     , 1811   
62  , 1.528, 116    , 21     , -3     , 1777   
63  , 1.538, 116    , 20     , -2     , 1707   
64  , 1.548, 116    , 20     , -3     , 1795   
65  , 1.558, 116    , 20     , -3     , 1847   
66  , 1.570, 116    , 20     , -3     , 1904   
67  , 1.580, 116    , 20     , -3     , 1907   
68  , 1.590, 116    , 20     , -3     , 1922   
69  , 1.600, 116    , 20     , -3     , 1925   
70  , 1.610, 116    , 20     , -3     , 1830   
71  , 1.620, 120    , 20     , -2     , 1638   
72  , 1.631, 120    , 20     , -2     , 1332   
73  , 1.642, 120    , 20     , -2     , 1152   
74  , 1.652, 120    , 20     , -1     , 814    
75  , 1.662, 120    , 20     , -1     , 723    
76  , 1.672, 120    , 20     , -1     , 580    
77  , 1.682, 120    , 20     , -1     , 388    
78  , 1.692, 120    , 20     , 0      , 74     
79  , 1.702, 120    , 19     , 0      , -216   
80  , 1.713, 120    , 17     , 1      , -602   
81  , 1.723, 120    , 15     , 1      , -940   
82  , 1.733, 120    , 12     , 2      , -1364  
83  , 1.744, 120    , 10     , 2      , -1617  
84  , 1.753, 120    , 6      , 3      , -1894  
85  , 1.763, 120    , 3      , 3      , -2025  
86  , 1.774, 120    , 0      , 3      , -1887  
87  , 1.783, 120    , -3     , 2      , -1664  
88  , 1.793, 120    , -6     , 2      , -1624  
89  , 1.804, 120    , -9     , 2      , -1377  
90  , 1.814, 120    , -11    , 1      , -1020  
91  , 1.824, 118    , -12    , 1      , -834   
92  , 1.833, 118    , -11    , 1      , -757   
