Row, Timestamp, Series 1, Series 2, Series 3, Series 4
0   , 0.127, 0      , 0      , 0      , 17     
1   , 0.137, 0      , 0      , 0      , 47     
2   , 0.146, 0      , 0      , 0      , 54     
3   , 0.156, 8      , 0      , 0      , -24    
4   , 0.166, 8      , 0      , 0      , -5     
5   , 0.176, 8      , 0      , 0      , 14     
6   , 0.186, 8      , 0      , 0      , -100   
7   , 0.196, 8      , 0      , 0      , -213   
8   , 0.206, 8      , 0      , 0      , -314   
9   , 0.216, 8      , 0      , 1      , -356   
10  , 0.226, 8      , 0      , 1      , -445   
11  , 0.236, 8      , 0      , 1      , -463   
12  , 0.246, 8      , 0      , 1      , -360   
13  , 0.256, 66     , 0      , 0      , -185   
14  , 0.266, 66     , 0      , 0      , -107   
15  , 0.277, 66     , 0      , 0      , -124   
16  , 0.287, 66     , 0      , 0      , -130   
17  , 0.297, 66     , 0      , 0      , -123   
18  , 0.307, 66     , 0      , 0      , -213   
19  , 0.317, 66     , 0      , 0      , -206   
20  , 0.327, 66     , 0      , 0      , -272   
21  , 0.337, 66     , 0      , 0      , -205   
22  , 0.347, 66     , 0      , 0      , -55    
23  , 0.357, 103    , 0      , 0      , -12    
24  , 0.367, 103    , 0      , 0      , -5     
25  , 0.377, 103    , 0      , 0      , 133    
26  , 0.387, 103    , 1      , 0      , 176    
27  , 0.397, 103    , 1      , 0      , 194    
28  , 0.407, 103    , 1      , 0      , 201    
29  , 0.417, 103    , 1      , 0      , 279    
30  , 0.427, 103    , 1      , 0      , 310    
31  , 0.441, 103    , 1      , -1     , 461    
32  , 0.449, 103    , 1      , -1     , 600    
33  , 0.459, 111    , 1      , -1     , 895    
34  , 0.469, 111    , 1      , -2     , 1093   
35  , 0.479, 111    , 1      , -2     , 1136   
36  , 0.489, 111    , 2      , -2     , 1250   
37  , 0.499, 111    , 3      , -2     , 1401   
38  , 0.509, 111    , 5      , -2     , 1611   
39  , 0.519, 111    , 7      , -2     , 1642   
40  , 0.529, 111    , 9      , -2     , 1648   
41  , 0.540, 111    , 10     , -2     , 1546   
42  , 0.550, 111    , 12     , -2     , 1448   
43  , 0.560, 116    , 13     , -2     , 1214   
44  , 0.570, 116    , 14     , -2     , 1041   
45  , 0.580, 116    , 13     , -1     , 903    
46  , 0.590, 116    , 13     , -1     , 801    
47  , 0.600, 116    , 13     , -1     , 688    
48  , 0.610, 116    , 13     , -1     , 862    
49  , 0.620, 116    , 13     , -1     , 1012   
50  , 0.630, 116    , 13     , -2     , 1163   
51  , 0.640, 116    , 13     , -2     , 1205   
52  , 0.650, 116    , 13     , -2     , 1235   
53  , 0.660, 121    , 13     , -2     , 1242   
54  , 0.670, 121    , 13     , -2     , 1284   
55  , 0.680, 121    , 14     , -2     , 1314   
56  , 0.692, 121    , 13     , -2     , 1297   
57  , 0.702, 121    , 14     , -2     , 1343   
58  , 0.712, 121    , 14     , -2     , 1397   
59  , 0.722, 121    , 14     , -2     , 1500   
60  , 0.731, 121    , 14     , -2     , 1614   
61  , 0.741, 121    , 14     , -2     , 1704   
62  , 0.751, 121    , 14     , -2     , 1698   
63  , 0.762, 116    , 14     , -3     , 1776   
64  , 0.771, 116    , 14     , -3     , 1782   
65  , 0.781, 116    , 14     , -3     , 1777   
66  , 0.792, 116    , 14     , -3     , 1831   
67  , 0.802, 116    , 14     , -3     , 1849   
68  , 0.812, 116    , 14     , -3     , 1855   
69  , 0.822, 116    , 14     , -3     , 1981   
70  , 0.831, 116    , 14     , -3     , 2095   
71  , 0.842, 116    , 14     , -3     , 2181   
72  , 0.852, 116    , 15     , -3     , 2319   
73  , 0.862, 118    , 17     , -4     , 2421   
74  , 0.873, 118    , 18     , -4     , 2451   
75  , 0.883, 118    , 20     , -4     , 2529   
76  , 0.892, 118    , 21     , -4     , 2475   
77  , 0.902, 118    , 23     , -3     , 2289   
78  , 0.913, 118    , 24     , -3     , 1959   
79  , 0.923, 118    , 23     , -2     , 1677   
80  , 0.933, 118    , 23     , -2     , 1367   
81  , 0.944, 118    , 23     , -1     , 977    
82  , 0.955, 118    , 23     , -1     , 827    
83  , 0.964, 118    , 23     , -1     , 677    
84  , 0.974, 118    , 23     , -1     , 575    
85  , 0.984, 118    , 22     , -1     , 377    
86  , 0.998, 118    , 20     , 0      , 133    
87  , 1.009, 118    , 18     , 0      , 31     
88  , 1.019, 118    , 16     , 0      , -95    
89  , 1.029, 118    , 14     , 0      , -245   
90  , 1.039, 118    , 12     , 0      , -305   
91  , 1.049, 118    , 10     , 0      , -251   
92  , 1.059, 120    , 8      , 0      , -113   
93  , 1.069, 120    , 6      , 0      , 1      
94  , 1.079, 120    , 5      , 0      , 138    
95  , 1.089, 120    , 3      , 0      , 288    
96  , 1.099, 120    , 3      , 0      , 330    
97  , 1.109, 120    , 3      , 0      , 312    
98  , 1.120, 120    , 3      , 0      , 317    
99  , 1.129, 120    , 3      , 0      , 323    
100 , 1.139, 120    , 3      , 0      , 149    
101 , 1.149, 120    , 2      , 0      , -194   
102 , 1.159, 120    , 2      , 1      , -464   
103 , 1.169, 120    , 1      , 1      , -770   
104 , 1.181, 120    , 1      , 2      , -1054  
105 , 1.192, 120    , -1     , 2      , -1365  
106 , 1.202, 120    , -2     , 2      , -1636  
107 , 1.212, 120    , -3     , 3      , -1954  
108 , 1.222, 120    , -5     , 3      , -2213  
109 , 1.233, 120    , -8     , 3      , -2351  
110 , 1.242, 120    , -9     , 4      , -2454  
111 , 1.255, 120    , -13    , 4      , -2618  
112 , 1.265, 120    , -15    , 4      , -2696  
113 , 1.275, 120    , -18    , 4      , -2823  
114 , 1.285, 120    , -21    , 4      , -2793  
115 , 1.296, 120    , -23    , 4      , -2776  
116 , 1.305, 120    , -25    , 4      , -2794  
117 , 1.315, 120    , -26    , 4      , -2909  
118 , 1.325, 120    , -28    , 4      , -3023  
119 , 1.335, 120    , -29    , 5      , -3222  
