Row, Timestamp, Series 1, Series 2, Series 3, Series 4
0   , 0.668, 0      , 0      , 0      , -9     
1   , 0.677, 0      , 0      , 0      , -4     
2   , 0.687, 0      , 0      , 0      , 15     
3   , 0.697, 6      , 0      , 0      , 21     
4   , 0.708, 6      , 0      , 0      , 67     
5   , 0.718, 6      , 0      , 0      , 28     
6   , 0.728, 6      , 0      , 0      , 61     
7   , 0.738, 6      , 1      , 0      , 120    
8   , 0.752, 6      , 1      , 0      , 109    
9   , 0.762, 6      , 0      , 0      , 182    
10  , 0.772, 6      , 1      , 0      , 269    
11  , 0.782, 6      , 1      , 0      , 355    
12  , 0.792, 66     , 1      , -1     , 442    
13  , 0.802, 66     , 1      , -1     , 515    
14  , 0.812, 66     , 1      , -1     , 520    
15  , 0.822, 66     , 1      , -1     , 633    
16  , 0.832, 66     , 1      , -1     , 639    
17  , 0.842, 66     , 1      , -1     , 604    
18  , 0.852, 66     , 1      , -1     , 568    
19  , 0.862, 66     , 1      , -1     , 614    
20  , 0.872, 66     , 1      , -1     , 714    
21  , 0.882, 66     , 1      , -1     , 895    
22  , 0.892, 101    , 1      , -2     , 1170   
23  , 0.902, 101    , 1      , -2     , 1432   
24  , 0.912, 101    , 2      , -2     , 1558   
25  , 0.922, 101    , 3      , -2     , 1685   
26  , 0.932, 101    , 6      , -2     , 1825   
27  , 0.943, 101    , 7      , -2     , 1830   
28  , 0.953, 101    , 9      , -2     , 1699   
29  , 0.962, 101    , 11     , -2     , 1542   
30  , 0.972, 101    , 12     , -2     , 1169   
31  , 0.982, 101    , 12     , -1     , 783    
32  , 0.992, 113    , 12     , -1     , 397    
33  , 1.002, 113    , 11     , 0      , 38     
34  , 1.014, 113    , 10     , 0      , -238   
35  , 1.024, 113    , 9      , 0      , -217   
36  , 1.034, 113    , 8      , 0      , -211   
37  , 1.044, 113    , 7      , 0      , -44    
38  , 1.054, 113    , 6      , 0      , 191    
39  , 1.066, 113    , 4      , -1     , 509    
40  , 1.075, 113    , 4      , -1     , 798    
41  , 1.085, 113    , 5      , -1     , 897    
42  , 1.096, 116    , 6      , -1     , 997    
43  , 1.105, 116    , 6      , -1     , 1056   
44  , 1.116, 116    , 7      , -1     , 1007   
45  , 1.125, 116    , 8      , -1     , 850    
46  , 1.136, 116    , 8      , -1     , 639    
47  , 1.147, 116    , 9      , 0      , 370    
48  , 1.158, 116    , 8      , 0      , 200    
49  , 1.167, 116    , 8      , 0      , -10    
50  , 1.177, 116    , 7      , 0      , -153   
51  , 1.190, 116    , 6      , 0      , -228   
52  , 1.200, 120    , 5      , 0      , -311   
53  , 1.210, 120    , 4      , 1      , -481   
54  , 1.220, 120    , 3      , 1      , -462   
55  , 1.230, 120    , 1      , 0      , -362   
56  , 1.240, 120    , 1      , 0      , -302   
57  , 1.250, 120    , -1     , 0      , -337   
58  , 1.260, 120    , -2     , 0      , -278   
59  , 1.270, 120    , -2     , 0      , -259   
60  , 1.280, 120    , -3     , 0      , -267   
61  , 1.290, 120    , -3     , 0      , -262   
62  , 1.300, 120    , -3     , 0      , -202   
63  , 1.310, 120    , -3     , 0      , -238   
64  , 1.320, 120    , -3     , 0      , -273   
65  , 1.330, 120    , -3     , 1      , -470   
66  , 1.340, 120    , -3     , 1      , -694   
67  , 1.350, 120    , -3     , 1      , -904   
68  , 1.360, 120    , -3     , 1      , -1128  
69  , 1.370, 120    , -3     , 2      , -1325  
70  , 1.380, 120    , -4     , 2      , -1562  
71  , 1.390, 120    , -4     , 2      , -1773  
72  , 1.400, 120    , -6     , 3      , -2077  
73  , 1.410, 120    , -7     , 3      , -2193  
74  , 1.420, 120    , -10    , 3      , -2403  
75  , 1.430, 120    , -11    , 3      , -2518  
76  , 1.440, 120    , -14    , 3      , -2513  
77  , 1.450, 120    , -16    , 3      , -2412  
78  , 1.460, 120    , -19    , 3      , -2285  
79  , 1.470, 120    , -21    , 2      , -1914  
80  , 1.480, 120    , -22    , 2      , -1544  
81  , 1.490, 120    , -21    , 2      , -1188  
82  , 1.500, 120    , -21    , 1      , -926   
83  , 1.511, 120    , -21    , 1      , -759   
84  , 1.520, 120    , -21    , 1      , -713   
85  , 1.530, 120    , -21    , 1      , -883   
86  , 1.542, 120    , -21    , 1      , -837   
87  , 1.550, 120    , -21    , 1      , -495   
88  , 1.560, 120    , -21    , 0      , -274   
89  , 1.570, 120    , -21    , 0      , -66    
90  , 1.580, 120    , -19    , 0      , 46     
91  , 1.590, 120    , -18    , 0      , 105    
92  , 1.600, 120    , -16    , 0      , 232    
93  , 1.611, 120    , -14    , 0      , 207    
94  , 1.621, 120    , -12    , 0      , 50     
95  , 1.631, 120    , -10    , 0      , -134   
96  , 1.641, 120    , -8     , 0      , -210   
97  , 1.651, 120    , -7     , 1      , -475   
98  , 1.661, 120    , -6     , 1      , -781   
99  , 1.671, 120    , -6     , 1      , -1086  
100 , 1.681, 120    , -7     , 2      , -1419  
101 , 1.691, 120    , -8     , 2      , -1643  
102 , 1.701, 116    , -9     , 2      , -1894  
103 , 1.711, 116    , -11    , 2      , -1875  
104 , 1.721, 116    , -12    , 2      , -1762  
105 , 1.731, 116    , -13    , 2      , -1540  
106 , 1.741, 116    , -15    , 2      , -1373  
107 , 1.751, 116    , -15    , 1      , -1138  
108 , 1.762, 116    , -14    , 1      , -702   
109 , 1.772, 116    , -14    , 0      , -360   
110 , 1.782, 116    , -14    , 0      , -234   
111 , 1.792, 116    , -14    , 0      , -162   
112 , 1.803, 121    , -14    , 0      , 37     
113 , 1.814, 121    , -14    , 0      , 131    
114 , 1.824, 121    , -13    , 0      , 378    
115 , 1.834, 121    , -11    , -1     , 423    
116 , 1.844, 121    , -9     , -1     , 590    
117 , 1.854, 121    , -7     , -1     , 783    
118 , 1.864, 121    , -5     , -1     , 828    
119 , 1.875, 121    , -3     , -1     , 832    
120 , 1.884, 121    , -2     , -1     , 823    
121 , 1.894, 118    , 0      , -1     , 705    
122 , 1.904, 118    , 1      , -1     , 548    
123 , 1.914, 118    , 3      , -1     , 458    
124 , 1.924, 118    , 4      , 0      , 287    
125 , 1.934, 118    , 4      , 0      , 116    
126 , 1.944, 118    , 3      , 0      , 80     
127 , 1.954, 118    , 3      , 0      , 84     
128 , 1.964, 118    , 3      , 0      , 169    
129 , 1.974, 118    , 3      , -1     , 430    
130 , 1.984, 118    , 3      , -1     , 691    
131 , 1.994, 120    , 4      , -1     , 925    
132 , 2.004, 120    , 5      , -2     , 1253   
133 , 2.014, 120    , 6      , -2     , 1527   
134 , 2.024, 120    , 6      , -2     , 1828   
135 , 2.034, 120    , 8      , -3     , 2129   
136 , 2.044, 120    , 9      , -3     , 2254   
137 , 2.054, 120    , 11     , -3     , 2379   
138 , 2.064, 120    , 13     , -3     , 2450   
139 , 2.074, 120    , 15     , -3     , 2494   
140 , 2.084, 120    , 17     , -3     , 2511   
141 , 2.094, 120    , 18     , -3     , 2501   
142 , 2.104, 120    , 20     , -3     , 2397   
143 , 2.114, 120    , 22     , -3     , 2360   
144 , 2.124, 120    , 23     , -3     , 2283   
145 , 2.134, 120    , 24     , -3     , 2327   
146 , 2.144, 120    , 24     , -3     , 2317   
147 , 2.154, 120    , 23     , -3     , 2267   
148 , 2.167, 120    , 24     , -3     , 2196   
149 , 2.177, 120    , 24     , -3     , 2408   
150 , 2.186, 120    , 24     , -3     , 2480   
151 , 2.198, 118    , 24     , -4     , 2736   
152 , 2.208, 118    , 24     , -4     , 2918   
153 , 2.218, 118    , 24     , -4     , 3083   
154 , 2.228, 118    , 24     , -4     , 3141   
155 , 2.238, 118    , 24     , -4     , 3171   
156 , 2.248, 118    , 24     , -4     , 3188   
157 , 2.258, 118    , 25     , -4     , 3272   
158 , 2.269, 118    , 26     , -4     , 3397   
159 , 2.278, 118    , 28     , -5     , 3535   
160 , 2.288, 118    , 30     , -5     , 3687   
161 , 2.298, 120    , 31     , -5     , 3812   
162 , 2.308, 120    , 33     , -5     , 3680   
163 , 2.318, 120    , 34     , -5     , 3508   
164 , 2.328, 120    , 35     , -4     , 3336   
165 , 2.338, 120    , 36     , -4     , 2907   
166 , 2.348, 120    , 35     , -3     , 2506   
167 , 2.358, 120    , 35     , -3     , 2118   
168 , 2.369, 120    , 35     , -2     , 1573   
169 , 2.380, 120    , 34     , -2     , 1206   
170 , 2.390, 120    , 33     , -1     , 846    
171 , 2.400, 118    , 32     , -1     , 594    
172 , 2.410, 118    , 29     , 0      , 220    
173 , 2.420, 118    , 26     , 0      , -18    
174 , 2.430, 118    , 23     , 0      , -324   
175 , 2.440, 118    , 21     , 0      , -320   
176 , 2.450, 118    , 17     , 0      , -180   
177 , 2.460, 118    , 14     , 0      , 14     
178 , 2.470, 118    , 11     , -1     , 396    
179 , 2.482, 118    , 9      , -1     , 757    
180 , 2.491, 118    , 7      , -1     , 1031   
181 , 2.501, 125    , 7      , -2     , 1265   
182 , 2.511, 125    , 7      , -2     , 1445   
183 , 2.521, 125    , 8      , -2     , 1584   
184 , 2.531, 125    , 9      , -2     , 1560   
185 , 2.541, 125    , 10     , -2     , 1402   
186 , 2.551, 125    , 11     , -1     , 1123   
187 , 2.562, 125    , 12     , -1     , 790    
188 , 2.576, 125    , 12     , 0      , 111    
189 , 2.585, 125    , 12     , 1      , -532   
190 , 2.595, 116    , 10     , 1      , -1106  
191 , 2.605, 116    , 8      , 2      , -1736  
192 , 2.615, 116    , 7      , 3      , -2271  
193 , 2.626, 116    , 3      , 4      , -2814  
194 , 2.637, 116    , 0      , 4      , -3294  
195 , 2.646, 116    , -4     , 5      , -3653  
196 , 2.656, 116    , -9     , 5      , -3526  
197 , 2.666, 116    , -13    , 5      , -3507  
198 , 2.676, 116    , -18    , 5      , -3501  
199 , 2.686, 116    , -22    , 4      , -3482  
200 , 2.696, 118    , -26    , 4      , -3179  
201 , 2.706, 118    , -30    , 4      , -2836  
202 , 2.717, 118    , -32    , 4      , -2844  
203 , 2.728, 118    , -32    , 4      , -2839  
204 , 2.737, 118    , -31    , 4      , -2793  
205 , 2.747, 118    , -31    , 4      , -2720  
206 , 2.757, 118    , -31    , 3      , -2647  
207 , 2.767, 118    , -31    , 3      , -2574  
208 , 2.778, 118    , -31    , 4      , -2806  
209 , 2.788, 118    , -31    , 4      , -3017  
210 , 2.798, 118    , -31    , 4      , -3187  
211 , 2.808, 118    , -32    , 4      , -3425  
212 , 2.819, 118    , -32    , 5      , -3743  
213 , 2.831, 118    , -33    , 5      , -4093  
214 , 2.840, 118    , -34    , 6      , -4547  
215 , 2.854, 118    , -37    , 7      , -5042  
216 , 2.862, 118    , -38    , 7      , -5576  
217 , 2.872, 118    , -41    , 8      , -5948  
218 , 2.882, 118    , -43    , 8      , -6320  
219 , 2.892, 118    , -47    , 8      , -6327  
220 , 2.902, 121    , -51    , 8      , -6361  
221 , 2.912, 121    , -54    , 8      , -6260  
222 , 2.922, 121    , -57    , 8      , -6051  
223 , 2.932, 121    , -60    , 7      , -5546  
224 , 2.942, 121    , -61    , 6      , -4892  
225 , 2.952, 121    , -61    , 5      , -4022  
226 , 2.963, 121    , -60    , 4      , -2991  
227 , 2.973, 121    , -57    , 2      , -1852  
228 , 2.983, 121    , -53    , 1      , -422   
229 , 2.994, 120    , -47    , -2     , 1409   
230 , 3.005, 120    , -41    , -4     , 2762   
231 , 3.015, 120    , -33    , -5     , 4087   
232 , 3.025, 120    , -29    , -6     , 4805   
233 , 3.035, 120    , -23    , -7     , 5060   
234 , 3.045, 120    , -18    , -7     , 5075   
235 , 3.055, 120    , -12    , -7     , 5078   
236 , 3.065, 120    , -6     , -7     , 5080   
237 , 3.075, 120    , 1      , -6     , 4879   
238 , 3.085, 120    , 8      , -6     , 4598   
239 , 3.095, 115    , 16     , -5     , 4250   
240 , 3.105, 115    , 23     , -5     , 3901   
241 , 3.115, 115    , 30     , -4     , 3094   
242 , 3.125, 115    , 34     , -3     , 2395   
243 , 3.135, 115    , 36     , -2     , 1305   
244 , 3.146, 115    , 36     , 0      , 136    
245 , 3.157, 115    , 34     , 2      , -1358  
246 , 3.167, 115    , 31     , 4      , -2852  
247 , 3.177, 115    , 27     , 5      , -3574  
248 , 3.188, 115    , 23     , 5      , -3583  
249 , 3.198, 116    , 15     , 4      , -3429  
250 , 3.208, 116    , 8      , 4      , -3019  
251 , 3.218, 116    , 1      , 3      , -2541  
252 , 3.228, 116    , -4     , 2      , -1726  
253 , 3.240, 116    , -9     , 1      , -667   
254 , 3.249, 116    , -13    , 0      , 363    
255 , 3.259, 116    , -13    , -2     , 1595   
256 , 3.269, 116    , -11    , -4     , 2840   
257 , 3.279, 116    , -9     , -5     , 4018   
258 , 3.289, 116    , -5     , -6     , 4776   
259 , 3.299, 120    , -1     , -7     , 5089   
260 , 3.309, 120    , 5      , -7     , 5266   
261 , 3.319, 120    , 11     , -7     , 5282   
262 , 3.329, 120    , 17     , -6     , 4947   
263 , 3.339, 120    , 25     , -6     , 4504   
264 , 3.349, 120    , 31     , -5     , 4020   
265 , 3.359, 120    , 36     , -5     , 3537   
266 , 3.369, 120    , 39     , -4     , 2905   
267 , 3.379, 120    , 40     , -3     , 2031   
268 , 3.389, 120    , 40     , -1     , 1090   
269 , 3.399, 118    , 39     , 0      , 122    
270 , 3.410, 118    , 36     , 1      , -765   
271 , 3.419, 118    , 34     , 2      , -1408  
272 , 3.429, 118    , 29     , 2      , -1822  
273 , 3.439, 118    , 24     , 3      , -2087  
274 , 3.449, 118    , 19     , 3      , -1961  
275 , 3.459, 118    , 14     , 2      , -1537  
276 , 3.469, 118    , 8      , 1      , -844   
277 , 3.479, 118    , 5      , 0      , 10     
278 , 3.489, 118    , 0      , -1     , 1000   
279 , 3.500, 120    , -1     , -3     , 2137   
280 , 3.509, 120    , -1     , -4     , 3180   
281 , 3.519, 120    , 1      , -5     , 3966   
282 , 3.529, 120    , 4      , -6     , 4427   
283 , 3.539, 120    , 8      , -6     , 4632   
284 , 3.549, 120    , 12     , -6     , 4554   
285 , 3.559, 120    , 17     , -6     , 4341   
286 , 3.569, 120    , 23     , -5     , 3938   
287 , 3.579, 120    , 27     , -5     , 3536   
288 , 3.589, 120    , 32     , -4     , 2918   
289 , 3.600, 120    , 34     , -2     , 1912   
290 , 3.610, 120    , 34     , -1     , 917    
291 , 3.620, 120    , 33     , 0      , -24    
292 , 3.630, 120    , 31     , 1      , -965   
293 , 3.641, 120    , 28     , 2      , -1837  
294 , 3.650, 120    , 25     , 3      , -2710  
295 , 3.660, 120    , 21     , 4      , -3002  
296 , 3.670, 120    , 15     , 4      , -2821  
297 , 3.683, 120    , 7      , 3      , -2653  
298 , 3.692, 120    , 3      , 3      , -2499  
299 , 3.702, 118    , -3     , 3      , -2116  
300 , 3.712, 118    , -8     , 2      , -1342  
301 , 3.722, 118    , -12    , 1      , -527   
302 , 3.732, 118    , -14    , 0      , 341    
303 , 3.742, 118    , -13    , -2     , 1209   
304 , 3.752, 118    , -11    , -3     , 2009   
305 , 3.762, 118    , -9     , -3     , 2417   
306 , 3.772, 118    , -7     , -3     , 2623   
307 , 3.782, 118    , -3     , -3     , 2397   
308 , 3.792, 118    , 0      , -3     , 2306   
309 , 3.806, 121    , 6      , -2     , 1460   
310 , 3.817, 121    , 10     , -1     , 857    
311 , 3.827, 121    , 11     , 0      , 253    
312 , 3.836, 121    , 11     , 0      , -350   
313 , 3.846, 121    , 11     , 2      , -1237  
314 , 3.858, 121    , 8      , 3      , -2212  
315 , 3.868, 121    , 6      , 4      , -3097  
316 , 3.878, 121    , 3      , 5      , -3686  
317 , 3.888, 121    , -1     , 5      , -4045  
318 , 3.905, 120    , -11    , 5      , -3928  
319 , 3.913, 120    , -15    , 5      , -3801  
320 , 3.923, 120    , -20    , 4      , -3471  
321 , 3.934, 120    , -25    , 4      , -3035  
322 , 3.944, 120    , -29    , 3      , -2530  
323 , 3.956, 120    , -32    , 2      , -1782  
324 , 3.968, 120    , -31    , 1      , -1097  
325 , 3.978, 120    , -30    , 0      , -350   
326 , 3.988, 120    , -29    , 0      , 154    
327 , 3.997, 121    , -27    , 0      , 293    
328 , 4.008, 121    , -24    , 0      , 378    
329 , 4.019, 121    , -21    , -1     , 415    
330 , 4.029, 121    , -19    , -1     , 446    
331 , 4.039, 121    , -15    , 0      , 193    
332 , 4.049, 121    , -13    , 0      , -59    
333 , 4.059, 121    , -10    , 1      , -689   
334 , 4.071, 121    , -7     , 2      , -1308  
335 , 4.081, 121    , -7     , 3      , -1957  
336 , 4.092, 121    , -8     , 3      , -2532  
337 , 4.102, 123    , -10    , 4      , -3150  
338 , 4.112, 123    , -13    , 5      , -3672  
339 , 4.122, 123    , -16    , 5      , -4085  
340 , 4.132, 123    , -19    , 6      , -4498  
341 , 4.142, 123    , -23    , 6      , -4492  
342 , 4.152, 123    , -27    , 6      , -4311  
343 , 4.162, 123    , -30    , 5      , -3833  
344 , 4.172, 123    , -34    , 4      , -3409  
345 , 4.182, 123    , -37    , 4      , -2756  
346 , 4.192, 123    , -38    , 3      , -1995  
347 , 4.202, 118    , -38    , 1      , -1100  
348 , 4.212, 118    , -37    , 0      , -339   
349 , 4.226, 118    , -34    , -1     , 554    
350 , 4.236, 118    , -31    , -1     , 1030   
351 , 4.247, 118    , -27    , -2     , 1385   
352 , 4.256, 118    , -23    , -2     , 1564   
353 , 4.267, 118    , -19    , -2     , 1689   
354 , 4.276, 118    , -15    , -2     , 1705   
355 , 4.286, 118    , -11    , -2     , 1722   
356 , 4.296, 118    , -6     , -2     , 1469   
357 , 4.307, 123    , -2     , -2     , 1216   
