Row, Timestamp, Series 1, Series 2, Series 3
0   , 0.111, 0      , 0      , 0      
1   , 0.120, 0      , 0      , 0      
2   , 0.130, 5      , 0      , 0      
3   , 0.140, 5      , 0      , 0      
4   , 0.150, 5      , 0      , 0      
5   , 0.160, 5      , 0      , 0      
6   , 0.170, 5      , 0      , 0      
7   , 0.180, 5      , -1     , 0      
8   , 0.190, 5      , -1     , 0      
9   , 0.200, 5      , -1     , 0      
10  , 0.210, 5      , -1     , 1      
11  , 0.220, 5      , -1     , 1      
12  , 0.230, 61     , -1     , 1      
13  , 0.240, 61     , -1     , 2      
14  , 0.250, 61     , -2     , 2      
15  , 0.260, 61     , -3     , 3      
16  , 0.270, 61     , -6     , 4      
17  , 0.280, 61     , -9     , 4      
18  , 0.290, 61     , -12    , 5      
19  , 0.300, 61     , -15    , 5      
20  , 0.310, 61     , -19    , 5      
21  , 0.320, 61     , -22    , 5      
22  , 0.330, 91     , -24    , 4      
23  , 0.340, 91     , -28    , 3      
24  , 0.350, 91     , -30    , 3      
25  , 0.361, 91     , -31    , 2      
26  , 0.370, 91     , -30    , 2      
27  , 0.381, 91     , -30    , 2      
28  , 0.391, 91     , -30    , 2      
29  , 0.401, 91     , -29    , 2      
30  , 0.411, 91     , -28    , 2      
31  , 0.421, 91     , -26    , 2      
32  , 0.431, 110    , -24    , 1      
33  , 0.441, 110    , -23    , 1      
34  , 0.451, 110    , -21    , 1      
35  , 0.461, 110    , -20    , 1      
36  , 0.471, 110    , -19    , 2      
37  , 0.483, 110    , -18    , 2      
38  , 0.493, 110    , -17    , 2      
39  , 0.503, 110    , -17    , 2      
40  , 0.513, 110    , -17    , 2      
41  , 0.523, 110    , -18    , 3      
42  , 0.534, 115    , -18    , 2      
43  , 0.544, 115    , -19    , 2      
44  , 0.554, 115    , -19    , 2      
45  , 0.564, 115    , -18    , 1      
46  , 0.574, 115    , -18    , 1      
47  , 0.584, 115    , -18    , 1      
48  , 0.594, 115    , -18    , 1      
49  , 0.604, 115    , -16    , 0      
50  , 0.615, 115    , -15    , 0      
51  , 0.625, 115    , -13    , 0      
52  , 0.635, 120    , -11    , 0      
53  , 0.645, 120    , -9     , 0      
54  , 0.655, 120    , -8     , 0      
55  , 0.665, 120    , -6     , -1     
56  , 0.675, 120    , -5     , -1     
57  , 0.685, 120    , -3     , -1     
58  , 0.695, 120    , -2     , -1     
59  , 0.705, 120    , -1     , -1     
60  , 0.715, 120    , 0      , -1     
61  , 0.725, 120    , 2      , -1     
62  , 0.735, 123    , 2      , -1     
63  , 0.745, 123    , 3      , -1     
64  , 0.756, 123    , 4      , -1     
65  , 0.767, 123    , 6      , -2     
66  , 0.777, 123    , 7      , -2     
67  , 0.787, 123    , 8      , -2     
