Row, Timestamp, Series 1, Series 2, Series 3, Series 4
0   , 0.445, 0      , 0      , 0      , 19     
1   , 0.454, 0      , 0      , 0      , 25     
2   , 0.464, 0      , 0      , 0      , 47     
3   , 0.474, 6      , 0      , 0      , 53     
4   , 0.484, 6      , 0      , 0      , -61    
5   , 0.494, 6      , 0      , 0      , -115   
6   , 0.504, 6      , 0      , 0      , -78    
7   , 0.514, 6      , 0      , 0      , 138    
8   , 0.524, 6      , 0      , 0      , 324    
9   , 0.537, 6      , 1      , 0      , 312    
10  , 0.548, 6      , 1      , 0      , 364    
11  , 0.557, 6      , 1      , 0      , 295    
12  , 0.567, 6      , 1      , 0      , 106    
13  , 0.577, 65     , 0      , 0      , -188   
14  , 0.587, 65     , 0      , 1      , -661   
15  , 0.597, 65     , 0      , 2      , -1300  
16  , 0.608, 65     , -1     , 2      , -2020  
17  , 0.618, 65     , -2     , 3      , -2778  
18  , 0.629, 65     , -5     , 4      , -3432  
19  , 0.639, 65     , -8     , 5      , -4069  
20  , 0.649, 65     , -11    , 5      , -4543  
21  , 0.661, 65     , -16    , 6      , -4833  
22  , 0.670, 93     , -19    , 6      , -4797  
23  , 0.680, 93     , -24    , 5      , -4430  
24  , 0.690, 93     , -28    , 5      , -4064  
25  , 0.700, 93     , -32    , 4      , -3563  
26  , 0.710, 93     , -36    , 4      , -3092  
27  , 0.720, 93     , -38    , 3      , -2591  
28  , 0.730, 93     , -38    , 2      , -2120  
29  , 0.742, 93     , -38    , 2      , -1537  
30  , 0.752, 93     , -36    , 1      , -1245  
31  , 0.762, 93     , -35    , 1      , -999   
32  , 0.772, 110    , -32    , 1      , -843   
33  , 0.782, 110    , -30    , 1      , -702   
34  , 0.793, 110    , -27    , 1      , -729   
35  , 0.804, 110    , -25    , 1      , -821   
36  , 0.815, 110    , -23    , 1      , -913   
37  , 0.825, 110    , -21    , 1      , -1207  
38  , 0.835, 110    , -19    , 2      , -1411  
39  , 0.845, 110    , -17    , 2      , -1615  
40  , 0.858, 110    , -16    , 2      , -1971  
41  , 0.869, 110    , -17    , 3      , -2393  
42  , 0.880, 118    , -18    , 3      , -2626  
43  , 0.889, 118    , -19    , 3      , -2770  
44  , 0.904, 118    , -22    , 3      , -2958  
45  , 0.912, 118    , -22    , 3      , -2922  
46  , 0.922, 118    , -24    , 3      , -2766  
47  , 0.932, 118    , -26    , 3      , -2415  
48  , 0.942, 118    , -26    , 2      , -1899  
49  , 0.952, 118    , -26    , 2      , -1398  
50  , 0.962, 118    , -26    , 1      , -852   
51  , 0.972, 118    , -26    , 0      , -396   
52  , 0.982, 118    , -25    , 0      , -30    
53  , 0.992, 118    , -24    , 0      , 321    
54  , 1.002, 118    , -21    , -1     , 596    
55  , 1.012, 118    , -19    , -1     , 842    
56  , 1.022, 118    , -16    , -1     , 983    
57  , 1.032, 118    , -12    , -1     , 1079   
58  , 1.042, 118    , -9     , -1     , 1190   
59  , 1.052, 118    , -6     , -1     , 1061   
60  , 1.062, 118    , -3     , -1     , 991    
61  , 1.072, 118    , 0      , -1     , 832    
62  , 1.082, 118    , 2      , -1     , 628    
63  , 1.092, 118    , 4      , 0      , 349    
64  , 1.102, 118    , 5      , 0      , 205    
65  , 1.112, 118    , 4      , 0      , 120    
66  , 1.122, 118    , 4      , 0      , 6      
67  , 1.132, 118    , 3      , 0      , 42     
68  , 1.142, 118    , 3      , 0      , 183    
69  , 1.152, 118    , 3      , 0      , 428    
70  , 1.163, 118    , 4      , -1     , 929    
71  , 1.173, 116    , 4      , -2     , 1612   
72  , 1.183, 116    , 6      , -2     , 2082   
73  , 1.193, 116    , 7      , -3     , 2448   
74  , 1.203, 116    , 10     , -3     , 2814   
75  , 1.215, 116    , 12     , -4     , 3252   
76  , 1.226, 116    , 15     , -4     , 3318   
77  , 1.236, 116    , 18     , -4     , 3324   
78  , 1.246, 116    , 21     , -4     , 3329   
79  , 1.256, 116    , 24     , -4     , 3245   
80  , 1.266, 116    , 27     , -4     , 3100   
81  , 1.276, 118    , 29     , -3     , 2866   
82  , 1.286, 118    , 30     , -3     , 2587   
83  , 1.296, 118    , 30     , -3     , 2277   
84  , 1.306, 118    , 30     , -2     , 1953   
85  , 1.316, 118    , 30     , -2     , 1778   
86  , 1.326, 118    , 30     , -2     , 1570   
87  , 1.336, 118    , 29     , -2     , 1575   
88  , 1.346, 118    , 28     , -2     , 1491   
89  , 1.356, 118    , 27     , -2     , 1481   
90  , 1.368, 118    , 26     , -2     , 1537   
91  , 1.378, 116    , 24     , -2     , 1617   
92  , 1.388, 116    , 23     , -2     , 1713   
93  , 1.397, 116    , 23     , -2     , 1898   
94  , 1.408, 116    , 22     , -3     , 2168   
95  , 1.418, 116    , 22     , -3     , 2443   
96  , 1.428, 116    , 22     , -3     , 2569   
97  , 1.438, 116    , 23     , -3     , 2724   
98  , 1.448, 116    , 24     , -3     , 2729   
99  , 1.458, 116    , 25     , -3     , 2750   
100 , 1.468, 116    , 26     , -3     , 2680   
101 , 1.478, 123    , 26     , -3     , 2550   
102 , 1.488, 123    , 27     , -3     , 2211   
103 , 1.498, 123    , 27     , -2     , 1856   
104 , 1.508, 123    , 27     , -2     , 1516   
105 , 1.518, 123    , 26     , -1     , 1177   
106 , 1.529, 123    , 26     , -1     , 807    
107 , 1.538, 123    , 25     , -1     , 437    
108 , 1.549, 123    , 24     , 0      , -97    
109 , 1.558, 123    , 23     , 1      , -602   
110 , 1.568, 123    , 20     , 1      , -1077  
111 , 1.578, 118    , 17     , 2      , -1417  
112 , 1.588, 118    , 14     , 2      , -1756  
113 , 1.598, 118    , 11     , 2      , -2096  
114 , 1.611, 118    , 6      , 2      , -2090  
115 , 1.620, 118    , 2      , 2      , -1920  
116 , 1.630, 118    , -2     , 2      , -1825  
117 , 1.640, 118    , -6     , 2      , -1564  
118 , 1.650, 118    , -8     , 1      , -1139  
119 , 1.660, 118    , -11    , 1      , -819   
120 , 1.670, 118    , -12    , 1      , -544   
121 , 1.680, 118    , -11    , 0      , -194   
122 , 1.690, 118    , -10    , 0      , -9     
123 , 1.700, 118    , -9     , 0      , 11     
124 , 1.710, 118    , -8     , 0      , -343   
125 , 1.720, 118    , -8     , 1      , -653   
126 , 1.730, 118    , -7     , 1      , -1098  
127 , 1.740, 118    , -6     , 2      , -1768  
128 , 1.750, 118    , -7     , 3      , -2333  
129 , 1.760, 118    , -9     , 4      , -3018  
130 , 1.770, 118    , -11    , 4      , -3508  
131 , 1.780, 118    , -14    , 5      , -4088  
132 , 1.790, 118    , -17    , 5      , -4668  
133 , 1.800, 118    , -21    , 6      , -5008  
134 , 1.810, 118    , -25    , 6      , -5138  
135 , 1.820, 118    , -29    , 6      , -5178  
136 , 1.830, 118    , -34    , 6      , -5053  
137 , 1.840, 118    , -38    , 6      , -4883  
138 , 1.852, 118    , -44    , 5      , -4580  
139 , 1.861, 118    , -47    , 5      , -4215  
140 , 1.871, 118    , -49    , 4      , -3715  
141 , 1.881, 118    , -48    , 4      , -3185  
142 , 1.895, 118    , -46    , 3      , -2459  
143 , 1.903, 118    , -45    , 2      , -1899  
144 , 1.913, 118    , -43    , 2      , -1579  
145 , 1.923, 118    , -40    , 2      , -1379  
146 , 1.933, 118    , -38    , 2      , -1299  
147 , 1.943, 118    , -36    , 1      , -1234  
148 , 1.953, 118    , -32    , 1      , -1214  
149 , 1.964, 118    , -30    , 2      , -1490  
150 , 1.976, 121    , -27    , 2      , -1880  
151 , 1.986, 121    , -25    , 3      , -2403  
152 , 1.996, 121    , -24    , 3      , -2848  
153 , 2.006, 121    , -24    , 4      , -3203  
154 , 2.020, 121    , -24    , 4      , -3558  
155 , 2.028, 121    , -26    , 4      , -3853  
156 , 2.036, 121    , -27    , 5      , -4148  
157 , 2.046, 121    , -29    , 5      , -4323  
158 , 2.056, 121    , -32    , 5      , -4288  
159 , 2.066, 121    , -34    , 5      , -4269  
160 , 2.076, 116    , -36    , 5      , -4024  
161 , 2.088, 116    , -38    , 4      , -3460  
162 , 2.098, 116    , -40    , 3      , -2780  
163 , 2.108, 116    , -39    , 2      , -1950  
164 , 2.118, 116    , -39    , 1      , -1165  
165 , 2.128, 116    , -37    , 1      , -576   
166 , 2.138, 116    , -35    , 0      , -61    
167 , 2.148, 116    , -33    , 0      , 244    
168 , 2.158, 116    , -30    , -1     , 534    
169 , 2.168, 116    , -27    , -1     , 674    
170 , 2.178, 118    , -23    , -1     , 739    
171 , 2.188, 118    , -19    , -1     , 818    
172 , 2.198, 118    , -16    , -1     , 853    
173 , 2.208, 118    , -12    , -1     , 903    
174 , 2.218, 118    , -8     , -1     , 953    
175 , 2.228, 118    , -5     , -1     , 942    
176 , 2.238, 118    , -2     , -1     , 887    
177 , 2.248, 118    , 1      , -1     , 832    
178 , 2.258, 118    , 3      , -1     , 777    
179 , 2.268, 118    , 5      , -1     , 527    
180 , 2.278, 116    , 6      , 0      , 336    
181 , 2.288, 116    , 6      , 0      , 131    
182 , 2.298, 116    , 5      , 0      , 46     
183 , 2.308, 116    , 4      , 0      , 96     
184 , 2.318, 116    , 3      , 0      , 175    
185 , 2.328, 116    , 3      , 0      , 405    
186 , 2.338, 116    , 4      , -1     , 755    
187 , 2.348, 116    , 4      , -1     , 1225   
188 , 2.358, 116    , 5      , -2     , 1694   
189 , 2.368, 116    , 7      , -2     , 2134   
190 , 2.378, 118    , 8      , -3     , 2514   
191 , 2.389, 118    , 10     , -3     , 2997   
192 , 2.399, 118    , 13     , -4     , 3317   
193 , 2.409, 118    , 16     , -4     , 3577   
194 , 2.419, 118    , 19     , -4     , 3777   
195 , 2.431, 118    , 23     , -4     , 3798   
196 , 2.440, 118    , 26     , -4     , 3818   
197 , 2.451, 118    , 29     , -4     , 3688   
198 , 2.460, 118    , 32     , -4     , 3497   
199 , 2.470, 118    , 34     , -4     , 3037   
200 , 2.480, 120    , 35     , -3     , 2547   
201 , 2.490, 120    , 35     , -2     , 1997   
202 , 2.500, 120    , 35     , -2     , 1506   
203 , 2.510, 120    , 34     , -1     , 1016   
204 , 2.520, 120    , 32     , -1     , 601    
205 , 2.530, 120    , 30     , 0      , 185    
206 , 2.540, 120    , 28     , 0      , -5     
207 , 2.550, 120    , 24     , 0      , -90    
208 , 2.560, 120    , 21     , 0      , -41    
209 , 2.570, 120    , 18     , 0      , 9      
210 , 2.580, 118    , 16     , 0      , 314    
211 , 2.590, 118    , 14     , -1     , 678    
212 , 2.600, 118    , 12     , -1     , 1058   
213 , 2.610, 118    , 10     , -2     , 1678   
214 , 2.620, 118    , 10     , -3     , 2252   
215 , 2.630, 118    , 12     , -3     , 2677   
216 , 2.640, 118    , 13     , -4     , 3072   
217 , 2.650, 118    , 15     , -4     , 3391   
218 , 2.660, 118    , 17     , -4     , 3456   
219 , 2.670, 118    , 20     , -4     , 3445   
220 , 2.680, 118    , 23     , -4     , 3135   
221 , 2.690, 118    , 25     , -3     , 2825   
222 , 2.700, 118    , 28     , -2     , 2094   
223 , 2.710, 118    , 28     , -1     , 1289   
224 , 2.720, 118    , 28     , -1     , 439    
225 , 2.730, 118    , 27     , 0      , -412   
226 , 2.740, 118    , 25     , 2      , -1367  
227 , 2.750, 118    , 22     , 3      , -2322  
228 , 2.760, 118    , 19     , 4      , -3278  
229 , 2.770, 118    , 14     , 4      , -3768  
230 , 2.780, 116    , 9      , 5      , -4004  
231 , 2.791, 116    , 1      , 5      , -3982  
232 , 2.801, 116    , -3     , 5      , -3932  
233 , 2.811, 116    , -11    , 4      , -3598  
234 , 2.821, 116    , -18    , 4      , -3098  
235 , 2.832, 116    , -23    , 3      , -2434  
236 , 2.842, 116    , -27    , 2      , -1719  
237 , 2.852, 116    , -29    , 1      , -1084  
238 , 2.862, 116    , -29    , 1      , -435   
239 , 2.872, 116    , -29    , 0      , 35     
240 , 2.882, 120    , -28    , 0      , 144    
241 , 2.892, 120    , -26    , 0      , 254    
242 , 2.902, 120    , -24    , 0      , 259    
243 , 2.912, 120    , -21    , 0      , 173    
244 , 2.924, 120    , -18    , 0      , 63     
245 , 2.934, 120    , -14    , 1      , -477   
246 , 2.945, 120    , -12    , 1      , -1016  
247 , 2.957, 120    , -10    , 2      , -1968  
248 , 2.969, 120    , -10    , 3      , -3007  
249 , 2.979, 120    , -11    , 5      , -3959  
250 , 2.989, 120    , -14    , 6      , -5004  
251 , 3.009, 120    , -22    , 7      , -6427  
252 , 3.017, 120    , -27    , 8      , -7022  
253 , 3.027, 120    , -33    , 9      , -7393  
254 , 3.037, 120    , -39    , 9      , -7358  
255 , 3.047, 120    , -46    , 8      , -7278  
256 , 3.057, 120    , -53    , 8      , -6899  
257 , 3.067, 120    , -59    , 7      , -6339  
258 , 3.078, 116    , -64    , 6      , -5525  
259 , 3.088, 116    , -68    , 5      , -4575  
260 , 3.098, 116    , -68    , 4      , -3491  
261 , 3.108, 116    , -66    , 2      , -1971  
262 , 3.117, 116    , -62    , 1      , -451   
