Row, Timestamp, Series 1, Series 2, Series 3, Series 4
0   , 0.678, 0      , 0      , 0      , 0      
1   , 0.689, 0      , 0      , 0      , -1     
2   , 0.699, 5      , 0      , 0      , -1     
3   , 0.709, 5      , 0      , 0      , -2     
4   , 0.719, 5      , 0      , 0      , -3     
5   , 0.729, 5      , 0      , 0      , -3     
6   , 0.739, 5      , 0      , 0      , -3     
7   , 0.749, 5      , 0      , 0      , -5     
8   , 0.759, 5      , 0      , 0      , -6     
9   , 0.769, 5      , 0      , 0      , -7     
10  , 0.779, 5      , 0      , -1     , -8     
11  , 0.789, 5      , 0      , 0      , -8     
12  , 0.799, 70     , -1     , 0      , -6     
13  , 0.812, 70     , -2     , 0      , -1     
14  , 0.822, 70     , -3     , 0      , 3      
15  , 0.832, 70     , -2     , 0      , 6      
16  , 0.842, 70     , -1     , 1      , 9      
17  , 0.852, 70     , 1      , 1      , 11     
18  , 0.862, 70     , 2      , 1      , 13     
19  , 0.872, 70     , 3      , 1      , 14     
20  , 0.882, 70     , 5      , 1      , 16     
21  , 0.892, 70     , 6      , 1      , 17     
22  , 0.902, 103    , 7      , 1      , 16     
23  , 0.912, 103    , 8      , 1      , 14     
24  , 0.922, 103    , 10     , 1      , 13     
25  , 0.932, 103    , 11     , 1      , 9      
26  , 0.942, 103    , 12     , 0      , 6      
27  , 0.952, 103    , 11     , 0      , 3      
28  , 0.962, 103    , 11     , 0      , 0      
29  , 0.972, 103    , 9      , 0      , -2     
30  , 0.982, 103    , 8      , 0      , -4     
31  , 0.992, 103    , 7      , 0      , -4     
32  , 1.002, 118    , 5      , 0      , -5     
33  , 1.013, 118    , 4      , 0      , -4     
34  , 1.023, 118    , 3      , 0      , -3     
35  , 1.033, 118    , 2      , 0      , -3     
36  , 1.043, 118    , 1      , 0      , -1     
37  , 1.053, 118    , 0      , 0      , 1      
38  , 1.063, 118    , 0      , 0      , 5      
39  , 1.073, 118    , 1      , 0      , 6      
40  , 1.083, 118    , 2      , 0      , 7      
41  , 1.093, 118    , 3      , 1      , 8      
42  , 1.103, 121    , 4      , 1      , 7      
43  , 1.113, 121    , 4      , 0      , 5      
44  , 1.123, 121    , 4      , 0      , 3      
45  , 1.133, 121    , 4      , 0      , 2      
46  , 1.143, 121    , 3      , 0      , 0      
47  , 1.153, 121    , 3      , 0      , -2     
48  , 1.163, 121    , 2      , 0      , -2     
49  , 1.173, 121    , 1      , 0      , -2     
50  , 1.183, 121    , 1      , 0      , -2     
51  , 1.193, 121    , 0      , 0      , -1     
52  , 1.203, 121    , 0      , 0      , -2     
53  , 1.213, 121    , 0      , 0      , 0      
54  , 1.223, 121    , 0      , 0      , -1     
55  , 1.233, 121    , 0      , 0      , -1     
56  , 1.243, 121    , 0      , 0      , -2     
57  , 1.253, 121    , 0      , 0      , -4     
58  , 1.263, 121    , 0      , 0      , -6     
59  , 1.273, 121    , 0      , 0      , -7     
60  , 1.283, 121    , 0      , 0      , -8     
61  , 1.293, 121    , 0      , -1     , -10    
62  , 1.303, 123    , 0      , -1     , -11    
63  , 1.313, 123    , 0      , -1     , -12    
64  , 1.323, 123    , -1     , -1     , -12    
65  , 1.333, 123    , -2     , -1     , -14    
66  , 1.343, 123    , -3     , -1     , -15    
67  , 1.354, 123    , -6     , -1     , -16    
68  , 1.364, 123    , -7     , -1     , -16    
69  , 1.373, 123    , -9     , -1     , -16    
70  , 1.383, 123    , -10    , -1     , -13    
71  , 1.393, 123    , -12    , -1     , -10    
72  , 1.403, 123    , -12    , 0      , -4     
73  , 1.413, 123    , -11    , 0      , 1      
74  , 1.423, 123    , -10    , 0      , 7      
75  , 1.433, 123    , -9     , 1      , 12     
76  , 1.443, 123    , -7     , 1      , 15     
77  , 1.453, 123    , -5     , 1      , 17     
78  , 1.463, 123    , -3     , 1      , 17     
79  , 1.474, 123    , 0      , 1      , 13     
80  , 1.484, 123    , 2      , 1      , 9      
81  , 1.494, 123    , 4      , 0      , 5      
82  , 1.506, 125    , 5      , 0      , 1      
83  , 1.516, 125    , 5      , 0      , -4     
84  , 1.526, 125    , 4      , 0      , -8     
85  , 1.536, 125    , 3      , -1     , -13    
86  , 1.546, 125    , 1      , -1     , -15    
87  , 1.556, 125    , -1     , -1     , -16    
88  , 1.566, 125    , -2     , -1     , -17    
89  , 1.576, 125    , -4     , -1     , -16    
90  , 1.586, 125    , -6     , -1     , -13    
91  , 1.596, 125    , -8     , -1     , -10    
92  , 1.607, 125    , -10    , 0      , -6     
93  , 1.617, 125    , -10    , 0      , 0      
94  , 1.631, 125    , -9     , 0      , 9      
