Row, Timestamp, Series 1, Series 2, Series 3, Series 4
0   , 0.197, 0      , 0      , 0      , 0      
1   , 0.201, 0      , 0      , 0      , 0      
2   , 0.205, 0      , 0      , 0      , 0      
3   , 0.209, 0      , 0      , 0      , 0      
4   , 0.214, 0      , 0      , 0      , 0      
5   , 0.218, 0      , 0      , 0      , 0      
6   , 0.222, 2      , 0      , 0      , 0      
7   , 0.226, 2      , 0      , 0      , 0      
8   , 0.230, 2      , 0      , 0      , 0      
9   , 0.234, 2      , 0      , 0      , 0      
10  , 0.238, 2      , 0      , 0      , 0      
11  , 0.243, 2      , 0      , 0      , 0      
12  , 0.247, 2      , 0      , 0      , 0      
13  , 0.251, 2      , 0      , 0      , 0      
14  , 0.255, 2      , 0      , 0      , 0      
15  , 0.259, 2      , 0      , 0      , 1      
16  , 0.264, 2      , 0      , 0      , 1      
17  , 0.268, 2      , 0      , 0      , 1      
18  , 0.271, 2      , 0      , 0      , 1      
19  , 0.276, 2      , 0      , 0      , 1      
20  , 0.283, 2      , 0      , 0      , 1      
21  , 0.287, 2      , 0      , 0      , 1      
22  , 0.290, 2      , 0      , 0      , 1      
23  , 0.294, 2      , 0      , 0      , 1      
24  , 0.298, 2      , 0      , 0      , 0      
25  , 0.302, 2      , 0      , 0      , 0      
26  , 0.306, 2      , 0      , 0      , 1      
27  , 0.311, 2      , 0      , 0      , 1      
28  , 0.315, 2      , 0      , 0      , 1      
29  , 0.320, 29     , 0      , 0      , 1      
30  , 0.324, 29     , 0      , 0      , 0      
31  , 0.328, 29     , 0      , 0      , 0      
32  , 0.333, 29     , 0      , 0      , 0      
33  , 0.337, 29     , 0      , 0      , 1      
34  , 0.341, 29     , 0      , 0      , 0      
35  , 0.345, 29     , 0      , 0      , 0      
36  , 0.348, 29     , 0      , 0      , -1     
37  , 0.353, 29     , 0      , 0      , -1     
38  , 0.356, 29     , 0      , 0      , 0      
39  , 0.360, 29     , 0      , 0      , 0      
40  , 0.369, 29     , 0      , 0      , -1     
41  , 0.374, 29     , 0      , 0      , 0      
42  , 0.377, 29     , 0      , 0      , 0      
43  , 0.383, 29     , 0      , 0      , 0      
44  , 0.387, 29     , 0      , 0      , 0      
45  , 0.391, 29     , 0      , 0      , 1      
46  , 0.396, 29     , 0      , 0      , 1      
47  , 0.400, 29     , 0      , 0      , 1      
48  , 0.405, 29     , 0      , 0      , 2      
49  , 0.409, 29     , 0      , 0      , 2      
50  , 0.413, 29     , 0      , 0      , 2      
51  , 0.419, 29     , 0      , 0      , 2      
52  , 0.424, 47     , 0      , 0      , 1      
53  , 0.430, 47     , 0      , 0      , 2      
54  , 0.434, 47     , 0      , 0      , 2      
55  , 0.440, 47     , 0      , 0      , 2      
56  , 0.445, 47     , 0      , 0      , 3      
57  , 0.450, 47     , 0      , 0      , 4      
58  , 0.456, 47     , 0      , 0      , 3      
59  , 0.456, 47     , 0      , 0      , 3      
60  , 0.460, 47     , 0      , 0      , 3      
61  , 0.464, 47     , 0      , 0      , 3      
62  , 0.468, 47     , 0      , 0      , 3      
63  , 0.473, 47     , 0      , 0      , 3      
64  , 0.477, 47     , 0      , 0      , 3      
65  , 0.484, 47     , 0      , 0      , 3      
66  , 0.487, 47     , 0      , 0      , 4      
67  , 0.492, 47     , 0      , 0      , 5      
68  , 0.496, 47     , 0      , 0      , 5      
69  , 0.502, 47     , 0      , 0      , 5      
70  , 0.506, 47     , 0      , 0      , 6      
71  , 0.512, 47     , 0      , 0      , 6      
72  , 0.516, 47     , 0      , 0      , 7      
73  , 0.524, 52     , 0      , 0      , 8      
74  , 0.528, 52     , 0      , 0      , 8      
75  , 0.533, 52     , 0      , 0      , 8      
76  , 0.537, 52     , 0      , 0      , 8      
77  , 0.541, 52     , 0      , 0      , 8      
78  , 0.545, 52     , 0      , 0      , 8      
79  , 0.548, 52     , 0      , 0      , 8      
80  , 0.554, 52     , 1      , 0      , 8      
81  , 0.557, 52     , 1      , 1      , 9      
82  , 0.560, 52     , 1      , 1      , 9      
83  , 0.564, 52     , 1      , 1      , 10     
84  , 0.568, 52     , 2      , 1      , 10     
85  , 0.572, 52     , 2      , 1      , 11     
86  , 0.578, 52     , 2      , 1      , 11     
87  , 0.582, 52     , 3      , 1      , 13     
88  , 0.586, 52     , 3      , 1      , 14     
89  , 0.590, 52     , 3      , 1      , 13     
90  , 0.594, 52     , 4      , 1      , 13     
91  , 0.598, 52     , 4      , 1      , 14     
92  , 0.603, 52     , 4      , 1      , 15     
93  , 0.607, 52     , 5      , 1      , 14     
94  , 0.612, 52     , 5      , 1      , 12     
95  , 0.616, 52     , 6      , 1      , 12     
96  , 0.625, 52     , 7      , 1      , 12     
97  , 0.628, 53     , 7      , 1      , 11     
98  , 0.633, 53     , 8      , 1      , 10     
99  , 0.637, 53     , 8      , 1      , 8      
100 , 0.648, 53     , 8      , 0      , 7      
101 , 0.653, 53     , 8      , 0      , 0      
102 , 0.658, 53     , 8      , 0      , -2     
103 , 0.663, 53     , 7      , 0      , -2     
104 , 0.668, 53     , 7      , 0      , -3     
105 , 0.675, 53     , 6      , 0      , -6     
106 , 0.679, 53     , 5      , 0      , -7     
107 , 0.683, 53     , 5      , 0      , -9     
108 , 0.689, 53     , 4      , -1     , -11    
109 , 0.694, 53     , 3      , -1     , -11    
110 , 0.698, 53     , 3      , -1     , -11    
111 , 0.704, 53     , 2      , -1     , -11    
112 , 0.709, 53     , 1      , 0      , -9     
113 , 0.715, 53     , 0      , 0      , -8     
114 , 0.721, 53     , -1     , 0      , -8     
115 , 0.724, 53     , -2     , 0      , -7     
116 , 0.727, 53     , -3     , 0      , -6     
117 , 0.732, 53     , -3     , 0      , -4     
118 , 0.735, 53     , -3     , 0      , -2     
119 , 0.739, 53     , -4     , 0      , 0      
120 , 0.744, 53     , -4     , 0      , 2      
121 , 0.748, 53     , -3     , 0      , 4      
122 , 0.752, 53     , -3     , 0      , 5      
123 , 0.757, 53     , -3     , 0      , 7      
124 , 0.761, 53     , -3     , 1      , 8      
125 , 0.765, 53     , -2     , 1      , 9      
126 , 0.769, 53     , -1     , 1      , 11     
127 , 0.774, 53     , -1     , 1      , 11     
128 , 0.778, 53     , 0      , 1      , 11     
129 , 0.782, 53     , 0      , 1      , 11     
130 , 0.786, 53     , 1      , 1      , 11     
131 , 0.793, 53     , 1      , 1      , 11     
132 , 0.796, 53     , 2      , 1      , 11     
133 , 0.804, 53     , 3      , 1      , 9      
134 , 0.808, 53     , 3      , 1      , 8      
135 , 0.814, 53     , 4      , 0      , 5      
136 , 0.818, 53     , 4      , 0      , 4      
137 , 0.823, 53     , 4      , 0      , 1      
138 , 0.827, 54     , 5      , 0      , -1     
139 , 0.831, 54     , 5      , 0      , -3     
140 , 0.835, 54     , 4      , 0      , -4     
141 , 0.839, 54     , 4      , 0      , -5     
142 , 0.844, 54     , 4      , 0      , -6     
143 , 0.848, 54     , 4      , 0      , -7     
144 , 0.853, 54     , 3      , 0      , -8     
145 , 0.856, 54     , 3      , 0      , -8     
146 , 0.863, 54     , 2      , 0      , -8     
147 , 0.867, 54     , 2      , 0      , -9     
148 , 0.872, 54     , 1      , 0      , -9     
149 , 0.876, 54     , 0      , 0      , -9     
150 , 0.885, 54     , -1     , 0      , -9     
151 , 0.889, 54     , -1     , 0      , -9     
152 , 0.894, 54     , -2     , 0      , -9     
153 , 0.897, 54     , -2     , 0      , -9     
154 , 0.902, 54     , -3     , 0      , -9     
155 , 0.906, 54     , -3     , 0      , -9     
156 , 0.909, 54     , -4     , 0      , -9     
157 , 0.913, 54     , -4     , 0      , -9     
158 , 0.917, 54     , -4     , 0      , -7     
159 , 0.922, 54     , -5     , 0      , -7     
160 , 0.925, 54     , -5     , 0      , -8     
161 , 0.929, 54     , -5     , 0      , -7     
162 , 0.934, 54     , -6     , 0      , -7     
163 , 0.937, 54     , -6     , 0      , -6     
164 , 0.943, 54     , -6     , 0      , -5     
165 , 0.947, 54     , -6     , 0      , -4     
166 , 0.952, 54     , -5     , 0      , -5     
167 , 0.956, 54     , -5     , 0      , -5     
168 , 0.963, 54     , -5     , 0      , -5     
169 , 0.967, 54     , -5     , 0      , -5     
170 , 0.971, 54     , -5     , 0      , -5     
171 , 0.974, 54     , -5     , 0      , -5     
172 , 0.978, 54     , -5     , 0      , -5     
173 , 0.983, 54     , -5     , 0      , -5     
174 , 0.986, 54     , -5     , 0      , -5     
175 , 0.991, 54     , -5     , 0      , -5     
176 , 0.995, 54     , -5     , 0      , -6     
177 , 0.998, 54     , -5     , 0      , -7     
178 , 1.004, 54     , -5     , 0      , -7     
179 , 1.008, 54     , -6     , 0      , -8     
180 , 1.013, 54     , -6     , 0      , -9     
181 , 1.017, 54     , -6     , -1     , -10    
182 , 1.020, 54     , -6     , -1     , -10    
183 , 1.026, 54     , -6     , -1     , -11    
184 , 1.030, 52     , -6     , -1     , -11    
185 , 1.034, 52     , -6     , 0      , -7     
186 , 1.038, 52     , -6     , 0      , -1     
187 , 1.042, 52     , -6     , 0      , -4     
188 , 1.046, 52     , -5     , 0      , -7     
189 , 1.050, 52     , -5     , -1     , -10    
190 , 1.054, 52     , -5     , -1     , -10    
191 , 1.059, 52     , -5     , -1     , -10    
192 , 1.063, 52     , -6     , -1     , -11    
193 , 1.068, 52     , -6     , -1     , -12    
194 , 1.075, 52     , -7     , -1     , -12    
195 , 1.079, 52     , -8     , -1     , -13    
196 , 1.084, 52     , -8     , -1     , -14    
197 , 1.088, 52     , -9     , -1     , -14    
198 , 1.093, 52     , -9     , -1     , -14    
