t	v	delta	phi	u	ref
0	0	0	0	0	0
1	0	0	0	0	0
2	0	0	0	1	0
3	0	0	0	1	0
4	0	0	0	2	0
5	0	0	0	3	0
6	4	0	0	3	0
7	4	0	0	4	0
8	4	0	0	4	0
9	4	0	0	5	0
10	4	0	0	6	0
11	4	0	0	6	0
12	4	0	0	6	0
13	4	0	0	6	0
14	4	0	0	7	0
15	4	0	0	6	0
16	4	0	0	6	0
17	4	0	0	7	0
18	4	1	0	8	0
19	4	1	0	8	0
20	4	2	0	9	0
21	4	3	1	9	0
22	4	4	1	9	0
23	4	4	1	9	0
24	4	5	1	9	0
25	33	6	1	9	0
26	33	7	0	8	0
27	33	7	0	7	0
28	33	7	0	2	0
29	33	7	0	0	0
30	33	6	0	-2	0
31	33	6	0	-5	0
32	33	5	0	-8	0
33	33	4	-1	-11	0
34	33	3	-1	-13	0
35	33	3	-1	-15	0
36	33	1	-1	-17	0
37	33	1	-1	-18	0
38	33	-1	-1	-19	0
39	33	-2	-1	-20	0
40	33	-3	-1	-19	0
41	33	-4	-1	-19	0
42	33	-5	-1	-18	0
43	46	-6	-1	-16	0
44	46	-7	-1	-14	0
45	46	-9	-1	-12	0
46	46	-10	-1	-9	0
47	46	-11	0	-6	0
48	46	-11	0	-5	0
49	46	-11	0	-3	0
50	46	-10	0	-2	0
51	46	-9	0	-1	0
52	46	-9	0	1	0
53	46	-9	0	2	0
54	46	-8	0	2	0
55	46	-8	0	0	0
56	46	-7	0	-2	0
57	46	-7	0	-2	0
58	46	-6	0	-5	0
59	46	-6	0	-6	0
60	46	-6	-1	-9	0
61	46	-7	-1	-11	0
62	50	-7	-1	-14	0
63	50	-8	-1	-17	0
64	50	-9	-1	-20	0
65	50	-9	-1	-22	0
66	50	-10	-1	-24	0
67	50	-11	-1	-25	0
68	50	-13	-2	-27	0
69	50	-13	-2	-28	0
70	50	-15	-2	-29	0
71	50	-16	-2	-29	0
72	50	-17	-2	-29	0
73	50	-18	-2	-29	0
74	50	-19	-2	-28	0
75	50	-20	-2	-28	0
76	50	-22	-2	-27	0
77	50	-23	-2	-25	0
78	50	-24	-1	-24	0
79	50	-25	-1	-22	0
80	50	-25	-1	-21	0
81	52	-25	-1	-20	0
82	52	-25	-1	-19	0
83	52	-25	-1	-18	0
84	52	-25	-1	-17	0
85	52	-24	-1	-16	0
86	52	-24	-1	-17	0
87	52	-23	-1	-16	0
88	52	-23	-1	-16	0
89	52	-23	-1	-17	0
90	52	-23	-1	-18	0
91	52	-23	-1	-19	0
92	52	-23	-1	-20	0
93	52	-23	-1	-21	0
94	52	-23	-1	-82	5
95	52	-24	-1	-84	5
96	52	-25	-2	-85	5
97	52	-27	-2	-86	5
98	52	-29	-2	-86	5
99	51	-34	-2	-87	5
100	51	-37	-2	-87	5
101	51	-39	-2	-87	5
102	51	-44	-2	-87	5
103	51	-48	-2	-85	5
104	51	-51	-1	-83	5
105	51	-57	-1	-76	5
106	51	-60	-1	-69	5
107	51	-64	0	-60	5
108	51	-67	0	-52	5
109	51	-68	1	-42	5
110	51	-68	1	-31	5
111	51	-68	2	-20	5
112	51	-65	3	-6	5
113	51	-64	4	9	5
114	51	-60	5	26	5
115	51	-58	6	43	5
116	51	-54	7	61	5
117	51	-51	8	79	5
118	50	-47	9	96	5
119	50	-44	10	114	5
120	50	-42	11	129	5
121	50	-37	12	146	5
122	50	-33	12	163	5
123	50	-31	13	178	5
124	50	-27	14	196	5
125	50	-25	15	211	5
126	50	-20	16	228	5
127	50	-17	17	243	5
128	50	-15	18	253	5
129	50	-13	18	263	5
130	50	-11	19	276	5
131	50	-6	20	292	5
132	50	-4	21	301	5
133	50	0	21	312	5
134	50	3	22	324	5
135	50	6	23	341	5
136	51	13	24	354	5
137	51	16	25	368	5
138	51	21	26	382	5
139	51	27	27	402	5
140	51	31	28	419	5
141	51	37	29	441	5
142	51	43	30	461	5
143	51	49	32	481	5
144	51	53	33	504	5
145	51	56	34	524	5
146	51	62	37	574	5
147	51	67	40	617	5
148	51	73	41	648	5
149	51	76	44	684	5
150	51	84	47	734	5
151	51	87	49	777	5
152	51	91	51	815	5
153	51	95	54	865	5
154	51	103	57	908	5
155	55	109	60	955	5
156	55	113	62	997	5
157	55	120	65	1039	5
158	55	124	67	1081	5
159	55	130	70	1122	5
160	55	135	72	1164	5
161	55	141	75	1205	5
162	55	147	77	1239	5
163	55	158	80	1296	5
164	55	164	85	1370	5
165	55	169	87	1411	5
166	55	175	90	1460	5
167	55	179	93	1500	5
168	55	188	95	1541	5
169	55	192	95	1531	5
170	55	198	94	1517	5
171	55	202	96	1534	5
172	55	210	99	1587	5
173	56	216	101	1620	5
174	56	220	101	1623	5
175	56	226	102	1634	5
176	56	230	104	1655	5
177	56	237	104	1647	5
178	56	241	103	1638	5
179	56	247	103	1633	5
180	56	254	103	1627	5
181	56	260	103	1610	5
182	56	265	102	1598	5
183	56	273	102	1590	5
184	56	281	101	1571	5
185	56	283	101	1555	5
186	56	289	100	1536	5
187	56	294	99	1522	5
188	56	300	99	1507	5
189	56	302	98	1487	5
190	56	311	97	1467	5
191	56	315	96	1449	5
192	55	322	95	1425	5
193	55	326	94	1400	5
194	55	333	92	1372	5
195	55	339	91	1349	5
196	55	345	91	1337	5
197	55	350	90	1325	5
198	55	354	90	1316	5
199	55	360	89	1300	5
200	55	366	89	1289	5
201	55	375	89	1286	5
202	55	379	89	1288	5
203	55	386	89	1290	5
204	55	395	89	1284	5
205	55	399	90	1289	5
206	55	407	90	1293	5
207	55	411	91	1299	5
208	55	416	91	1302	5
209	55	419	91	1301	5
210	55	424	91	1300	5
211	55	426	92	1311	5
212	55	432	93	1319	5
213	55	436	93	1324	5
214	55	443	93	1324	5
215	55	446	93	1318	5
216	55	455	93	1320	5
217	55	458	93	1315	5
218	55	462	93	1303	5
219	55	467	93	1298	5
220	55	473	93	1300	5
221	55	485	92	1278	5
222	55	492	92	1279	5
223	55	496	92	1275	5
224	55	500	92	1264	5
225	55	508	91	1252	5
226	55	511	91	1249	5
227	55	519	91	1249	5
228	55	523	91	1249	5
229	55	527	91	1247	5
230	55	534	91	1246	5
231	55	544	91	1241	5
232	55	547	91	1239	5
233	55	555	91	1238	5
234	55	560	91	1238	5
235	55	566	91	1236	5
236	55	573	91	1232	5
237	55	577	91	1225	5
238	55	588	91	1221	5
239	55	593	91	1220	5
240	55	599	91	1217	5
241	55	602	91	1215	5
242	55	608	91	1216	5
243	55	614	91	1216	5
244	55	617	92	1220	5
245	56	622	92	1221	5
246	56	625	92	1222	5
247	56	630	92	1217	5
248	56	635	92	1215	5
249	56	639	92	1219	5
250	56	645	92	1212	5
251	56	651	92	1210	5
252	56	657	92	1208	5
253	56	659	92	1212	5
254	56	669	92	1209	5
255	56	673	92	1200	5
256	56	682	92	1196	5
257	56	682	92	1196	5
258	56	690	91	1191	5
259	56	697	91	1185	5
260	56	699	91	1179	5
261	56	709	91	1176	5
262	56	714	91	1177	5
263	55	718	91	1179	5
264	55	722	91	1178	5
265	55	731	91	1172	5
266	55	738	91	1173	5
267	55	742	91	1174	5
268	55	747	91	1175	5
269	55	753	91	1171	5
270	55	758	91	1167	5
271	55	764	91	1168	5
272	55	769	91	1167	5
273	55	775	91	1165	5
274	55	779	91	1163	5
275	55	784	91	1164	5
276	55	788	91	1164	5
277	55	793	91	1164	5
278	55	796	92	1165	5
279	55	801	92	1169	5
280	55	806	92	1165	5
281	55	810	91	1159	5
282	56	818	92	1162	5
283	56	823	92	1164	5
284	56	827	92	1159	5
285	56	831	91	1154	5
286	56	837	91	1148	5
287	56	841	91	1147	5
288	56	847	92	1151	5
289	56	854	92	1155	5
290	56	858	92	1151	5
291	56	867	92	1151	5
292	56	871	92	1148	5
293	56	875	91	1142	5
294	56	879	91	1136	5
295	56	887	91	1137	5
296	56	892	91	1137	5
297	56	898	91	1140	5
298	56	905	91	1135	5
299	56	907	91	1132	5
300	56	913	91	1132	5
301	56	918	91	1134	5
302	56	927	91	1134	5
303	56	935	91	1130	5
304	56	940	91	1127	5
305	56	944	91	1125	5
306	56	953	91	1124	5
307	56	957	91	1122	5
308	56	963	91	1119	5
309	56	964	91	1120	5
310	56	971	91	1126	5
311	56	974	92	1131	5
312	56	981	92	1129	5
313	56	984	91	1124	5
314	56	989	91	1123	5
315	56	992	92	1125	5
316	56	996	92	1126	5
317	56	1001	91	1120	5
318	56	1006	91	1115	5
319	56	1009	91	1118	5
320	56	1015	92	1122	5
321	56	1023	92	1120	5
322	56	1027	92	1117	5
323	56	1033	91	1107	5
324	56	1035	91	1104	5
325	56	1044	91	1106	5
326	56	1048	91	1104	5
327	56	1057	91	1096	5
328	56	1061	90	1093	5
329	56	1069	91	1095	5
330	56	1074	91	1096	5
331	56	1078	91	1096	5
332	56	1083	91	1095	5
333	56	1086	91	1093	5
334	56	1090	91	1093	5
335	56	1093	91	1093	5
336	56	1097	91	1093	5
337	56	1099	91	1092	5
338	56	1100	91	1090	5
339	56	1101	91	1089	5
340	56	1101	91	1092	5
341	56	1100	91	1093	5
342	56	1099	91	1089	5
