Row, Timestamp, Series 1, Series 2, Series 3, Series 4
0   , 0.544, 0      , 0      , 0      , -13    
1   , 0.554, 0      , 0      , 0      , -45    
2   , 0.564, 5      , 0      , 0      , -55    
3   , 0.574, 5      , 0      , 0      , -88    
4   , 0.584, 5      , 0      , 0      , -110   
5   , 0.594, 5      , 0      , 0      , -154   
6   , 0.604, 5      , 0      , 0      , -187   
7   , 0.614, 5      , -1     , 0      , -186   
8   , 0.624, 5      , -1     , 0      , -162   
9   , 0.634, 5      , -1     , 0      , -241   
10  , 0.644, 5      , -1     , 0      , -308   
11  , 0.654, 5      , -1     , 1      , -421   
12  , 0.664, 63     , -1     , 1      , -568   
13  , 0.674, 63     , -1     , 2      , -1148  
14  , 0.684, 63     , -1     , 3      , -1683  
15  , 0.694, 63     , -2     , 4      , -2331  
16  , 0.704, 63     , -4     , 4      , -2911  
17  , 0.714, 63     , -7     , 6      , -3639  
18  , 0.724, 63     , -10    , 7      , -4413  
19  , 0.734, 63     , -14    , 8      , -4936  
20  , 0.744, 63     , -19    , 8      , -5140  
21  , 0.755, 63     , -24    , 8      , -5138  
22  , 0.764, 93     , -28    , 7      , -4851  
23  , 0.774, 93     , -32    , 7      , -4405  
24  , 0.784, 93     , -38    , 6      , -3981  
25  , 0.794, 93     , -41    , 5      , -3523  
26  , 0.804, 93     , -44    , 5      , -3225  
27  , 0.814, 93     , -44    , 4      , -2847  
28  , 0.824, 93     , -43    , 4      , -2582  
29  , 0.834, 93     , -43    , 3      , -2261  
30  , 0.846, 93     , -41    , 3      , -1898  
31  , 0.856, 93     , -39    , 3      , -1649  
32  , 0.866, 110    , -37    , 2      , -1453  
33  , 0.876, 110    , -35    , 2      , -1336  
34  , 0.886, 110    , -33    , 2      , -1288  
35  , 0.896, 110    , -31    , 2      , -1194  
36  , 0.911, 110    , -28    , 2      , -1128  
37  , 0.921, 110    , -26    , 2      , -1192  
38  , 0.931, 110    , -24    , 2      , -1188  
39  , 0.941, 110    , -22    , 2      , -1174  
40  , 0.951, 110    , -20    , 2      , -1204  
41  , 0.961, 118    , -19    , 2      , -1326  
42  , 0.971, 118    , -18    , 2      , -1391  
43  , 0.981, 118    , -17    , 2      , -1387  
44  , 0.991, 118    , -17    , 2      , -1315  
45  , 1.002, 118    , -17    , 2      , -1170  
46  , 1.012, 118    , -17    , 2      , -1054  
47  , 1.022, 118    , -17    , 1      , -879   
48  , 1.032, 118    , -17    , 1      , -657   
49  , 1.042, 118    , -17    , 1      , -345   
50  , 1.052, 118    , -17    , 0      , -55    
51  , 1.062, 120    , -16    , -1     , 349    
52  , 1.072, 120    , -16    , -1     , 912    
53  , 1.082, 120    , -14    , -2     , 1430   
54  , 1.092, 120    , -11    , -3     , 1960   
55  , 1.102, 120    , -8     , -4     , 2433   
56  , 1.114, 120    , -4     , -4     , 2771   
57  , 1.124, 120    , 0      , -4     , 2933   
58  , 1.134, 120    , 3      , -5     , 3224   
59  , 1.144, 120    , 7      , -5     , 3344   
60  , 1.154, 120    , 12     , -5     , 3464   
61  , 1.167, 123    , 17     , -5     , 3510   
62  , 1.175, 123    , 20     , -5     , 3584   
63  , 1.185, 123    , 23     , -5     , 3590   
64  , 1.195, 123    , 26     , -6     , 3654   
65  , 1.206, 123    , 30     , -6     , 3676   
66  , 1.216, 123    , 33     , -6     , 3693   
67  , 1.226, 123    , 35     , -6     , 3700   
68  , 1.236, 123    , 37     , -6     , 3776   
69  , 1.246, 123    , 38     , -6     , 3749   
70  , 1.256, 123    , 39     , -6     , 3825   
71  , 1.266, 115    , 38     , -6     , 3924   
72  , 1.276, 115    , 38     , -6     , 3989   
73  , 1.286, 115    , 38     , -6     , 4111   
74  , 1.296, 115    , 38     , -7     , 4267   
75  , 1.306, 115    , 38     , -7     , 4413   
76  , 1.316, 115    , 39     , -7     , 4763   
77  , 1.326, 115    , 40     , -8     , 5000   
78  , 1.336, 115    , 42     , -8     , 5214   
79  , 1.346, 115    , 43     , -9     , 5553   
80  , 1.356, 115    , 45     , -9     , 5882   
81  , 1.366, 121    , 48     , -9     , 6050   
82  , 1.376, 121    , 49     , -9     , 6197   
83  , 1.386, 121    , 52     , -9     , 6126   
84  , 1.396, 121    , 55     , -9     , 5988   
85  , 1.406, 121    , 57     , -9     , 5906   
86  , 1.416, 121    , 59     , -9     , 5609   
87  , 1.427, 121    , 59     , -8     , 5208   
88  , 1.437, 121    , 59     , -7     , 4774   
89  , 1.447, 121    , 58     , -6     , 4112   
90  , 1.457, 121    , 56     , -5     , 3336   
91  , 1.467, 121    , 54     , -4     , 2457   
92  , 1.477, 121    , 51     , -2     , 1480   
93  , 1.488, 121    , 47     , -1     , 401    
94  , 1.498, 121    , 43     , 1      , -501   
95  , 1.508, 121    , 38     , 2      , -1356  
96  , 1.518, 121    , 31     , 3      , -1915  
97  , 1.532, 121    , 25     , 4      , -2553  
98  , 1.539, 121    , 22     , 4      , -2862  
99  , 1.551, 121    , 15     , 4      , -2697  
100 , 1.560, 121    , 10     , 4      , -2538  
101 , 1.575, 120    , 1      , 3      , -2134  
102 , 1.583, 120    , -4     , 3      , -1805  
103 , 1.593, 120    , -8     , 2      , -1337  
104 , 1.603, 120    , -12    , 1      , -903   
105 , 1.613, 120    , -14    , 1      , -571   
106 , 1.623, 120    , -14    , 1      , -341   
107 , 1.633, 120    , -14    , 0      , -191   
108 , 1.643, 120    , -14    , 0      , -281   
109 , 1.653, 120    , -14    , 1      , -610   
