Row, Timestamp, Series 1, Series 2, Series 3, Series 4
0   , 0.336, 0      , 0      , 0      , -19    
1   , 0.346, 0      , 0      , 0      , -111   
2   , 0.356, 1      , 0      , 0      , -259   
3   , 0.366, 1      , 0      , 0      , -218   
4   , 0.376, 1      , 0      , 0      , 92     
5   , 0.386, 1      , 0      , 0      , -43    
6   , 0.396, 1      , 0      , 0      , -227   
7   , 0.406, 1      , 0      , 0      , -226   
8   , 0.416, 1      , 0      , 0      , -488   
9   , 0.426, 1      , 0      , 1      , -768   
10  , 0.436, 1      , 0      , 1      , -629   
11  , 0.446, 1      , -1     , 1      , -660   
12  , 0.456, 58     , -2     , 1      , -775   
13  , 0.466, 58     , -3     , 1      , -245   
14  , 0.476, 58     , -3     , 0      , 569    
15  , 0.487, 58     , -3     , 0      , 967    
16  , 0.497, 58     , -2     , -1     , 2011   
17  , 0.507, 58     , -1     , -2     , 2761   
18  , 0.517, 58     , 2      , -3     , 3081   
19  , 0.527, 58     , 4      , -4     , 3242   
20  , 0.539, 58     , 9      , -4     , 2699   
21  , 0.548, 90     , 11     , -3     , 1894   
22  , 0.558, 90     , 13     , -3     , 1382   
23  , 0.568, 90     , 15     , -2     , 681    
24  , 0.578, 90     , 15     , -1     , -20    
25  , 0.588, 90     , 15     , 0      , -803   
26  , 0.598, 90     , 13     , 0      , -13    
27  , 0.608, 90     , 12     , 0      , 313    
28  , 0.618, 90     , 11     , -1     , 1055   
29  , 0.628, 90     , 11     , -1     , 1481   
30  , 0.638, 90     , 11     , -2     , 2367   
31  , 0.648, 103    , 11     , -3     , 2973   
32  , 0.658, 103    , 12     , -4     , 2999   
33  , 0.668, 103    , 14     , -3     , 1842   
34  , 0.678, 103    , 15     , -3     , 2036   
35  , 0.688, 103    , 16     , -3     , 1193   
36  , 0.698, 103    , 16     , -2     , 1046   
37  , 0.708, 103    , 16     , -1     , -622   
38  , 0.718, 103    , 14     , -1     , -97    
39  , 0.729, 103    , 13     , 0      , -529   
40  , 0.740, 103    , 11     , 0      , -138   
41  , 0.751, 110    , 9      , 0      , 213    
42  , 0.760, 110    , 8      , 0      , 831    
43  , 0.771, 110    , 8      , -1     , 1521   
44  , 0.783, 110    , 8      , -1     , 1199   
45  , 0.793, 110    , 9      , -2     , 1840   
46  , 0.808, 110    , 11     , -2     , 1207   
47  , 0.816, 110    , 11     , -2     , 796    
48  , 0.826, 110    , 10     , -1     , -257   
49  , 0.836, 110    , 9      , 0      , -237   
50  , 0.846, 110    , 8      , 1      , -1461  
51  , 0.856, 110    , 6      , 1      , -1369  
52  , 0.866, 110    , 3      , 2      , -1901  
53  , 0.876, 110    , 1      , 2      , -868   
54  , 0.886, 110    , -1     , 1      , -288   
55  , 0.896, 110    , -3     , 1      , -11    
56  , 0.906, 110    , -3     , 0      , 808    
57  , 0.916, 110    , -3     , 0      , 615    
58  , 0.926, 110    , -2     , -1     , 1420   
59  , 0.936, 110    , -1     , -1     , 431    
60  , 0.946, 110    , 0      , -1     , 859    
61  , 0.956, 113    , 1      , 0      , -467   
62  , 0.966, 113    , 1      , 1      , -1424  
63  , 0.977, 113    , -1     , 1      , -2070  
64  , 0.987, 113    , -3     , 2      , -1174  
65  , 0.997, 113    , -5     , 2      , -1690  
66  , 1.012, 113    , -7     , 2      , -1033  
67  , 1.021, 113    , -8     , 2      , -814   
68  , 1.031, 113    , -9     , 1      , 331    
69  , 1.042, 113    , -8     , 0      , 916    
70  , 1.056, 113    , -6     , -1     , 985    
71  , 1.064, 113    , -4     , -1     , 1087   
