Row, Timestamp, Series 1, Series 2, Series 3, Series 4
0   , 0.811, 0      , 0      , 0      , 0      
1   , 0.821, 0      , 0      , 0      , -24    
2   , 0.831, 0      , 0      , 0      , 45     
3   , 0.841, 0      , 0      , 0      , -11    
4   , 0.851, 0      , 0      , 0      , -410   
5   , 0.861, 18     , 0      , 0      , -535   
6   , 0.871, 18     , 0      , 1      , -361   
7   , 0.881, 18     , 0      , 1      , -485   
8   , 0.891, 18     , 0      , 1      , -516   
9   , 0.901, 18     , 0      , 1      , -599   
10  , 0.911, 18     , 0      , 1      , -629   
11  , 0.921, 18     , 0      , 1      , -585   
12  , 0.931, 18     , 0      , 1      , -472   
13  , 0.941, 18     , 0      , 1      , -856   
14  , 0.951, 18     , 0      , 1      , -1265  
15  , 0.961, 76     , 0      , 1      , -950   
16  , 0.971, 76     , 0      , 1      , -785   
17  , 0.981, 76     , -1     , 1      , -710   
18  , 0.991, 76     , -2     , 1      , -941   
19  , 1.001, 76     , -3     , 1      , -768   
20  , 1.012, 76     , -4     , 1      , -531   
21  , 1.022, 76     , -4     , 1      , -335   
22  , 1.032, 76     , -5     , 1      , -356   
23  , 1.042, 76     , -5     , 1      , -756   
24  , 1.052, 76     , -5     , 1      , -661   
25  , 1.062, 106    , -5     , 1      , -592   
26  , 1.073, 106    , -5     , 1      , -487   
27  , 1.082, 106    , -5     , 1      , -570   
28  , 1.092, 106    , -5     , 1      , -541   
29  , 1.102, 106    , -5     , 1      , -595   
30  , 1.112, 106    , -5     , 1      , -545   
31  , 1.122, 106    , -5     , 1      , -408   
32  , 1.132, 106    , -5     , 1      , -191   
33  , 1.142, 106    , -5     , 1      , -298   
34  , 1.152, 106    , -5     , 1      , -456   
35  , 1.162, 113    , -5     , 1      , -621   
36  , 1.172, 113    , -5     , 1      , -737   
37  , 1.182, 113    , -5     , 1      , -577   
38  , 1.192, 113    , -5     , 1      , -514   
39  , 1.202, 113    , -5     , 1      , -396   
40  , 1.212, 113    , -5     , 1      , -242   
41  , 1.222, 113    , -5     , 1      , -180   
42  , 1.232, 113    , -5     , 0      , -66    
43  , 1.242, 113    , -5     , 0      , 60     
44  , 1.252, 113    , -5     , 0      , 70     
45  , 1.262, 118    , -5     , 0      , 205    
46  , 1.272, 118    , -5     , 0      , 395    
47  , 1.282, 118    , -5     , 0      , 525    
48  , 1.292, 118    , -4     , -1     , 847    
49  , 1.302, 118    , -4     , -1     , 1049   
50  , 1.312, 118    , -4     , -1     , 1122   
51  , 1.322, 118    , -4     , -2     , 1532   
52  , 1.332, 118    , -3     , -2     , 2069   
53  , 1.342, 118    , 0      , -3     , 2393   
54  , 1.352, 118    , 2      , -3     , 2769   
55  , 1.362, 120    , 5      , -4     , 2837   
56  , 1.373, 120    , 9      , -4     , 2717   
57  , 1.383, 120    , 11     , -4     , 2695   
58  , 1.393, 120    , 14     , -4     , 2374   
59  , 1.403, 120    , 17     , -3     , 1814   
60  , 1.413, 120    , 19     , -3     , 1398   
61  , 1.423, 120    , 19     , -3     , 1434   
62  , 1.433, 120    , 19     , -2     , 673    
63  , 1.443, 120    , 18     , -2     , 850    
64  , 1.453, 120    , 18     , -2     , 1847   
65  , 1.463, 125    , 18     , -3     , 2450   
66  , 1.473, 125    , 18     , -3     , 3215   
67  , 1.483, 125    , 20     , -4     , 3547   
68  , 1.493, 125    , 21     , -5     , 3744   
69  , 1.503, 125    , 23     , -5     , 3943   
70  , 1.513, 125    , 25     , -5     , 3956   
71  , 1.523, 125    , 28     , -5     , 3574   
