Row, Timestamp, Series 1, Series 2, Series 3, Series 4
0   , 0.781, 0      , 0      , 0      , 4      
1   , 0.791, 0      , 0      , 0      , -12    
2   , 0.801, 0      , 0      , 0      , -17    
3   , 0.811, 6      , 0      , 0      , -59    
4   , 0.821, 6      , 0      , 0      , -28    
5   , 0.831, 6      , 0      , 0      , -47    
6   , 0.841, 6      , 0      , 0      , -187   
7   , 0.851, 6      , 0      , 1      , -362   
8   , 0.861, 6      , -1     , 1      , -511   
9   , 0.871, 6      , -1     , 1      , -661   
10  , 0.881, 6      , -1     , 1      , -884   
11  , 0.891, 6      , -1     , 2      , -1167  
12  , 0.901, 6      , -1     , 2      , -1241  
13  , 0.911, 61     , -1     , 2      , -1319  
14  , 0.921, 61     , -2     , 2      , -1066  
15  , 0.931, 61     , -3     , 2      , -1138  
16  , 0.941, 61     , -4     , 2      , -1240  
17  , 0.951, 61     , -6     , 2      , -1244  
18  , 0.961, 61     , -7     , 2      , -1090  
19  , 0.971, 61     , -8     , 1      , -792   
20  , 0.981, 61     , -8     , 1      , -351   
21  , 0.991, 61     , -8     , 0      , 14     
22  , 1.001, 61     , -8     , 0      , 332    
23  , 1.011, 90     , -8     , -1     , 700    
24  , 1.022, 90     , -6     , -1     , 859    
25  , 1.032, 90     , -5     , -1     , 862    
26  , 1.041, 90     , -4     , -1     , 784    
27  , 1.051, 90     , -3     , -1     , 682    
28  , 1.061, 90     , -1     , -1     , 422    
29  , 1.071, 90     , 0      , 0      , 129    
30  , 1.081, 90     , 1      , 0      , -78    
31  , 1.091, 90     , 1      , 0      , -275   
32  , 1.101, 90     , 1      , 1      , -422   
33  , 1.111, 111    , 1      , 1      , -668   
34  , 1.121, 111    , 0      , 1      , -815   
35  , 1.131, 111    , 0      , 1      , -853   
36  , 1.141, 111    , -1     , 1      , -819   
37  , 1.151, 111    , -2     , 1      , -763   
38  , 1.161, 111    , -3     , 1      , -719   
39  , 1.171, 111    , -4     , 1      , -515   
40  , 1.181, 111    , -4     , 0      , -315   
41  , 1.191, 111    , -4     , 0      , -65    
42  , 1.201, 111    , -3     , 0      , 146    
43  , 1.211, 118    , -3     , 0      , 261    
44  , 1.221, 118    , -2     , 0      , 304    
45  , 1.231, 118    , -1     , 0      , 288    
46  , 1.241, 118    , -1     , 0      , 285    
47  , 1.251, 118    , 0      , 0      , 234    
48  , 1.261, 118    , 0      , 0      , 244    
49  , 1.271, 118    , 0      , 0      , 217    
50  , 1.281, 118    , 0      , 0      , 240    
51  , 1.291, 118    , 0      , 0      , 310    
52  , 1.301, 118    , 0      , -1     , 454    
53  , 1.311, 120    , 0      , -1     , 583    
54  , 1.321, 120    , 0      , -1     , 762    
55  , 1.331, 120    , 0      , -1     , 953    
56  , 1.341, 120    , 1      , -2     , 1107   
57  , 1.351, 120    , 2      , -2     , 1347   
58  , 1.361, 120    , 4      , -2     , 1414   
59  , 1.371, 120    , 5      , -2     , 1558   
60  , 1.381, 120    , 6      , -2     , 1591   
61  , 1.391, 120    , 8      , -2     , 1516   
62  , 1.405, 118    , 10     , -2     , 1388   
63  , 1.413, 118    , 11     , -2     , 1313   
64  , 1.423, 118    , 12     , -2     , 1252   
65  , 1.434, 118    , 14     , -2     , 1180   
66  , 1.443, 118    , 14     , -2     , 1071   
67  , 1.453, 118    , 13     , -1     , 865    
68  , 1.463, 118    , 12     , -1     , 735    
69  , 1.473, 118    , 12     , -1     , 627    
70  , 1.483, 118    , 11     , -1     , 716    
71  , 1.493, 118    , 11     , -1     , 641    
72  , 1.503, 120    , 11     , -1     , 741    
73  , 1.513, 120    , 11     , -1     , 814    
74  , 1.523, 120    , 11     , -1     , 923    
75  , 1.533, 120    , 11     , -2     , 1057   
76  , 1.543, 120    , 11     , -2     , 1105   
77  , 1.554, 120    , 11     , -2     , 1134   
78  , 1.564, 120    , 11     , -2     , 1170   
79  , 1.574, 120    , 12     , -2     , 1232   
80  , 1.584, 120    , 12     , -2     , 1258   
81  , 1.594, 120    , 12     , -2     , 1296   
82  , 1.604, 120    , 12     , -2     , 1371   
83  , 1.614, 120    , 12     , -2     , 1433   
84  , 1.624, 120    , 12     , -2     , 1495   
85  , 1.634, 120    , 12     , -2     , 1558   
86  , 1.644, 120    , 12     , -3     , 1841   
87  , 1.654, 120    , 12     , -3     , 2084   
88  , 1.664, 120    , 12     , -3     , 2314   
89  , 1.674, 120    , 14     , -4     , 2546   
90  , 1.684, 120    , 15     , -4     , 2801   
91  , 1.694, 120    , 17     , -4     , 3020   
92  , 1.704, 121    , 19     , -5     , 3313   
93  , 1.714, 121    , 22     , -5     , 3336   
94  , 1.724, 121    , 24     , -5     , 3339   
95  , 1.734, 121    , 27     , -5     , 3172   
96  , 1.744, 121    , 29     , -4     , 2910   
97  , 1.758, 121    , 31     , -4     , 2544   
98  , 1.766, 121    , 32     , -3     , 2126   
99  , 1.776, 121    , 31     , -3     , 1721   
100 , 1.786, 121    , 31     , -2     , 1318   
101 , 1.796, 121    , 29     , -1     , 964    
102 , 1.806, 121    , 28     , -1     , 780    
103 , 1.816, 121    , 26     , -1     , 557    
104 , 1.826, 121    , 25     , -1     , 395    
105 , 1.836, 121    , 23     , -1     , 343    
106 , 1.846, 121    , 20     , 0      , 301    
107 , 1.856, 121    , 18     , 0      , 320    
108 , 1.866, 121    , 16     , 0      , 301    
109 , 1.876, 121    , 14     , -1     , 417    
110 , 1.886, 121    , 12     , -1     , 531    
111 , 1.897, 121    , 10     , -1     , 631    
112 , 1.907, 120    , 9      , -1     , 720    
113 , 1.917, 120    , 8      , -1     , 872    
114 , 1.927, 120    , 8      , -1     , 888    
115 , 1.937, 120    , 9      , -1     , 821    
116 , 1.947, 120    , 8      , -1     , 743    
117 , 1.957, 120    , 8      , -1     , 630    
118 , 1.967, 120    , 8      , -1     , 345    
119 , 1.977, 120    , 8      , 0      , 77     
120 , 1.987, 120    , 8      , 0      , -168   
121 , 1.997, 120    , 7      , 1      , -461   
122 , 2.007, 120    , 6      , 1      , -631   
123 , 2.017, 120    , 5      , 1      , -902   
124 , 2.027, 120    , 4      , 2      , -1121  
125 , 2.037, 120    , 2      , 2      , -1292  
126 , 2.047, 120    , 0      , 2      , -1354  
127 , 2.057, 120    , -2     , 2      , -1381  
128 , 2.067, 120    , -4     , 2      , -1397  
129 , 2.077, 120    , -6     , 2      , -1486  
130 , 2.087, 120    , -7     , 2      , -1488  
131 , 2.097, 120    , -9     , 2      , -1467  
132 , 2.107, 121    , -11    , 2      , -1483  
133 , 2.117, 121    , -12    , 2      , -1584  
134 , 2.127, 121    , -13    , 2      , -1622  
135 , 2.137, 121    , -14    , 2      , -1612  
136 , 2.147, 121    , -15    , 2      , -1579  
137 , 2.157, 121    , -16    , 2      , -1669  
138 , 2.167, 121    , -17    , 2      , -1694  
139 , 2.177, 121    , -17    , 3      , -1733  
140 , 2.187, 121    , -17    , 3      , -1747  
141 , 2.197, 121    , -17    , 3      , -1835  
142 , 2.207, 123    , -17    , 3      , -2020  
143 , 2.219, 123    , -17    , 3      , -2325  
144 , 2.230, 123    , -17    , 4      , -2642  
145 , 2.239, 123    , -18    , 4      , -2934  
146 , 2.249, 123    , -18    , 5      , -3212  
147 , 2.259, 123    , -20    , 5      , -3392  
148 , 2.269, 123    , -22    , 5      , -3574  
149 , 2.279, 123    , -24    , 5      , -3719  
150 , 2.289, 123    , -26    , 6      , -3841  
151 , 2.299, 123    , -29    , 6      , -3815  
152 , 2.309, 121    , -31    , 5      , -3756  
153 , 2.319, 121    , -33    , 5      , -3612  
154 , 2.329, 121    , -35    , 5      , -3323  
155 , 2.339, 121    , -36    , 4      , -2889  
156 , 2.350, 121    , -35    , 4      , -2520  
157 , 2.360, 121    , -35    , 3      , -2031  
158 , 2.373, 121    , -34    , 2      , -1661  
159 , 2.384, 121    , -33    , 2      , -1414  
160 , 2.394, 121    , -31    , 2      , -1248  
161 , 2.404, 120    , -30    , 2      , -1081  
162 , 2.414, 120    , -28    , 2      , -1061  
163 , 2.424, 120    , -25    , 2      , -1050  
164 , 2.436, 120    , -23    , 1      , -930   
165 , 2.446, 120    , -20    , 1      , -960   
166 , 2.458, 120    , -19    , 1      , -1027  
167 , 2.469, 120    , -17    , 2      , -1053  
168 , 2.480, 120    , -16    , 2      , -1053  
169 , 2.490, 120    , -15    , 1      , -1005  
170 , 2.500, 120    , -14    , 1      , -1018  
171 , 2.510, 121    , -13    , 1      , -908   
172 , 2.520, 121    , -13    , 1      , -727   
173 , 2.530, 121    , -12    , 1      , -596   
174 , 2.540, 121    , -11    , 1      , -464   
175 , 2.550, 121    , -10    , 0      , -295   
176 , 2.560, 121    , -9     , 0      , -90    
177 , 2.570, 121    , -8     , 0      , 236    
178 , 2.582, 121    , -7     , -1     , 526    
179 , 2.592, 121    , -6     , -1     , 911    
180 , 2.602, 121    , -4     , -2     , 1283   
181 , 2.612, 123    , -3     , -2     , 1460   
182 , 2.622, 123    , 0      , -3     , 1738   
183 , 2.633, 123    , 2      , -3     , 2015   
184 , 2.643, 123    , 4      , -3     , 2255   
185 , 2.653, 123    , 7      , -4     , 2557   
186 , 2.663, 123    , 10     , -4     , 2735   
187 , 2.673, 123    , 13     , -4     , 3002   
188 , 2.683, 123    , 16     , -5     , 3230   
189 , 2.693, 123    , 19     , -5     , 3434   
190 , 2.703, 123    , 22     , -5     , 3602   
191 , 2.714, 123    , 26     , -5     , 3734   
192 , 2.724, 123    , 30     , -5     , 3746   
193 , 2.734, 123    , 32     , -5     , 3758   
194 , 2.744, 123    , 35     , -5     , 3698   
195 , 2.754, 123    , 37     , -5     , 3724   
196 , 2.764, 123    , 38     , -6     , 3847   
197 , 2.774, 123    , 39     , -6     , 3981   
198 , 2.790, 123    , 39     , -6     , 4255   
199 , 2.799, 123    , 40     , -6     , 4460   
200 , 2.809, 121    , 41     , -7     , 4604   
201 , 2.819, 121    , 42     , -7     , 4724   
202 , 2.829, 121    , 43     , -7     , 4846   
203 , 2.839, 121    , 44     , -7     , 5114   
204 , 2.849, 121    , 46     , -8     , 5416   
205 , 2.859, 121    , 47     , -8     , 5583   
206 , 2.869, 121    , 50     , -8     , 5630   
207 , 2.879, 121    , 52     , -8     , 5618   
208 , 2.889, 121    , 54     , -8     , 5424   
209 , 2.900, 121    , 55     , -8     , 5228   
210 , 2.910, 118    , 56     , -7     , 4780   
211 , 2.920, 118    , 56     , -6     , 4215   
212 , 2.930, 118    , 55     , -5     , 3407   
213 , 2.940, 118    , 53     , -4     , 2617   
214 , 2.950, 118    , 51     , -3     , 1815   
215 , 2.960, 118    , 49     , -1     , 878    
216 , 2.970, 118    , 45     , 0      , 54     
217 , 2.980, 118    , 42     , 1      , -601   
218 , 2.990, 118    , 38     , 2      , -1382  
219 , 3.000, 118    , 34     , 3      , -2148  
220 , 3.010, 118    , 28     , 3      , -2350  
221 , 3.020, 118    , 24     , 4      , -2454  
222 , 3.031, 118    , 17     , 3      , -2261  
223 , 3.042, 118    , 10     , 3      , -2128  
224 , 3.052, 118    , 4      , 3      , -1847  
225 , 3.062, 118    , -1     , 2      , -1618  
226 , 3.072, 118    , -5     , 2      , -1155  
227 , 3.082, 118    , -9     , 1      , -807   
228 , 3.092, 118    , -12    , 1      , -494   
229 , 3.102, 118    , -12    , 0      , -180   
230 , 3.112, 125    , -12    , 0      , 86     
231 , 3.122, 125    , -12    , 0      , 217    
232 , 3.132, 125    , -11    , 0      , 106    
233 , 3.142, 125    , -10    , 0      , -73    
234 , 3.152, 125    , -9     , 0      , -300   
235 , 3.162, 125    , -8     , 1      , -526   
236 , 3.172, 125    , -7     , 1      , -911   
237 , 3.182, 125    , -6     , 2      , -1231  
238 , 3.192, 125    , -8     , 3      , -1761  
239 , 3.202, 125    , -9     , 3      , -2115  
240 , 3.212, 120    , -11    , 4      , -2644  
241 , 3.222, 120    , -13    , 5      , -3133  
242 , 3.232, 120    , -15    , 5      , -3635  
243 , 3.242, 120    , -18    , 6      , -4014  
244 , 3.252, 120    , -22    , 7      , -4482  
245 , 3.262, 120    , -25    , 7      , -4837  
246 , 3.272, 120    , -29    , 8      , -5231  
247 , 3.282, 120    , -34    , 8      , -5625  
248 , 3.292, 120    , -39    , 9      , -5859  
249 , 3.302, 120    , -43    , 9      , -6072  
250 , 3.312, 123    , -47    , 9      , -6163  
251 , 3.322, 123    , -52    , 9      , -6195  
252 , 3.332, 123    , -55    , 9      , -5959  
253 , 3.342, 123    , -57    , 8      , -5667  
254 , 3.352, 123    , -59    , 8      , -5217  
255 , 3.362, 123    , -58    , 7      , -4807  
256 , 3.372, 123    , -58    , 6      , -4103  
257 , 3.382, 123    , -56    , 5      , -3563  
258 , 3.393, 123    , -53    , 4      , -2837  
259 , 3.402, 123    , -51    , 3      , -2041  
260 , 3.412, 116    , -47    , 2      , -1160  
261 , 3.422, 116    , -43    , 1      , -527   
262 , 3.432, 116    , -39    , 0      , 271    
263 , 3.443, 116    , -36    , -2     , 1152   
264 , 3.453, 116    , -31    , -2     , 1539   
265 , 3.463, 116    , -25    , -2     , 1644   
266 , 3.473, 116    , -21    , -2     , 1584   
267 , 3.483, 116    , -16    , -2     , 1539   
268 , 3.493, 116    , -11    , -2     , 1151   
269 , 3.506, 116    , -5     , -1     , 745    
270 , 3.514, 121    , -3     , -1     , 388    
271 , 3.524, 121    , 1      , 0      , -67    
272 , 3.534, 121    , 3      , 1      , -496   
273 , 3.544, 121    , 3      , 1      , -888   
274 , 3.554, 121    , 2      , 2      , -1159  
275 , 3.564, 121    , 2      , 2      , -1359  
276 , 3.574, 121    , 0      , 2      , -1229  
277 , 3.584, 121    , -2     , 1      , -935   
278 , 3.594, 121    , -3     , 1      , -668   
279 , 3.604, 121    , -4     , 0      , -181   
280 , 3.614, 121    , -4     , -1     , 498    
281 , 3.624, 121    , -4     , -2     , 1185   
282 , 3.634, 121    , -2     , -3     , 1946   
283 , 3.644, 121    , 0      , -4     , 2607   
284 , 3.654, 121    , 2      , -5     , 3221   
285 , 3.664, 121    , 4      , -5     , 3615   
286 , 3.674, 121    , 7      , -6     , 3831   
287 , 3.684, 121    , 12     , -6     , 3915   
288 , 3.694, 121    , 16     , -6     , 4039   
289 , 3.704, 121    , 20     , -6     , 3990   
290 , 3.714, 121    , 25     , -6     , 4092   
291 , 3.724, 121    , 28     , -6     , 4118   
292 , 3.734, 121    , 33     , -6     , 4157   
293 , 3.744, 121    , 37     , -6     , 4086   
294 , 3.754, 121    , 40     , -6     , 3956   
295 , 3.764, 121    , 42     , -5     , 3766   
296 , 3.774, 121    , 44     , -5     , 3675   
297 , 3.784, 121    , 43     , -5     , 3643   
298 , 3.794, 121    , 42     , -5     , 3573   
299 , 3.804, 121    , 42     , -5     , 3456   
300 , 3.814, 121    , 42     , -5     , 3486   
301 , 3.824, 121    , 42     , -5     , 3660   
302 , 3.834, 121    , 42     , -6     , 3843   
303 , 3.844, 121    , 42     , -6     , 3965   
304 , 3.854, 121    , 42     , -6     , 4137   
305 , 3.864, 121    , 42     , -6     , 4357   
306 , 3.874, 121    , 43     , -7     , 4601   
307 , 3.884, 121    , 44     , -7     , 4526   
308 , 3.894, 121    , 44     , -7     , 4579   
309 , 3.904, 121    , 45     , -7     , 4680   
310 , 3.914, 118    , 46     , -7     , 4607   
311 , 3.924, 118    , 47     , -6     , 4441   
312 , 3.934, 118    , 46     , -6     , 4435   
313 , 3.944, 118    , 46     , -6     , 4291   
314 , 3.954, 118    , 46     , -6     , 4371   
315 , 3.964, 118    , 46     , -6     , 4201   
316 , 3.974, 118    , 46     , -6     , 3926   
