Row, Timestamp, Series 1, Series 2, Series 3, Series 4
0   , 0.497, 0      , 0      , 0      , 22     
1   , 0.507, 0      , 0      , 0      , 12     
2   , 0.517, 0      , 0      , 0      , -59    
3   , 0.527, 8      , 0      , 0      , 2      
4   , 0.537, 8      , 0      , 0      , 62     
5   , 0.547, 8      , 0      , 0      , 3      
6   , 0.557, 8      , 0      , 0      , -80    
7   , 0.567, 8      , 0      , 0      , 17     
8   , 0.577, 8      , 0      , 0      , -19    
9   , 0.587, 8      , 0      , 0      , 54     
10  , 0.597, 8      , 0      , 0      , 211    
11  , 0.607, 8      , 1      , -1     , 404    
12  , 0.617, 8      , 1      , -1     , 657    
13  , 0.627, 65     , 1      , -1     , 898    
14  , 0.637, 65     , 1      , -2     , 1330   
15  , 0.651, 65     , 3      , -3     , 1944   
16  , 0.661, 65     , 5      , -3     , 2394   
17  , 0.671, 65     , 7      , -4     , 2935   
18  , 0.681, 65     , 10     , -5     , 3308   
19  , 0.691, 65     , 14     , -5     , 3693   
20  , 0.701, 65     , 16     , -6     , 3850   
21  , 0.711, 65     , 21     , -6     , 3840   
22  , 0.721, 65     , 24     , -5     , 3661   
23  , 0.731, 95     , 27     , -5     , 3518   
24  , 0.741, 95     , 30     , -5     , 3172   
25  , 0.751, 95     , 33     , -4     , 2849   
26  , 0.761, 95     , 34     , -4     , 2575   
27  , 0.771, 95     , 34     , -3     , 2337   
28  , 0.781, 95     , 34     , -3     , 2254   
29  , 0.791, 95     , 33     , -3     , 2280   
30  , 0.801, 95     , 32     , -3     , 2294   
31  , 0.811, 95     , 32     , -4     , 2452   
32  , 0.821, 95     , 31     , -4     , 2562   
33  , 0.831, 105    , 31     , -4     , 2564   
34  , 0.841, 105    , 30     , -4     , 2639   
35  , 0.851, 105    , 30     , -4     , 2809   
36  , 0.861, 105    , 30     , -4     , 2955   
37  , 0.871, 105    , 30     , -4     , 2982   
38  , 0.881, 105    , 30     , -4     , 2853   
39  , 0.893, 105    , 30     , -4     , 2960   
40  , 0.903, 105    , 30     , -4     , 2912   
41  , 0.913, 105    , 30     , -4     , 2986   
42  , 0.923, 108    , 30     , -4     , 3002   
43  , 0.933, 108    , 30     , -4     , 2993   
44  , 0.943, 108    , 30     , -4     , 3008   
45  , 0.953, 108    , 30     , -4     , 2939   
46  , 0.963, 108    , 30     , -4     , 2907   
47  , 0.973, 108    , 30     , -4     , 2863   
48  , 0.983, 108    , 30     , -4     , 2878   
49  , 0.993, 108    , 30     , -4     , 2846   
50  , 1.003, 108    , 30     , -4     , 2742   
51  , 1.013, 108    , 30     , -4     , 2590   
52  , 1.023, 115    , 30     , -4     , 2618   
53  , 1.033, 115    , 30     , -4     , 2647   
54  , 1.043, 115    , 30     , -4     , 2459   
55  , 1.053, 115    , 30     , -3     , 2296   
56  , 1.063, 115    , 30     , -3     , 2133   
57  , 1.073, 115    , 30     , -3     , 2053   
58  , 1.083, 115    , 30     , -3     , 1782   
59  , 1.093, 115    , 30     , -2     , 1584   
60  , 1.103, 115    , 30     , -2     , 1313   
61  , 1.113, 115    , 30     , -1     , 898    
62  , 1.123, 115    , 29     , -1     , 448    
63  , 1.133, 115    , 28     , 0      , 69     
64  , 1.145, 115    , 25     , 1      , -483   
65  , 1.156, 115    , 22     , 1      , -900   
66  , 1.166, 115    , 19     , 2      , -1231  
67  , 1.176, 115    , 15     , 2      , -1441  
68  , 1.186, 115    , 11     , 2      , -1411  
69  , 1.196, 115    , 8      , 2      , -1308  
70  , 1.206, 115    , 3      , 2      , -1170  
71  , 1.216, 115    , -1     , 1      , -935   
72  , 1.226, 113    , -4     , 1      , -808   
73  , 1.236, 113    , -6     , 1      , -537   
74  , 1.246, 113    , -8     , 0      , -326   
75  , 1.256, 113    , -7     , 0      , -199   
76  , 1.266, 113    , -7     , 0      , -179   
