Row, Timestamp, Series 1, Series 2, Series 3, Series 4
0   , 0.400, 0      , 0      , 0      , -14    
1   , 0.409, 0      , 0      , 0      , -51    
2   , 0.419, 0      , 0      , 0      , -129   
3   , 0.429, 8      , 0      , 0      , -220   
4   , 0.440, 8      , 0      , 0      , -276   
5   , 0.450, 8      , 0      , 0      , -370   
6   , 0.460, 8      , 0      , 1      , -435   
7   , 0.470, 8      , 0      , 1      , -644   
8   , 0.480, 8      , 0      , 1      , -879   
9   , 0.491, 8      , 0      , 1      , -1020  
10  , 0.501, 8      , -1     , 2      , -1153  
11  , 0.511, 8      , -1     , 2      , -1335  
12  , 0.521, 8      , -3     , 2      , -1673  
13  , 0.531, 65     , -4     , 3      , -1999  
14  , 0.541, 65     , -7     , 3      , -2480  
15  , 0.551, 65     , -9     , 4      , -2935  
16  , 0.561, 65     , -12    , 5      , -3417  
17  , 0.571, 65     , -15    , 5      , -3885  
18  , 0.583, 65     , -19    , 5      , -3927  
19  , 0.594, 65     , -22    , 5      , -3943  
20  , 0.604, 65     , -25    , 5      , -3686  
21  , 0.614, 65     , -29    , 4      , -3192  
22  , 0.625, 98     , -31    , 4      , -2803  
23  , 0.636, 98     , -32    , 3      , -2273  
24  , 0.650, 98     , -32    , 3      , -1938  
25  , 0.660, 98     , -31    , 2      , -1856  
26  , 0.670, 98     , -30    , 3      , -1946  
27  , 0.680, 98     , -29    , 3      , -2050  
28  , 0.690, 98     , -28    , 3      , -2140  
29  , 0.700, 98     , -26    , 3      , -2178  
30  , 0.710, 98     , -25    , 3      , -2112  
31  , 0.720, 98     , -24    , 3      , -2046  
32  , 0.730, 108    , -23    , 3      , -1966  
33  , 0.740, 108    , -23    , 3      , -1900  
34  , 0.750, 108    , -23    , 3      , -1886  
35  , 0.760, 108    , -23    , 2      , -1793  
36  , 0.770, 108    , -23    , 2      , -1622  
37  , 0.780, 108    , -23    , 2      , -1360  
38  , 0.790, 108    , -23    , 1      , -1098  
39  , 0.800, 108    , -23    , 1      , -771   
40  , 0.810, 108    , -21    , 0      , -340   
41  , 0.820, 108    , -20    , 0      , 39     
42  , 0.830, 116    , -18    , -1     , 471    
43  , 0.840, 116    , -15    , -1     , 759    
44  , 0.852, 116    , -12    , -1     , 954    
45  , 0.862, 116    , -9     , -1     , 1031   
46  , 0.872, 116    , -6     , -2     , 1281   
47  , 0.882, 116    , -3     , -2     , 1388   
48  , 0.892, 116    , -1     , -2     , 1366   
49  , 0.903, 116    , 3      , -2     , 1386   
50  , 0.915, 116    , 6      , -2     , 1237   
51  , 0.925, 121    , 8      , -2     , 1262   
52  , 0.935, 121    , 10     , -2     , 1292   
53  , 0.945, 121    , 12     , -2     , 1284   
54  , 0.956, 121    , 13     , -2     , 1262   
55  , 0.967, 121    , 14     , -2     , 1283   
56  , 0.978, 121    , 13     , -2     , 1231   
57  , 0.987, 121    , 13     , -2     , 1195   
58  , 0.998, 121    , 13     , -2     , 1417   
59  , 1.008, 121    , 13     , -2     , 1746   
60  , 1.019, 121    , 14     , -3     , 2089   
61  , 1.028, 118    , 15     , -3     , 2485   
62  , 1.038, 118    , 17     , -4     , 2894   
63  , 1.049, 118    , 18     , -5     , 3381   
64  , 1.062, 118    , 22     , -5     , 3997   
65  , 1.072, 118    , 25     , -6     , 4399   
66  , 1.082, 118    , 27     , -6     , 4770   
67  , 1.092, 118    , 31     , -7     , 5089   
68  , 1.102, 118    , 35     , -7     , 5290   
69  , 1.112, 118    , 39     , -7     , 5441   
