Row, Timestamp, Series 1, Series 2, Series 3, Series 4
0   , 0.902, 0      , 0      , 0      , -42    
1   , 0.912, 0      , 0      , 0      , -116   
2   , 0.922, 0      , 0      , 0      , -243   
3   , 0.932, 6      , 0      , 0      , -207   
4   , 0.943, 6      , 0      , 0      , -248   
5   , 0.954, 6      , 0      , 0      , -448   
6   , 0.964, 6      , 0      , 1      , -427   
7   , 0.975, 6      , 0      , 1      , -365   
8   , 0.985, 6      , 0      , 0      , -182   
9   , 0.995, 6      , 0      , 0      , 282    
10  , 1.005, 6      , 1      , 0      , -96    
11  , 1.015, 6      , 0      , 0      , 244    
12  , 1.025, 60     , 0      , 0      , 55     
13  , 1.035, 60     , 1      , 0      , -160   
14  , 1.045, 60     , 0      , 0      , -679   
15  , 1.055, 60     , 0      , 1      , -556   
16  , 1.065, 60     , 0      , 1      , -318   
17  , 1.075, 60     , 0      , 1      , -609   
18  , 1.085, 60     , 0      , 1      , -812   
19  , 1.095, 60     , 0      , 1      , -940   
20  , 1.105, 60     , 0      , 1      , -1295  
21  , 1.115, 60     , 0      , 1      , -1348  
22  , 1.125, 91     , -1     , 2      , -1426  
23  , 1.135, 91     , -2     , 2      , -1516  
24  , 1.146, 91     , -3     , 2      , -1593  
25  , 1.156, 91     , -5     , 2      , -1664  
26  , 1.166, 91     , -6     , 2      , -1453  
27  , 1.182, 91     , -9     , 2      , -1509  
28  , 1.193, 91     , -11    , 2      , -1261  
29  , 1.203, 91     , -12    , 2      , -656   
30  , 1.213, 91     , -12    , 1      , -817   
31  , 1.223, 91     , -11    , 1      , -436   
32  , 1.233, 113    , -11    , 1      , -232   
33  , 1.243, 113    , -11    , 1      , -860   
34  , 1.253, 113    , -10    , 1      , -1125  
35  , 1.263, 113    , -10    , 2      , -1605  
36  , 1.273, 113    , -10    , 2      , -2086  
37  , 1.283, 113    , -11    , 3      , -2605  
38  , 1.293, 113    , -12    , 3      , -2848  
39  , 1.303, 113    , -15    , 3      , -2736  
40  , 1.313, 113    , -17    , 4      , -2888  
41  , 1.323, 113    , -18    , 4      , -2648  
