Row, Timestamp, Series 1, Series 2, Series 3, Series 4
0   , 0.201, 0      , 0      , 0      , 21     
1   , 0.211, 0      , 0      , 0      , 15     
2   , 0.221, 0      , 0      , 0      , 22     
3   , 0.231, 10     , 0      , 0      , 15     
4   , 0.241, 10     , 0      , 0      , -6     
5   , 0.251, 10     , 0      , 0      , -86    
6   , 0.262, 10     , 0      , 0      , -203   
7   , 0.272, 10     , 0      , 1      , -430   
8   , 0.282, 10     , 0      , 1      , -742   
9   , 0.292, 10     , 0      , 1      , -1097  
10  , 0.302, 10     , -1     , 2      , -1423  
11  , 0.312, 10     , -1     , 2      , -1778  
12  , 0.324, 10     , -3     , 3      , -2309  
13  , 0.335, 66     , -6     , 4      , -3081  
14  , 0.345, 66     , -8     , 4      , -3528  
15  , 0.355, 66     , -11    , 5      , -3810  
16  , 0.365, 66     , -15    , 5      , -4092  
17  , 0.376, 66     , -20    , 5      , -4157  
18  , 0.386, 66     , -23    , 5      , -4149  
19  , 0.396, 66     , -27    , 4      , -3563  
20  , 0.406, 66     , -30    , 4      , -3036  
21  , 0.416, 66     , -32    , 3      , -2245  
22  , 0.426, 66     , -32    , 2      , -1599  
23  , 0.440, 98     , -31    , 1      , -1151  
24  , 0.450, 98     , -31    , 1      , -1196  
25  , 0.460, 98     , -29    , 2      , -1492  
26  , 0.474, 98     , -27    , 2      , -1998  
27  , 0.485, 98     , -26    , 3      , -2361  
28  , 0.495, 98     , -24    , 3      , -2889  
29  , 0.504, 98     , -24    , 4      , -3460  
30  , 0.514, 98     , -26    , 5      , -3900  
31  , 0.525, 98     , -27    , 5      , -4355  
32  , 0.535, 111    , -29    , 5      , -4447  
33  , 0.544, 111    , -31    , 6      , -4728  
34  , 0.555, 111    , -34    , 6      , -4763  
35  , 0.565, 111    , -37    , 6      , -4698  
36  , 0.575, 111    , -40    , 5      , -4528  
37  , 0.585, 111    , -42    , 5      , -4257  
38  , 0.595, 111    , -44    , 5      , -3812  
39  , 0.605, 111    , -45    , 4      , -3179  
40  , 0.615, 111    , -45    , 3      , -2617  
41  , 0.625, 111    , -44    , 2      , -1853  
42  , 0.635, 116    , -43    , 2      , -1306  
43  , 0.645, 116    , -41    , 1      , -860   
44  , 0.655, 116    , -38    , 1      , -472   
45  , 0.666, 116    , -34    , 0      , -345   
46  , 0.678, 116    , -30    , 1      , -506   
47  , 0.688, 116    , -27    , 1      , -1084  
48  , 0.697, 116    , -24    , 2      , -1843  
49  , 0.707, 116    , -21    , 3      , -2687  
50  , 0.717, 116    , -21    , 4      , -3632  
51  , 0.729, 118    , -22    , 5      , -4494  
52  , 0.739, 118    , -24    , 6      , -5294  
53  , 0.749, 118    , -26    , 7      , -5965  
54  , 0.759, 118    , -31    , 8      , -6446  
55  , 0.769, 118    , -35    , 7      , -6230  
56  , 0.779, 118    , -39    , 7      , -5782  
57  , 0.789, 118    , -44    , 6      , -5131  
58  , 0.799, 118    , -48    , 5      , -4335  
59  , 0.809, 118    , -50    , 4      , -3191  
60  , 0.819, 118    , -50    , 2      , -1785  
61  , 0.831, 116    , -48    , 0      , -173   
62  , 0.841, 116    , -44    , -2     , 1453   
63  , 0.852, 116    , -40    , -4     , 2936   
64  , 0.864, 116    , -34    , -5     , 3893   
65  , 0.874, 116    , -28    , -5     , 4413   
66  , 0.889, 116    , -20    , -5     , 4292   
67  , 0.898, 116    , -13    , -5     , 4138   
68  , 0.908, 116    , -6     , -4     , 3472   
69  , 0.918, 116    , 1      , -4     , 3052   
70  , 0.928, 116    , 8      , -3     , 2212   
71  , 0.938, 118    , 14     , -2     , 1271   
72  , 0.948, 118    , 19     , 0      , 112    
73  , 0.958, 118    , 21     , 1      , -1177  
74  , 0.968, 118    , 21     , 3      , -2567  
75  , 0.978, 118    , 19     , 4      , -3696  
