Row, Timestamp, Series 1, Series 2, Series 3, Series 4
0   , 0.965, 0      , 0      , 0      , -94    
1   , 0.975, 0      , 0      , 0      , -244   
2   , 0.985, 5      , 0      , 0      , -258   
3   , 0.995, 5      , 0      , 0      , -480   
4   , 1.005, 5      , 0      , 1      , -561   
5   , 1.015, 5      , -1     , 1      , -628   
6   , 1.025, 5      , -1     , 1      , -720   
7   , 1.035, 5      , -1     , 1      , -732   
8   , 1.045, 5      , -1     , 1      , -874   
9   , 1.055, 5      , -1     , 1      , -1284  
10  , 1.066, 5      , -2     , 1      , -1055  
11  , 1.075, 5      , -3     , 1      , -983   
12  , 1.085, 66     , -5     , 1      , -1226  
13  , 1.095, 66     , -6     , 1      , -1078  
14  , 1.106, 66     , -7     , 1      , -802   
15  , 1.115, 66     , -8     , 1      , -382   
16  , 1.125, 66     , -8     , 1      , -164   
17  , 1.135, 66     , -8     , 0      , -105   
18  , 1.145, 66     , -8     , 0      , 1331   
19  , 1.155, 66     , -7     , 0      , 248    
20  , 1.165, 66     , -6     , 0      , 206    
21  , 1.176, 66     , -5     , 0      , -348   
22  , 1.186, 101    , -4     , 0      , -599   
23  , 1.196, 101    , -4     , 0      , -583   
24  , 1.206, 101    , -5     , 1      , -1556  
25  , 1.216, 101    , -6     , 1      , -1362  
26  , 1.226, 101    , -7     , 1      , -1371  
27  , 1.236, 101    , -8     , 1      , -1067  
28  , 1.246, 101    , -9     , 1      , -1279  
29  , 1.256, 101    , -10    , 1      , -1060  
30  , 1.267, 101    , -11    , 1      , -307   
31  , 1.277, 101    , -10    , 0      , 502    
32  , 1.287, 113    , -9     , 0      , 908    
33  , 1.297, 113    , -7     , -1     , 1165   
34  , 1.307, 113    , -6     , -1     , 1349   
35  , 1.317, 113    , -4     , -1     , 342    
36  , 1.328, 113    , -2     , -1     , 125    
37  , 1.338, 113    , -1     , 0      , -187   
38  , 1.348, 113    , 0      , 0      , -223   
39  , 1.358, 113    , -1     , 0      , -813   
40  , 1.369, 113    , -1     , 1      , -823   
41  , 1.379, 113    , -1     , 1      , -977   
42  , 1.389, 118    , -2     , 1      , -436   
43  , 1.399, 118    , -3     , 1      , -187   
44  , 1.409, 118    , -3     , 0      , 400    
45  , 1.419, 118    , -2     , 0      , 791    
46  , 1.429, 118    , -1     , -1     , 1131   
47  , 1.439, 118    , 1      , -1     , 1432   
48  , 1.449, 118    , 2      , -1     , 1399   
49  , 1.459, 118    , 4      , -1     , 1075   
50  , 1.469, 118    , 5      , -1     , 638    
51  , 1.479, 118    , 6      , -1     , 478    
52  , 1.489, 115    , 5      , -1     , 119    
53  , 1.499, 115    , 5      , 0      , -194   
54  , 1.509, 115    , 4      , 0      , -457   
55  , 1.519, 115    , 3      , 0      , 78     
56  , 1.529, 115    , 3      , 0      , -169   
57  , 1.539, 115    , 3      , 0      , 359    
58  , 1.549, 115    , 3      , -1     , 1706   
59  , 1.559, 115    , 5      , -2     , 2977   
60  , 1.569, 115    , 6      , -2     , 3025   
61  , 1.579, 115    , 8      , -3     , 3336   
62  , 1.589, 121    , 11     , -3     , 3199   
63  , 1.599, 121    , 14     , -3     , 3201   
64  , 1.609, 121    , 18     , -3     , 2317   
65  , 1.619, 121    , 20     , -3     , 1687   
66  , 1.629, 121    , 21     , -2     , 711    
67  , 1.639, 121    , 21     , -1     , 112    
68  , 1.649, 121    , 20     , -1     , -687   
69  , 1.659, 121    , 19     , 0      , -881   
70  , 1.669, 121    , 17     , 0      , 59     
71  , 1.679, 121    , 14     , 0      , 1011   
72  , 1.689, 120    , 13     , -1     , 1426   
73  , 1.699, 120    , 13     , -1     , 1936   
74  , 1.709, 120    , 13     , -2     , 2490   
75  , 1.721, 120    , 14     , -3     , 2769   
76  , 1.732, 120    , 16     , -3     , 2503   
77  , 1.742, 120    , 18     , -3     , 2287   
78  , 1.752, 120    , 19     , -3     , 2054   
79  , 1.762, 120    , 20     , -3     , 2053   
80  , 1.772, 120    , 21     , -2     , 1923   
81  , 1.782, 118    , 21     , -2     , 1284   
82  , 1.792, 118    , 21     , -2     , 1158   
83  , 1.802, 118    , 21     , -2     , 1289   
84  , 1.812, 118    , 21     , -2     , 1793   
85  , 1.822, 118    , 21     , -2     , 1681   
86  , 1.832, 118    , 21     , -2     , 1879   
87  , 1.842, 118    , 21     , -2     , 1658   
88  , 1.852, 118    , 21     , -2     , 2396   
89  , 1.862, 118    , 22     , -3     , 2458   
90  , 1.872, 118    , 22     , -3     , 3044   
91  , 1.882, 116    , 23     , -3     , 2342   
92  , 1.892, 116    , 24     , -3     , 2254   
93  , 1.902, 116    , 24     , -3     , 2430   
94  , 1.912, 116    , 24     , -3     , 2535   
95  , 1.922, 116    , 24     , -3     , 2033   
96  , 1.932, 116    , 24     , -3     , 2241   
97  , 1.942, 116    , 24     , -3     , 1944   
98  , 1.952, 116    , 24     , -2     , 1823   
99  , 1.963, 116    , 24     , -2     , 1278   
100 , 1.973, 116    , 24     , -2     , 1247   
101 , 1.983, 120    , 24     , -2     , 988    
102 , 1.993, 120    , 23     , -1     , 699    
103 , 2.003, 120    , 22     , -1     , 341    
104 , 2.013, 120    , 21     , -1     , 298    
105 , 2.023, 120    , 18     , -1     , 264    
106 , 2.033, 120    , 17     , 0      , -389   
107 , 2.043, 120    , 14     , 0      , 441    
108 , 2.053, 120    , 12     , 0      , 383    
109 , 2.063, 120    , 10     , 0      , 546    
110 , 2.073, 120    , 9      , 0      , 274    
111 , 2.083, 118    , 8      , -1     , 1226   
112 , 2.093, 118    , 8      , -1     , 593    
113 , 2.104, 118    , 8      , -1     , 1430   
114 , 2.114, 118    , 8      , -1     , 671    
115 , 2.124, 118    , 8      , -1     , 488    
116 , 2.134, 118    , 8      , -1     , 156    
117 , 2.144, 118    , 7      , -1     , 627    
118 , 2.154, 118    , 7      , 0      , -484   
