Time;RPM;Steer;Lean;Controller
0.9;0;0;0;-21
0.906;0;0;0;30
0.915;0;0;0;139
0.925;0;0;0;198
0.935;15;0;0;203
0.945;15;0;0;102
0.955;15;0;0;391
0.965;15;0;0;221
0.975;15;0;-1;368
0.985;15;1;0;193
0.997;15;2;-1;435
1.007;15;3;-1;758
1.016;15;4;-1;827
1.027;15;6;-1;723
1.036;71;7;-1;686
1.047;71;7;-1;382
1.056;71;6;-1;384
1.066;71;5;-1;225
1.078;71;4;0;215
1.089;71;3;-1;781
1.098;71;4;-1;1085
1.11;71;5;-2;1771
1.122;71;9;-3;2422
1.133;95;13;-4;2783
1.143;95;17;-4;2979
1.161;95;27;-4;2734
1.164;95;28;-3;1707
1.174;95;30;-2;952
1.184;95;29;-1;88
1.194;95;24;0;-808
1.203;95;19;1;-1027
1.213;95;14;1;-1024
1.224;95;8;2;-1387
1.233;106;1;1;-33
1.247;106;-6;-1;1649
1.253;106;-6;-3;3214
1.263;106;-3;-5;4389
1.274;106;1;-6;4929
1.284;106;6;-7;4839
1.294;106;12;-7;4682
1.304;106;18;-6;3270
1.314;106;24;-4;2132
1.327;106;30;-3;668
1.334;111;30;-1;-369
1.344;111;28;1;-1781
1.354;111;25;2;-2140
1.366;111;18;3;-2633
1.375;111;12;3;-2377
1.385;111;7;3;-1619
1.395;111;0;2;-786
1.405;111;-6;1;67
1.417;111;-10;-1;1160
1.425;111;-10;-2;2029
1.437;111;-6;-3;2222
1.447;111;-1;-3;2395
1.456;111;4;-3;2013
1.466;111;10;-2;1362
1.476;111;15;-1;-295
1.486;111;16;1;-1805
1.498;111;14;3;-3291
1.507;111;10;5;-4632
1.517;111;5;6;-4925
1.531;115;-4;6;-4514
1.537;115;-7;6;-3953
1.547;115;-14;5;-3023
1.559;115;-22;4;-2645
1.572;115;-31;3;-1344
1.578;115;-33;2;-531
1.592;115;-30;0;304
1.603;115;-26;0;280
1.609;115;-22;-1;842
1.622;115;-14;-1;234
1.632;113;-8;0;-340
1.643;113;-4;1;-1322
1.654;113;-3;3;-2949
1.661;113;-5;5;-4350
1.673;113;-11;6;-5172
1.682;113;-17;7;-5748
1.692;113;-24;8;-5839
1.704;113;-31;8;-5601
1.713;113;-39;8;-4964
1.725;113;-49;7;-4421
1.734;115;-55;6;-3864
1.745;115;-56;5;-2885
1.755;115;-53;4;-1973
1.765;115;-48;2;-339
1.774;115;-40;0;1374
1.784;115;-36;-3;3130
1.794;115;-24;-4;3769
1.806;115;-17;-5;4430
1.815;115;-10;-6;4390
1.826;115;-4;-6;4065
1.835;111;2;-5;3373
1.845;111;8;-5;2659
1.855;111;16;-4;1852
1.867;111;23;-2;1023
1.876;111;24;-1;298
1.888;111;22;0;-272
1.895;111;19;0;-327
1.907;111;13;0;469
1.917;111;8;-1;887
1.926;111;4;-2;1816
1.936;115;4;-3;3246
1.948;115;6;-5;4497
1.957;115;11;-7;5470
1.967;115;16;-7;5466
1.979;115;24;-8;5854
1.989;115;32;-8;5478
2;115;40;-7;4298
2.009;115;45;-6;3134
2.019;115;49;-4;2019
2.03;115;49;-3;994
2.041;118;44;-1;-437
2.05;118;39;1;-1573
2.063;118;31;2;-1770
2.074;118;24;2;-1769
2.084;118;17;3;-1900
2.096;118;11;2;-1095
2.106;118;4;1;62
2.115;118;-2;0;1045
2.129;118;-5;-2;2431
2.139;115;-3;-4;3744
2.149;115;1;-6;4627
2.162;115;9;-7;5180
2.173;115;15;-6;4164
2.183;115;22;-5;2989
2.194;115;30;-4;2510
2.203;115;32;-3;1329
2.212;115;31;-1;-384
2.222;115;28;1;-1734
2.233;115;23;2;-1822
2.245;115;16;3;-2528
2.254;115;11;3;-2306
2.265;115;5;3;-1761
2.276;115;-2;2;-872
2.286;115;-9;0;498
2.295;115;-11;-1;980
2.305;115;-11;-2;1953
2.319;115;-6;-2;1958
2.327;115;-3;-3;2519
2.336;118;3;-2;1239
2.346;118;8;-1;-54
2.357;118;9;1;-1264
2.366;118;6;2;-2608
2.376;118;2;4;-3898
2.387;118;-3;5;-3530
2.396;118;-9;5;-4122
2.406;118;-15;5;-3492
2.418;118;-22;5;-2828
2.431;118;-30;4;-1976
2.437;113;-32;2;-748
2.45;113;-31;1;316
2.46;113;-28;0;594
2.471;113;-22;-1;1168
2.481;113;-16;-1;928
2.491;113;-10;-1;-54
2.501;113;-5;1;-1174
2.51;113;-3;2;-2136
2.521;113;-6;4;-3698
2.53;113;-10;6;-5114
2.542;115;-16;8;-6132
2.552;115;-24;8;-6005
2.562;115;-30;8;-5956
2.572;115;-39;8;-5159
2.582;115;-48;8;-5241
2.593;115;-55;7;-4200
2.602;115;-59;6;-3491
2.612;115;-58;5;-2823
2.622;115;-54;4;-1912
2.633;115;-47;2;-58
2.643;115;-39;-1;1842
2.654;115;-30;-3;2916
2.665;115;-21;-4;3717
2.675;115;-14;-5;3576
2.684;115;-7;-5;2976
2.695;115;-1;-4;2219
2.705;115;5;-3;2177
2.719;115;14;-2;1028
2.729;115;18;-1;-38
2.738;115;18;0;-819
2.748;115;15;1;-1258
2.761;115;10;1;-134
2.772;115;4;1;-550
2.781;115;-1;0;363
2.793;115;-3;-1;1772
2.8;115;-2;-3;3213
2.813;115;2;-5;4224
2.824;115;7;-6;5050
2.834;118;14;-7;4968
2.847;118;22;-6;3611
2.856;118;28;-5;3032
2.866;118;34;-4;2248
2.877;118;36;-2;697
2.889;118;35;-1;-178
2.899;118;31;0;-176
2.908;118;26;0;-592
2.92;118;21;0;104
2.93;118;15;-1;883
2.941;115;10;-2;1987
2.947;115;10;-3;3217
2.958;115;12;-5;4926
2.969;115;17;-7;5544
2.978;115;23;-8;6675
2.989;115;30;-9;6879
2.998;115;37;-9;6438
3.01;115;45;-9;5588
3.02;115;55;-8;5228
3.03;115;62;-7;4551
3.04;116;64;-6;3718
3.051;116;62;-5;2751
3.059;116;59;-3;1378
3.071;116;50;-2;61
3.081;116;42;1;-1674
3.091;116;34;3;-2993
3.1;116;26;5;-4437
3.111;116;19;5;-3836
3.121;116;13;6;-4375
3.131;116;7;5;-3275
3.142;113;1;4;-2522
3.15;113;-6;3;-1028
3.162;113;-13;1;-44
3.177;113;-17;-1;1725
3.185;113;-16;-3;3097
3.194;113;-13;-4;3074
3.204;113;-9;-4;3014
3.215;113;-2;-4;3036
3.223;113;3;-4;2840
3.233;113;10;-3;2036
3.245;116;18;-3;1508
3.256;116;23;-2;739
3.266;116;23;-1;307
3.275;116;21;0;-623
3.287;116;16;1;-649
3.296;116;10;1;-827
3.306;116;6;0;-107
3.317;116;-3;0;679
3.327;116;-5;-2;1894
3.336;116;-4;-3;3096
3.348;116;0;-5;4255
3.355;116;4;-6;4979
3.365;116;10;-6;4540
3.375;116;16;-6;3722
3.385;116;22;-5;2671
3.395;116;27;-3;1337
3.407;116;30;-1;-542
3.417;116;29;1;-2051
3.43;116;24;3;-3075
3.437;113;21;4;-3418
3.447;113;16;5;-3753
3.456;113;11;5;-3332
3.467;113;5;5;-3077
3.475;113;1;4;-2568
3.487;113;-10;4;-2272
3.495;113;-17;3;-1429
3.505;113;-22;2;-518
3.515;113;-24;1;-121
3.528;113;-20;0;525
3.537;116;-17;0;400
3.547;116;-10;-1;903
3.558;116;-3;0;-494
3.568;116;1;1;-1399
3.578;116;1;3;-2736
3.586;116;-1;5;-4407
3.596;116;-5;7;-5500
3.606;116;-11;8;-6382
3.617;116;-17;8;-5905
3.627;116;-24;8;-5815
3.639;115;-33;8;-4694
3.648;115;-41;7;-4213
3.66;115;-48;6;-3243
3.668;115;-52;4;-2230
3.678;115;-50;3;-1130
3.688;115;-47;1;376
3.699;115;-39;-1;2185
3.712;115;-32;-4;3808
3.722;115;-24;-5;3836
3.73;115;-20;-5;3985
3.742;111;-15;-6;4492
3.752;111;-14;-5;2903
3.76;111;-14;-4;2189
3.772;111;-13;-3;1496
3.781;111;-12;-2;1220
3.793;111;-7;-1;-35
3.803;111;-3;0;-862
3.813;111;-4;1;-1018
3.823;111;-6;1;-449
3.834;111;-8;0;-179
3.846;113;-7;0;-63
3.855;113;-7;0;-436
3.864;113;-7;1;-719
3.876;113;-7;1;-1187
3.886;113;-7;2;-1542
3.896;113;-9;2;-1294
3.907;113;-11;2;-877
3.917;113;-12;1;-561
3.926;113;-11;1;-669
3.936;101;-10;0;295
3.946;101;-8;-1;959
3.956;101;-6;-1;1147
3.968;101;0;-2;1795
3.978;101;2;-3;2116
3.988;101;5;-4;4110
3.997;101;9;-6;5274
4.011;101;15;-9;7259
4.017;101;18;-10;7599
4.027;101;22;-11;7785
4.038;86;26;-9;5441
4.049;86;32;-7;3611
4.059;86;38;-5;2491
4.071;86;42;-8;6963
4.08;86;46;-11;9147
4.09;86;52;-12;8812
4.104;86;61;-13;9366
4.114;86;69;-14;10222
4.124;86;78;-13;8699
4.133;86;85;-15;10947
4.145;91;91;-16;11541
4.155;91;97;-17;12593
4.165;91;100;-19;14111
4.175;91;102;-22;16602
4.185;91;102;-25;18964
4.195;91;103;-29;21742
4.205;91;103;-32;24152
4.215;91;103;-34;24952
4.231;91;103;-37;26100
4.241;106;103;-38;27367
4.251;106;103;-40;28868
4.264;106;104;-43;30817
4.274;106;105;-46;32995
4.284;106;107;-54;41564
4.294;106;110;-62;47932
4.303;106;116;-71;53910
