Row, Timestamp, Series 1, Series 2, Series 3, Series 4
0   , 0.932, 0      , 0      , 0      , 0      
1   , 0.942, 0      , 0      , 0      , -6     
2   , 0.952, 3      , -1     , 1      , -25    
3   , 0.962, 3      , -1     , 1      , -9     
4   , 0.972, 3      , -1     , 1      , -8     
5   , 0.982, 3      , -1     , 2      , -21    
6   , 0.992, 3      , -1     , 2      , -32    
7   , 1.002, 3      , -1     , 3      , -37    
8   , 1.012, 3      , -1     , 4      , -45    
9   , 1.022, 3      , -2     , 4      , -49    
10  , 1.032, 3      , -3     , 4      , -39    
11  , 1.042, 3      , -5     , 4      , -49    
12  , 1.051, 68     , -6     , 4      , -42    
13  , 1.063, 68     , -6     , 2      , -11    
14  , 1.074, 68     , -4     , 0      , 17     
15  , 1.083, 68     , -2     , -2     , 58     
16  , 1.092, 68     , 0      , -5     , 100    
17  , 1.103, 68     , 3      , -9     , 136    
18  , 1.122, 68     , 10     , -9     , 108    
19  , 1.130, 68     , 12     , -6     , 48     
20  , 1.138, 68     , 12     , -3     , 12     
21  , 1.147, 68     , 11     , 2      , -72    
22  , 1.160, 105    , 6      , 5      , -90    
23  , 1.169, 105    , 1      , 11     , -185   
24  , 1.179, 105    , -3     , 10     , -115   
25  , 1.191, 105    , -10    , 4      , 19     
26  , 1.200, 105    , -11    , -6     , 164    
27  , 1.209, 105    , -8     , -6     , 82     
28  , 1.219, 105    , -5     , -4     , 23     
29  , 1.229, 105    , 0      , -3     , 33     
30  , 1.241, 105    , 4      , -1     , -5     
31  , 1.251, 111    , 5      , 5      , -113   
32  , 1.259, 111    , 3      , 14     , -253   
33  , 1.270, 111    , -3     , 20     , -293   
34  , 1.280, 111    , -10    , 16     , -159   
35  , 1.289, 111    , -16    , 14     , -136   
36  , 1.301, 111    , -20    , 13     , -154   
37  , 1.310, 111    , -21    , 4      , 53     
38  , 1.324, 111    , -16    , -8     , 195    
39  , 1.333, 111    , -11    , -8     , 97     
40  , 1.343, 111    , -4     , -15    , 262    
41  , 1.353, 115    , 4      , -13    , 143    
42  , 1.364, 115    , 13     , -9     , 64     
43  , 1.373, 115    , 16     , -6     , 36     
44  , 1.382, 115    , 16     , -9     , 135    
45  , 1.392, 115    , 15     , -8     , 92     
46  , 1.402, 115    , 14     , -6     , 45     
47  , 1.414, 115    , 11     , -2     , -5     
48  , 1.421, 115    , 9      , -5     , 84     
49  , 1.432, 115    , 7      , -7     , 113    
50  , 1.444, 115    , 7      , -18    , 318    
51  , 1.455, 115    , 11     , -18    , 212    
52  , 1.463, 115    , 16     , -18    , 233    
53  , 1.474, 115    , 20     , -17    , 198    
54  , 1.484, 115    , 24     , -18    , 219    
55  , 1.495, 115    , 25     , -14    , 141    
56  , 1.504, 115    , 23     , -10    , 72     
57  , 1.515, 115    , 20     , -2     , -39    
58  , 1.525, 115    , 14     , 2      , -62    
59  , 1.534, 115    , 8      , 7      , -131   
60  , 1.545, 115    , 2      , 4      , -16    
61  , 1.555, 118    , -3     , 2      , -7     
62  , 1.567, 118    , -5     , -6     , 156    
63  , 1.575, 118    , -2     , -18    , 332    
64  , 1.586, 118    , 2      , -29    , 456    
65  , 1.596, 118    , 7      , -37    , 532    
66  , 1.605, 118    , 13     , -36    , 422    
67  , 1.614, 118    , 18     , -36    , 439    
68  , 1.626, 118    , 27     , -29    , 294    
69  , 1.636, 118    , 33     , -24    , 247    
70  , 1.645, 118    , 36     , -15    , 91     
71  , 1.657, 118    , 36     , -5     , -21    
72  , 1.667, 118    , 32     , 3      , -125   
73  , 1.676, 118    , 28     , 10     , -186   
74  , 1.688, 118    , 20     , 12     , -165   
75  , 1.697, 118    , 15     , 12     , -144   
76  , 1.708, 118    , 8      , 11     , -110   
77  , 1.717, 118    , 4      , 6      , -31    
78  , 1.727, 118    , -5     , -2     , 110    
79  , 1.738, 118    , -6     , -11    , 223    
80  , 1.748, 118    , -4     , -15    , 226    
81  , 1.760, 116    , 0      , -28    , 458    
82  , 1.768, 116    , 6      , -28    , 335    
83  , 1.780, 116    , 14     , -32    , 434    
84  , 1.789, 116    , 20     , -26    , 242    
85  , 1.801, 116    , 27     , -21    , 210    
86  , 1.811, 116    , 30     , -14    , 92     
87  , 1.821, 116    , 29     , -5     , -20    
88  , 1.830, 116    , 27     , 3      , -112   
89  , 1.840, 116    , 20     , 8      , -153   
90  , 1.852, 116    , 14     , 15     , -245   
91  , 1.859, 116    , 9      , 14     , -163   
92  , 1.869, 116    , 1      , 11     , -103   
93  , 1.881, 116    , -5     , 5      , -1     
94  , 1.890, 116    , -9     , -3     , 128    
95  , 1.900, 116    , -8     , -15    , 282    
96  , 1.915, 116    , -2     , -27    , 432    
97  , 1.921, 116    , 2      , -33    , 455    
98  , 1.932, 116    , 8      , -35    , 448    
99  , 1.946, 116    , 18     , -30    , 310    
100 , 1.954, 123    , 23     , -26    , 279    
101 , 1.962, 123    , 28     , -22    , 231    
102 , 1.971, 123    , 32     , -16    , 136    
103 , 1.982, 123    , 32     , -5     , -55    
104 , 1.992, 123    , 28     , 1      , -72    
105 , 2.004, 123    , 24     , 7      , -145   
106 , 2.012, 123    , 18     , 7      , -91    
107 , 2.022, 123    , 12     , 8      , -96    
108 , 2.032, 123    , 4      , 5      , -31    
109 , 2.045, 123    , -2     , -3     , 104    
110 , 2.056, 118    , -4     , -11    , 225    
111 , 2.065, 118    , -1     , -19    , 302    
112 , 2.075, 118    , 3      , -28    , 429    
113 , 2.085, 118    , 7      , -30    , 376    
114 , 2.094, 118    , 14     , -33    , 439    
115 , 2.107, 118    , 22     , -31    , 340    
116 , 2.116, 118    , 27     , -25    , 249    
117 , 2.126, 118    , 32     , -19    , 161    
118 , 2.135, 118    , 31     , -9     , 20     
119 , 2.145, 118    , 29     , 0      , -103   
120 , 2.155, 118    , 24     , 10     , -210   
121 , 2.172, 118    , 13     , 17     , -247   
122 , 2.181, 118    , 9      , 15     , -166   
123 , 2.191, 118    , 2      , 15     , -176   
124 , 2.202, 118    , -5     , 12     , -118   
125 , 2.212, 118    , -12    , 3      , 49     
126 , 2.222, 118    , -15    , -3     , 99     
127 , 2.232, 118    , -14    , -11    , 223    
128 , 2.242, 118    , -11    , -17    , 256    
129 , 2.253, 118    , -6     , -22    , 323    
130 , 2.263, 118    , 0      , -25    , 321    
131 , 2.272, 118    , 6      , -19    , 169    
132 , 2.282, 118    , 13     , -12    , 86     
133 , 2.292, 118    , 16     , -4     , -44    
134 , 2.304, 118    , 14     , 7      , -176   
135 , 2.312, 118    , 11     , 15     , -259   
136 , 2.322, 118    , 6      , 24     , -372   
137 , 2.334, 118    , -1     , 26     , -330   
138 , 2.345, 118    , -7     , 24     , -276   
139 , 2.356, 118    , -14    , 18     , -152   
140 , 2.365, 118    , -19    , 11     , -74    
141 , 2.375, 118    , -21    , 0      , 105    
142 , 2.385, 118    , -19    , -9     , 212    
143 , 2.395, 118    , -16    , -18    , 305    
144 , 2.404, 118    , -10    , -22    , 311    
145 , 2.418, 118    , -2     , -23    , 273    
146 , 2.425, 118    , 1      , -20    , 216    
147 , 2.434, 118    , 8      , -18    , 186    
148 , 2.446, 118    , 17     , -11    , 68     
149 , 2.455, 116    , 20     , -3     , -42    
150 , 2.466, 116    , 19     , 4      , -117   
151 , 2.476, 116    , 15     , 12     , -232   
152 , 2.486, 116    , 10     , 16     , -238   
153 , 2.496, 116    , 4      , 19     , -254   
154 , 2.506, 116    , -2     , 19     , -217   
155 , 2.516, 116    , -9     , 12     , -87    
156 , 2.526, 116    , -15    , 6      , -7     
157 , 2.535, 116    , -18    , -5     , 180    
158 , 2.546, 116    , -16    , -16    , 295    
159 , 2.556, 121    , -13    , -26    , 409    
160 , 2.566, 121    , -7     , -33    , 478    
161 , 2.575, 121    , -1     , -36    , 451    
162 , 2.589, 121    , 7      , -35    , 416    
163 , 2.598, 121    , 14     , -30    , 318    
164 , 2.608, 121    , 22     , -25    , 245    
165 , 2.618, 121    , 29     , -15    , 82     
166 , 2.630, 121    , 32     , -9     , 50     
167 , 2.639, 121    , 30     , -1     , -77    
168 , 2.648, 121    , 27     , 7      , -156   
169 , 2.659, 120    , 22     , 12     , -195   
170 , 2.669, 120    , 16     , 15     , -220   
171 , 2.678, 120    , 10     , 15     , -167   
172 , 2.688, 120    , 3      , 11     , -104   
173 , 2.699, 120    , -3     , 6      , -28    
174 , 2.708, 120    , -9     , -4     , 153    
175 , 2.719, 120    , -10    , -12    , 232    
