t;v;delta;phi;u
 0.630; 0      ; 0      ; 0      ; 2      
 0.640; 0      ; 0      ; 0      ; -80    
 0.651; 6      ; -1     ; 0      ; -415   
 0.660; 6      ; -1     ; 1      ; -531   
 0.672; 6      ; -1     ; 1      ; -380   
 0.681; 6      ; -2     ; 1      ; -366   
 0.691; 6      ; -3     ; 1      ; -527   
 0.703; 6      ; -5     ; 1      ; -245   
 0.712; 6      ; -5     ; 1      ; -497   
 0.722; 6      ; -5     ; 1      ; -602   
 0.732; 6      ; -6     ; 1      ; -278   
 0.744; 6      ; -5     ; 1      ; -561   
 0.751; 65     ; -5     ; 1      ; -743   
 0.764; 65     ; -6     ; 1      ; -634   
 0.773; 65     ; -7     ; 1      ; -587   
 0.783; 65     ; -7     ; 1      ; -571   
 0.795; 65     ; -6     ; 1      ; -434   
 0.804; 65     ; -5     ; 1      ; -897   
 0.815; 65     ; -6     ; 1      ; -735   
 0.824; 65     ; -7     ; 1      ; -1037  
 0.835; 65     ; -8     ; 1      ; -869   
 0.847; 65     ; -10    ; 2      ; -1170  
 0.856; 103    ; -10    ; 1      ; -815   
 0.866; 103    ; -10    ; 1      ; -734   
 0.878; 103    ; -10    ; 1      ; -853   
 0.887; 103    ; -9     ; 1      ; -256   
 0.896; 103    ; -8     ; 1      ; -444   
 0.908; 103    ; -6     ; 1      ; -291   
 0.918; 103    ; -4     ; 0      ; 53     
 0.925; 103    ; -3     ; 1      ; -592   
 0.937; 103    ; -3     ; 1      ; -683   
 0.946; 103    ; -4     ; 1      ; -1151  
 0.958; 111    ; -7     ; 2      ; -1589  
 0.968; 111    ; -10    ; 2      ; -1470  
 0.976; 111    ; -12    ; 2      ; -899   
 0.987; 111    ; -12    ; 1      ; -791   
 0.997; 111    ; -11    ; 1      ; 134    
 1.010; 111    ; -8     ; 0      ; 281    
 1.018; 111    ; -4     ; -1     ; 1464   
 1.026; 111    ; 0      ; -1     ; 1321   
 1.036; 111    ; 6      ; -2     ; 1455   
 1.046; 111    ; 11     ; -1     ; 119    
 1.059; 116    ; 13     ; 0      ; -501   
 1.070; 116    ; 10     ; 1      ; -1702  
 1.079; 116    ; 7      ; 3      ; -2917  
 1.089; 116    ; 2      ; 4      ; -3779  
 1.099; 116    ; -4     ; 4      ; -2071  
 1.110; 116    ; -11    ; 3      ; -1586  
 1.118; 116    ; -14    ; 2      ; -693   
 1.130; 116    ; -17    ; 1      ; 196    
 1.139; 116    ; -15    ; -1     ; 1709   
 1.149; 111    ; -12    ; -2     ; 1759   
 1.159; 111    ; -7     ; -3     ; 2264   
 1.170; 111    ; -1     ; -2     ; 795    
 1.181; 111    ; 4      ; -1     ; 512    
 1.190; 111    ; 8      ; 0      ; -575   
 1.200; 111    ; 8      ; 2      ; -1928  
 1.210; 111    ; 6      ; 4      ; -3450  
 1.222; 111    ; 0      ; 5      ; -3876  
 1.230; 111    ; -4     ; 5      ; -3356  
 1.241; 111    ; -10    ; 4      ; -2245  
 1.253; 116    ; -16    ; 3      ; -1844  
 1.263; 116    ; -21    ; 2      ; -1001  
 1.272; 116    ; -22    ; 1      ; 575    
 1.282; 116    ; -20    ; -1     ; 1500   
 1.292; 116    ; -16    ; -2     ; 2139   
 1.304; 116    ; -10    ; -3     ; 2144   
 1.312; 116    ; -6     ; -2     ; 1641   
 1.323; 116    ; 1      ; -2     ; 966    
 1.333; 116    ; 7      ; -1     ; 419    
 1.342; 116    ; 11     ; 0      ; -374   
 1.352; 115    ; 11     ; 1      ; -1819  
 1.362; 115    ; 9      ; 3      ; -2596  
 1.373; 115    ; 5      ; 3      ; -2588  
 1.382; 115    ; 0      ; 4      ; -2933  
 1.392; 115    ; -5     ; 4      ; -2207  
 1.403; 115    ; -11    ; 3      ; -1431  
 1.412; 115    ; -16    ; 2      ; -332   
 1.423; 115    ; -18    ; 0      ; 683    
 1.433; 115    ; -15    ; -1     ; 1993   
 1.442; 115    ; -11    ; -3     ; 2349   
 1.453; 116    ; -4     ; -4     ; 3113   
 1.464; 116    ; 2      ; -3     ; 1945   
 1.474; 116    ; 9      ; -3     ; 1976   
 1.485; 116    ; 15     ; -2     ; 1408   
 1.494; 116    ; 20     ; -2     ; 688    
 1.504; 116    ; 22     ; 0      ; -971   
 1.516; 116    ; 19     ; 2      ; -1888  
 1.524; 116    ; 16     ; 3      ; -2342  
 1.534; 116    ; 11     ; 3      ; -2615  
 1.544; 116    ; 6      ; 3      ; -2230  
 1.556; 113    ; -1     ; 3      ; -1816  
 1.563; 113    ; -7     ; 3      ; -1460  
 1.574; 113    ; -12    ; 2      ; -571   
 1.587; 113    ; -17    ; 0      ; 422    
 1.600; 113    ; -15    ; -1     ; 1117   
 1.607; 113    ; -11    ; -2     ; 2442   
 1.618; 113    ; -6     ; -3     ; 2552   
 1.625; 113    ; -1     ; -3     ; 2080   
 1.638; 113    ; 6      ; -3     ; 1497   
 1.645; 113    ; 10     ; -2     ; 669    
 1.657; 116    ; 15     ; -1     ; 335    
 1.666; 116    ; 15     ; 0      ; -911   
 1.677; 116    ; 12     ; 2      ; -2103  
 1.687; 116    ; 8      ; 2      ; -2055  
 1.696; 116    ; 3      ; 3      ; -2397  
 1.707; 116    ; -3     ; 3      ; -2040  
 1.717; 116    ; -8     ; 2      ; -1296  
 1.726; 116    ; -14    ; 2      ; -706   
 1.737; 116    ; -16    ; 0      ; 1080   
 1.746; 116    ; -14    ; -2     ; 2089   
 1.759; 116    ; -8     ; -3     ; 2837   
 1.768; 116    ; -3     ; -4     ; 2799   
 1.777; 116    ; 2      ; -4     ; 3016   
 1.787; 116    ; 9      ; -3     ; 2038   
 1.796; 116    ; 15     ; -3     ; 1595   
 1.806; 116    ; 21     ; -2     ; 382    
 1.818; 116    ; 23     ; 0      ; -889   
 1.825; 116    ; 22     ; 1      ; -1838  
 1.838; 116    ; 17     ; 3      ; -2502  
 1.851; 116    ; 11     ; 3      ; -2692  
 1.859; 116    ; 6      ; 5      ; -3769  
 1.869; 116    ; 0      ; 4      ; -2855  
 1.880; 116    ; -8     ; 4      ; -2191  
 1.887; 116    ; -13    ; 3      ; -1250  
 1.901; 116    ; -19    ; 1      ; 366    
 1.912; 116    ; -19    ; -1     ; 1137   
 1.922; 116    ; -16    ; -2     ; 2324   
 1.933; 116    ; -11    ; -3     ; 2628   
 1.944; 116    ; -4     ; -3     ; 2585   
 1.952; 116    ; 2      ; -3     ; 2270   
 1.963; 116    ; 9      ; -3     ; 1688   
 1.972; 116    ; 16     ; -2     ; 973    
 1.982; 116    ; 20     ; -1     ; -166   
 1.992; 116    ; 19     ; 1      ; -1717  
 2.002; 116    ; 16     ; 3      ; -2671  
 2.014; 116    ; 11     ; 3      ; -2655  
 2.025; 116    ; 6      ; 4      ; -2814  
 2.034; 116    ; 0      ; 3      ; -2043  
 2.044; 116    ; -6     ; 3      ; -1921  
 2.054; 113    ; -12    ; 2      ; -949   
 2.064; 113    ; -16    ; 1      ; 25     
 2.074; 113    ; -15    ; 0      ; 1082   
 2.084; 113    ; -11    ; -1     ; 1325   
 2.094; 113    ; -6     ; -2     ; 2306   
 2.104; 113    ; -1     ; -2     ; 1301   
 2.114; 113    ; 5      ; -2     ; 1096   
 2.129; 113    ; 12     ; -1     ; -132   
 2.137; 113    ; 13     ; 1      ; -1360  
 2.147; 113    ; 10     ; 2      ; -2596  
 2.157; 120    ; 7      ; 4      ; -3635  
 2.166; 120    ; 2      ; 4      ; -2931  
 2.179; 120    ; -4     ; 4      ; -2574  
 2.187; 120    ; -9     ; 4      ; -2515  
 2.196; 120    ; -15    ; 3      ; -2086  
 2.208; 120    ; -22    ; 3      ; -1543  
 2.217; 120    ; -25    ; 1      ; -19    
 2.227; 120    ; -23    ; 0      ; 1071   
 2.237; 120    ; -20    ; -1     ; 1273   
 2.248; 120    ; -14    ; -2     ; 1800   
 2.257; 116    ; -9     ; -2     ; 1213   
 2.270; 116    ; 0      ; -1     ; 772    
 2.277; 116    ; 3      ; -1     ; 84     
 2.287; 116    ; 6      ; 0      ; -480   
 2.297; 116    ; 6      ; 1      ; -1784  
 2.306; 116    ; 4      ; 3      ; -3266  
 2.316; 116    ; 0      ; 4      ; -3385  
 2.328; 116    ; -6     ; 5      ; -3706  
 2.338; 116    ; -12    ; 5      ; -2957  
 2.347; 116    ; -18    ; 4      ; -2449  
 2.357; 116    ; -23    ; 3      ; -1575  
 2.366; 116    ; -26    ; 1      ; -95    
 2.376; 116    ; -25    ; 0      ; 1225   
 2.388; 116    ; -20    ; -1     ; 1544   
 2.397; 116    ; -16    ; -2     ; 2273   
