Row, Timestamp, 1-Series 1, 1-Series 2
0   , 0.243, 100    , 0      
1   , 0.253, 100    , 1      
2   , 0.263, 100    , 6      
3   , 0.273, 100    , 11     
4   , 0.283, 100    , 18     
5   , 0.293, 100    , 25     
6   , 0.303, 100    , 32     
7   , 0.313, 100    , 40     
8   , 0.323, 100    , 48     
9   , 0.333, 100    , 57     
10  , 0.343, 100    , 66     
11  , 0.353, 100    , 75     
12  , 0.363, 100    , 85     
13  , 0.373, 100    , 94     
14  , 0.385, 100    , 104    
15  , 0.396, 100    , 110    
16  , 0.406, 100    , 112    
17  , 0.417, 100    , 110    
18  , 0.427, 100    , 107    
19  , 0.437, 100    , 103    
20  , 0.447, 100    , 100    
21  , 0.459, 100    , 98     
22  , 0.469, 100    , 97     
23  , 0.479, 100    , 98     
24  , 0.489, 100    , 99     
25  , 0.499, 100    , 100    
26  , 0.509, 100    , 100    
27  , 0.519, 100    , 100    
28  , 0.529, 100    , 100    
29  , 0.539, 100    , 100    
30  , 0.549, 100    , 100    
31  , 0.559, 100    , 100    
32  , 0.570, 100    , 100    
33  , 0.580, 100    , 100    
34  , 0.591, 100    , 100    
35  , 0.601, 100    , 100    
36  , 0.611, 100    , 100    
37  , 0.621, 100    , 100    
38  , 0.631, 100    , 100    
39  , 0.641, 100    , 100    
40  , 0.651, 100    , 100    
41  , 0.661, 100    , 100    
42  , 0.671, 100    , 100    
43  , 0.681, 100    , 100    
44  , 0.691, 100    , 100    
45  , 0.701, 100    , 100    
46  , 0.711, 100    , 100    
47  , 0.721, 100    , 100    
48  , 0.733, 100    , 100    
49  , 0.744, 100    , 100    
50  , 0.754, 100    , 100    
51  , 0.765, 100    , 100    
52  , 0.775, 100    , 100    
53  , 0.786, 100    , 100    
54  , 0.796, 100    , 100    
55  , 0.807, 100    , 100    
56  , 0.817, 100    , 100    
57  , 0.828, 100    , 100    
58  , 0.838, 100    , 100    
59  , 0.849, 100    , 100    
60  , 0.859, 100    , 100    
61  , 0.869, 100    , 100    
62  , 0.879, 100    , 100    
63  , 0.889, 100    , 100    
64  , 0.899, 100    , 100    
65  , 0.909, 100    , 100    
66  , 0.919, 100    , 100    
67  , 0.929, 100    , 100    
68  , 0.939, 100    , 100    
69  , 0.949, 100    , 100    
70  , 0.959, 100    , 100    
71  , 0.969, 100    , 100    
72  , 0.979, 100    , 100    
73  , 0.989, 100    , 100    
74  , 0.999, 100    , 100    
75  , 1.009, 100    , 100    
76  , 1.019, 100    , 100    
77  , 1.029, 100    , 100    
78  , 1.039, 100    , 100    
79  , 1.049, 100    , 100    
80  , 1.059, 100    , 100    
