t,y
0,0
0.0048757,0.0012333
0.0097513,0.0025366
0.014627,0.0038961
0.019503,0.0052971
0.024378,0.0067245
0.029254,0.0081627
0.03413,0.0095961
0.039005,0.011009
0.043881,0.012386
0.048757,0.013712
0.053632,0.014972
0.058508,0.016154
0.063384,0.017245
0.068259,0.018232
0.073135,0.019107
0.078011,0.01986
0.082886,0.020484
0.087762,0.020973
0.092638,0.021323
0.097513,0.021532
0.10239,0.021598
0.10726,0.021523
0.11214,0.02131
0.11702,0.020962
0.12189,0.020486
0.12677,0.019888
0.13164,0.019177
0.13652,0.018362
0.14139,0.017456
0.14627,0.01647
0.15115,0.015417
0.15602,0.01431
0.1609,0.013164
0.16577,0.011993
0.17065,0.01081
0.17552,0.0096324
0.1804,0.0084726
0.18528,0.0073453
0.19015,0.0062638
0.19503,0.005241
0.1999,0.0042889
0.20478,0.0034186
0.20965,0.0026399
0.21453,0.0019616
0.21941,0.0013912
0.22428,0.00093479
0.22916,0.00059694
0.23403,0.00038085
0.23891,0.0002882
0.24378,0.00031913
0.24866,0.00047232
0.25353,0.00074495
0.25841,0.0011328
0.26329,0.0016303
0.26816,0.0022305
0.27304,0.0029254
0.27791,0.003706
0.28279,0.004562
0.28766,0.0054826
0.29254,0.0064563
0.29742,0.0074707
0.30229,0.0085135
0.30717,0.0095719
0.31204,0.010633
0.31692,0.011684
0.32179,0.012712
0.32667,0.013706
0.33155,0.014653
0.33642,0.015543
0.3413,0.016366
0.34617,0.017111
0.35105,0.017771
0.35592,0.01834
0.3608,0.018809
0.36568,0.019176
0.37055,0.019437
0.37543,0.019588
0.3803,0.01963
0.38518,0.019564
0.39005,0.019389
0.39493,0.019111
0.3998,0.018733
0.40468,0.018261
0.40956,0.017702
0.41443,0.017062
0.41931,0.01635
0.42418,0.015576
0.42906,0.01475
0.43393,0.013882
0.43881,0.012983
0.44369,0.012064
0.44856,0.011137
0.45344,0.010213
0.45831,0.0093032
0.46319,0.0084183
0.46806,0.0075691
0.47294,0.0067656
0.47782,0.0060171
0.48269,0.0053323
0.48757,0.004719
0.49244,0.0041841
0.49732,0.0037334
0.50219,0.0033718
0.50707,0.0031028
0.51195,0.0029291
0.51682,0.0028519
0.5217,0.0028715
0.52657,0.0029868
0.53145,0.0031957
0.53632,0.0034949
0.5412,0.0038802
0.54608,0.0043461
0.55095,0.0048865
0.55583,0.0054942
0.5607,0.0061614
0.56558,0.0068796
0.57045,0.0076398
0.57533,0.0084323
0.5802,0.0092476
0.58508,0.010076
0.58996,0.010906
0.59483,0.011729
0.59971,0.012536
0.60458,0.013315
0.60946,0.014059
0.61433,0.014758
0.61921,0.015405
0.62409,0.015992
0.62896,0.016513
0.63384,0.016962
0.63871,0.017335
0.64359,0.017627
0.64846,0.017836
0.65334,0.01796
0.65822,0.017999
0.66309,0.017952
0.66797,0.017821
0.67284,0.017609
0.67772,0.017319
0.68259,0.016955
