t,phi,delta
0,0,0.14286
0.01,0,0.26667
0.02,0,0.375
0.03,0,0.47059
0.04,0,0.5
0.05,0,0.52632
0.06,0,0.6
0.07,0,0.66667
0.08,0,0.77273
0.09,0,0.86957
0.1,0,0.95833
0.11,0,1.04
0.12,0,1.1154
0.13,0,1.1852
0.14,0,1.1852
0.15,0,1.2222
0.16,0,1.2593
0.17,0,1.2963
0.18,0,1.3704
0.19,0,1.4444
0.2,0,1.5185
0.21,0,1.6296
0.22,0,1.6667
0.23,0,1.7407
0.24,0,1.7778
0.25,0,1.8519
0.26,0,1.8889
0.27,0,1.8148
0.28,0,1.7037
0.29,0,1.5926
0.3,0,1.4815
0.31,-0.005291,1.3704
0.32,-0.010582,1.2222
0.33,-0.015873,1.037
0.34,-0.021164,0.81481
0.35,-0.026455,0.55556
0.36,-0.031746,0.2963
0.37,-0.037037,0.037037
0.38,-0.037037,-0.22222
0.39,-0.037037,-0.48148
0.4,-0.037037,-0.77778
0.41,-0.037037,-1.0741
0.42,-0.037037,-1.3333
0.43,-0.037037,-1.6296
0.44,-0.037037,-1.9259
0.45,-0.037037,-2.2222
0.46,-0.037037,-2.4815
0.47,-0.037037,-2.6667
0.48,-0.037037,-2.8889
0.49,-0.037037,-3.0741
0.5,-0.037037,-3.2593
0.51,-0.037037,-3.4444
0.52,-0.037037,-3.6667
0.53,-0.037037,-3.8889
0.54,-0.037037,-4.0741
0.55,-0.037037,-4.2593
0.56,-0.037037,-4.4074
0.57,-0.037037,-4.5185
0.58,-0.031746,-4.5556
0.59,-0.026455,-4.5926
0.6,-0.021164,-4.6296
0.61,-0.015873,-4.5926
0.62,-0.010582,-4.5556
0.63,-0.005291,-4.5185
0.64,0,-4.4815
0.65,0,-4.4444
0.66,0,-4.4074
0.67,0,-4.3333
0.68,0,-4.2222
0.69,0,-4.1481
0.7,0,-4
0.71,0.005291,-3.8519
0.72,0.015873,-3.6667
0.73,0.031746,-3.5185
0.74,0.05291,-3.3704
0.75,0.079365,-3.2222
0.76,0.11111,-3.037
0.77,0.14815,-2.8519
0.78,0.18519,-2.6296
0.79,0.22222,-2.4074
0.8,0.25926,-2.1852
0.81,0.2963,-1.8889
0.82,0.33333,-1.5185
0.83,0.37037,-1.0741
0.84,0.40741,-0.59259
0.85,0.44444,-0.037037
0.86,0.48148,0.7037
0.87,0.51852,1.5185
0.88,0.55026,2.2963
0.89,0.57672,3.037
0.9,0.59788,3.6667
0.91,0.61905,4.1852
0.92,0.64021,4.5926
0.93,0.66138,4.963
0.94,0.68254,5.4074
0.95,0.70899,6
0.96,0.74074,6.7407
0.97,0.77249,7.5556
0.98,0.79365,8.4074
0.99,0.80423,9.1111
1,0.79894,9.7037
1.01,0.77778,10.111
1.02,0.74603,10.222
1.03,0.7037,10.074
1.04,0.66138,9.8148
1.05,0.62963,9.4815
1.06,0.60847,9.2593
1.07,0.60317,9.1852
1.08,0.60847,9.2222
1.09,0.61905,9.4074
1.1,0.62963,9.5556
1.11,0.63492,9.6296
1.12,0.62963,9.5185
1.13,0.61376,9.0741
1.14,0.5873,8.3704
1.15,0.56614,7.5556
1.16,0.55026,6.8148
1.17,0.54497,6.2593
1.18,0.54497,6
1.19,0.54497,6
1.2,0.54497,6.0741
1.21,0.53968,6.1111
1.22,0.51852,5.963
1.23,0.48148,5.5556
1.24,0.43386,4.9259
1.25,0.38624,4.1111
1.26,0.34392,3.2593
1.27,0.31746,2.4815
1.28,0.31217,2
1.29,0.32275,1.9259
1.3,0.34392,2.2963
1.31,0.36508,2.9259
1.32,0.37037,3.6667
1.33,0.35979,4.2593
1.34,0.31746,4.5556
1.35,0.25397,4.5556
1.36,0.1746,4.1852
1.37,0.095238,3.5556
1.38,0.021164,2.8148
1.39,-0.037037,2.1852
1.4,-0.079365,1.8519
1.41,-0.10053,1.8889
1.42,-0.1164,2.2593
1.43,-0.13228,2.7037
1.44,-0.15873,3
1.45,-0.20106,2.9259
1.46,-0.24868,2.5185
1.47,-0.30159,1.8519
1.48,-0.3545,0.96296
1.49,-0.39683,-0.037037
1.5,-0.41799,-0.85185
1.51,-0.41799,-1.4444
1.52,-0.40212,-1.7037
1.53,-0.38095,-1.6667
1.54,-0.35979,-1.4074
1.55,-0.34921,-1.2593
1.56,-0.3545,-1.3333
1.57,-0.37566,-1.7778
1.58,-0.4127,-2.5556
1.59,-0.44444,-3.6296
1.6,-0.4709,-4.8889
1.61,-0.47619,-6.037
1.62,-0.45503,-7
1.63,-0.40741,-7.6667
1.64,-0.34392,-8
1.65,-0.26455,-8.037
1.66,-0.17989,-7.9259
1.67,-0.095238,-7.6667
1.68,-0.021164,-7.5556
1.69,0.042328,-7.6667
1.7,0.10053,-7.9259
1.71,0.15873,-8.1481
1.72,0.22222,-8.1852
1.73,0.28571,-8.037
1.74,0.35979,-7.5926
1.75,0.44444,-6.8889
1.76,0.5291,-5.963
1.77,0.60317,-4.963
1.78,0.66667,-4.037
1.79,0.71958,-3.2222
1.8,0.7619,-2.6296
1.81,0.78836,-2.2593
1.82,0.80423,-1.9259
1.83,0.82011,-1.4815
1.84,0.84127,-0.88889
1.85,0.86772,-0.074074
1.86,0.88889,1
1.87,0.91005,2.3333
1.88,0.92593,3.7407
1.89,0.92593,5.1111
1.9,0.91005,6.3333
1.91,0.87831,7.3704
1.92,0.8254,8.2222
1.93,0.75661,8.8519
1.94,0.67725,9.1481
1.95,0.59259,9.3333
1.96,0.50794,9.4815
1.97,0.42328,9.6296
1.98,0.33862,9.7778
1.99,0.25926,9.9259
2,0.18519,10.037
2.01,0.10582,10.037
2.02,0.021164,9.9259
2.03,-0.063492,9.6667
2.04,-0.15344,9.2593
2.05,-0.24868,8.7037
2.06,-0.34921,8
2.07,-0.44974,7.2593
2.08,-0.54497,6.4815
2.09,-0.63492,5.6296
2.1,-0.72487,4.7037
2.11,-0.80952,3.7407
2.12,-0.8836,2.6667
2.13,-0.94709,1.5185
2.14,-1.0053,0.25926
2.15,-1.0582,-1.0741
2.16,-1.1058,-2.4074
2.17,-1.1481,-3.6667
2.18,-1.1852,-4.9259
2.19,-1.2169,-6.1852
2.2,-1.2434,-7.4074
2.21,-1.2646,-8.5926
2.22,-1.2804,-9.7037
2.23,-1.291,-10.778
2.24,-1.2963,-11.815
2.25,-1.2963,-12.815
2.26,-1.2963,-13.815
2.27,-1.2963,-14.778
2.28,-1.2963,-15.704
2.29,-1.2963,-16.593
2.3,-1.291,-17.37
2.31,-1.2751,-18.111
2.32,-1.2487,-18.741
2.33,-1.2116,-19.222
2.34,-1.1587,-19.593
2.35,-1.0899,-19.815
2.36,-1.0053,-19.889
2.37,-0.91005,-19.704
2.38,-0.80952,-19.407
2.39,-0.70899,-18.926
2.4,-0.60847,-18.333
2.41,-0.51323,-17.63
2.42,-0.42328,-16.852
2.43,-0.33862,-16.037
2.44,-0.25397,-15.222
2.45,-0.16931,-14.37
2.46,-0.079365,-13.481
2.47,0.015873,-12.519
2.48,0.12169,-11.407
2.49,0.2381,-10.148
2.5,0.36508,-8.7037
2.51,0.49206,-7.0741
2.52,0.61905,-5.2222
2.53,0.74603,-3.2593
2.54,0.86772,-1.2593
2.55,0.97884,0.7037
2.56,1.0794,2.5556
2.57,1.164,4.2593
2.58,1.2434,5.8148
2.59,1.3175,7.3333
2.6,1.3862,8.8148
2.61,1.4497,10.407
2.62,1.5079,12.111
2.63,1.5608,13.963
2.64,1.6138,15.815
2.65,1.6561,17.704
2.66,1.6825,19.444
2.67,1.6931,20.963
2.68,1.6931,22.222
2.69,1.6825,23.185
2.7,1.6614,23.852
2.71,1.6296,24.222
2.72,1.5926,24.519
2.73,1.5556,24.852
2.74,1.5185,25.259
2.75,1.4762,25.741
2.76,1.4233,26.259
2.77,1.3545,26.704
2.78,1.2751,26.963
2.79,1.1799,26.889
2.8,1.0688,26.519
2.81,0.94709,25.815
2.82,0.82011,24.889
2.83,0.69841,23.815
2.84,0.5873,22.667
2.85,0.47266,21.63
2.86,0.36049,20.667
2.87,0.25203,19.741
2.88,0.20128,19.538
2.89,0.14076,19.12
2.9,0.069246,18.417
2.91,-0.0147,17.435
2.92,-0.099784,16.227
2.93,-0.17937,14.952
2.94,-0.25262,13.75
2.95,-0.31855,12.737
2.96,-0.37593,12
2.97,-0.42325,11.588
2.98,-0.46756,11.563
2.99,-0.51778,11.667
3,-0.58537,11.643
