t,phi,delta
0,0,0
0.01,0.004225,0.77742
0.02,0.034324,2.7736
0.03,0.10778,5.2766
0.04,0.23127,7.6876
0.05,0.40231,9.5348
0.06,0.61081,10.479
0.07,0.84098,10.317
0.08,1.0736,8.982
0.09,1.2889,6.5357
0.1,1.4684,3.1563
0.11,1.597,-0.88578
0.12,1.664,-5.2591
0.13,1.6628,-9.6075
0.14,1.5919,-13.586
0.15,1.455,-16.896
0.16,1.2613,-19.308
0.17,1.0248,-20.679
0.18,0.76312,-20.962
0.19,0.49555,-20.202
0.2,0.2402,-18.529
0.21,0.012095,-16.137
0.22,-0.17801,-13.265
0.23,-0.32395,-10.17
0.24,-0.42385,-7.1022
0.25,-0.47946,-4.2795
0.26,-0.49548,-1.8712
0.27,-0.4788,0.012728
0.28,-0.43766,1.3249
0.29,-0.38082,2.0755
0.3,-0.31675,2.3232
0.31,-0.25289,2.1614
0.32,-0.19515,1.7038
0.33,-0.14763,1.0696
0.34,-0.11257,0.37167
0.35,-0.090497,-0.29405
0.36,-0.080505,-0.85435
0.37,-0.080633,-1.2619
0.38,-0.088265,-1.4952
0.39,-0.10053,-1.5553
0.4,-0.11465,-1.462
0.41,-0.12819,-1.2477
0.42,-0.1393,-0.95161
0.43,-0.14671,-0.61457
0.44,-0.14985,-0.27429
0.45,-0.14867,0.037929
0.46,-0.14365,0.29928
0.47,-0.13555,0.49619
0.48,-0.12535,0.624
0.49,-0.11407,0.68575
0.5,-0.10267,0.6904
0.51,-0.091965,0.65078
0.52,-0.082544,0.58156
0.53,-0.074783,0.49736
0.54,-0.068832,0.4113
0.55,-0.064644,0.33393
0.56,-0.062021,0.27269
0.57,-0.06066,0.23175
0.58,-0.060206,0.21223
0.59,-0.060298,0.21275
0.6,-0.060606,0.23
0.61,-0.060856,0.25957
0.62,-0.060851,0.29654
0.63,-0.060469,0.33618
0.64,-0.059666,0.37436
0.65,-0.058458,0.40787
0.66,-0.056912,0.43459
0.67,-0.055123,0.45349
0.68,-0.053202,0.46448
0.69,-0.051259,0.4683
0.7,-0.04939,0.46624
0.71,-0.047673,0.45987
0.72,-0.046159,0.45091
0.73,-0.044874,0.44091
0.74,-0.043821,0.43123
0.75,-0.042985,0.42287
0.76,-0.042333,0.41648
0.77,-0.041829,0.41235
0.78,-0.041429,0.41045
0.79,-0.041094,0.41052
0.8,-0.04079,0.41213
0.81,-0.040489,0.41477
0.82,-0.040173,0.41792
0.83,-0.039831,0.4211
0.84,-0.039461,0.42391
0.85,-0.039067,0.42608
0.86,-0.038655,0.42745
0.87,-0.038237,0.42795
0.88,-0.037824,0.42764
0.89,-0.037424,0.42664
0.9,-0.037047,0.42509
0.91,-0.0367,0.42318
