t,phi,delta
0,0,-0.53333
0.01,0,-0.5
0.02,0,-0.47059
0.03,0,-0.44444
0.04,0,-0.42105
0.05,0,-0.3
0.06,0.0078125,-0.14286
0.07,0.022059,0.045455
0.08,0.041667,0.30435
0.09,0.065789,0.625
0.1,0.09375,1
0.11,0.13125,1.3462
0.12,0.175,1.6296
0.13,0.225,1.8571
0.14,0.275,2.0345
0.15,0.31875,2.2
0.16,0.35625,2.4
0.17,0.3875,2.6
0.18,0.4125,2.8
0.19,0.4375,3.0333
0.2,0.4625,3.2667
0.21,0.4875,3.5
0.22,0.5125,3.7333
0.23,0.54375,3.9667
0.24,0.58125,4.2
0.25,0.625,4.5
0.26,0.66875,4.8
0.27,0.70625,5.1
0.28,0.7375,5.4
0.29,0.7625,5.6667
0.3,0.775,5.9333
0.31,0.775,6.1667
0.32,0.7625,6.4
0.33,0.7375,6.6333
0.34,0.70625,6.8667
0.35,0.675,7.0333
0.36,0.64375,7.1667
0.37,0.6125,7.2667
0.38,0.5875,7.3
0.39,0.5625,7.2667
0.4,0.5375,7.1667
0.41,0.5125,7.0667
0.42,0.4875,7
0.43,0.45625,6.9
0.44,0.4125,6.7333
0.45,0.35625,6.5
0.46,0.2875,6.2333
0.47,0.2125,5.9
0.48,0.13125,5.5333
0.49,0.04375,5.1667
0.5,-0.0375,4.8
0.51,-0.1125,4.4667
0.52,-0.175,4.1667
0.53,-0.225,3.9
0.54,-0.25625,3.6667
0.55,-0.26875,3.4667
0.56,-0.2625,3.3
0.57,-0.2375,3.1667
0.58,-0.20625,3.0333
0.59,-0.175,2.9
0.6,-0.14375,2.7333
0.61,-0.1125,2.5667
0.62,-0.0875,2.3667
0.63,-0.06875,2.1667
0.64,-0.05,1.9667
0.65,-0.03125,1.7667
0.66,-0.0125,1.6
0.67,0.0125,1.4333
0.68,0.04375,1.3
0.69,0.08125,1.2
0.7,0.11875,1.1
0.71,0.15625,0.96667
0.72,0.1875,0.76667
0.73,0.2125,0.6
0.74,0.225,0.5
0.75,0.225,0.46667
0.76,0.2125,0.46667
0.77,0.1875,0.53333
0.78,0.15625,0.63333
0.79,0.125,0.73333
0.8,0.09375,0.86667
0.81,0.0625,1
0.82,0.0375,1.1333
0.83,0.01875,1.2333
0.84,0.00625,1.3333
0.85,0,1.4
0.86,0.00625,1.4333
0.87,0.01875,1.4667
0.88,0.0375,1.5
0.89,0.05625,1.5333
0.9,0.075,1.6
0.91,0.09375,1.6667
0.92,0.1125,1.7667
0.93,0.13125,1.9
0.94,0.14375,2.0667
0.95,0.15625,2.2667
0.96,0.16875,2.4667
0.97,0.1875,2.7333
0.98,0.2125,3
0.99,0.24375,3.2667
1,0.28125,3.5667
1.01,0.325,3.9
1.02,0.375,4.3
1.03,0.425,4.7
1.04,0.475,5.1
1.05,0.525,5.5
1.06,0.56875,5.9333
1.07,0.60625,6.3667
1.08,0.6375,6.8
1.09,0.66875,7.2333
1.1,0.7,7.6333
1.11,0.73125,8
1.12,0.7625,8.3333
1.13,0.79375,8.6333
1.14,0.83125,8.9
1.15,0.8625,9.1333
1.16,0.8875,9.3667
1.17,0.9,9.5333
1.18,0.9,9.6667
1.19,0.8875,9.7333
1.2,0.8625,9.7667
1.21,0.825,9.7667
1.22,0.76875,9.6667
1.23,0.70625,9.4667
1.24,0.6375,9.1667
1.25,0.5625,8.7333
1.26,0.48125,8.2
1.27,0.39375,7.5333
1.28,0.3,6.8
1.29,0.2,6.0667
1.3,0.10625,5.3667
1.31,0.01875,4.7
1.32,-0.0625,4.1
1.33,-0.1375,3.5667
1.34,-0.20625,3.1
1.35,-0.2625,2.6
1.36,-0.30625,2.0667
1.37,-0.3375,1.5
1.38,-0.36875,0.86667
1.39,-0.4,0.16667
1.4,-0.43125,-0.6
1.41,-0.4625,-1.4
1.42,-0.4875,-2.2333
1.43,-0.5125,-3.0667
1.44,-0.5375,-3.8667
1.45,-0.5625,-4.6333
1.46,-0.575,-5.3667
1.47,-0.575,-5.9667
1.48,-0.5625,-6.4667
1.49,-0.5375,-6.8333
1.5,-0.5125,-7.1
1.51,-0.4875,-7.2333
1.52,-0.4625,-7.2667
1.53,-0.4375,-7.2667
1.54,-0.41875,-7.2
1.55,-0.40625,-7.1
1.56,-0.4,-6.9333
1.57,-0.4,-6.6667
1.58,-0.39375,-6.3667
1.59,-0.38125,-6.1
1.6,-0.3625,-5.9
1.61,-0.3375,-5.7333
1.62,-0.30625,-5.6
1.63,-0.26875,-5.4333
1.64,-0.225,-5.2667
1.65,-0.16875,-5.0333
1.66,-0.1125,-4.7333
1.67,-0.05625,-4.3333
1.68,0,-3.8333
1.69,0.05625,-3.2333
1.7,0.1125,-2.5
1.71,0.16875,-1.7
1.72,0.225,-0.83333
1.73,0.275,0.033333
1.74,0.325,0.9
1.75,0.375,1.7
1.76,0.425,2.5
1.77,0.475,3.2
1.78,0.525,3.8
1.79,0.575,4.3333
1.8,0.625,4.8333
1.81,0.675,5.2667
1.82,0.725,5.7
1.83,0.775,6.1667
1.84,0.825,6.6333
1.85,0.86875,7.1667
1.86,0.90625,7.7333
1.87,0.9375,8.3
1.88,0.96875,8.9333
1.89,1,9.6333
1.9,1.0313,10.267
1.91,1.0625,10.9
1.92,1.0938,11.567
1.93,1.1313,12.2
1.94,1.175,12.767
1.95,1.225,13.267
1.96,1.275,13.733
1.97,1.3188,14.1
1.98,1.3562,14.4
1.99,1.3875,14.7
2,1.4125,14.967
2.01,1.4312,15.167
2.02,1.4438,15.267
2.03,1.45,15.3
2.04,1.45,15.267
2.05,1.45,15.2
2.06,1.4438,15.067
2.07,1.4375,14.933
2.08,1.425,14.833
2.09,1.4063,14.767
2.1,1.3813,14.633
2.11,1.35,14.5
2.12,1.3125,14.367
2.13,1.2688,14.233
2.14,1.2188,14.1
2.15,1.1563,13.967
2.16,1.0875,13.767
2.17,1.0188,13.5
2.18,0.95,13.133
2.19,0.88125,12.667
2.2,0.8125,12.2
2.21,0.74375,11.7
2.22,0.68125,11.067
2.23,0.625,10.367
2.24,0.575,9.6667
2.25,0.525,8.9667
2.26,0.48125,8.2333
2.27,0.4375,7.5333
2.28,0.39375,6.8667
2.29,0.35,6.1667
2.3,0.30625,5.4333
2.31,0.2625,4.7333
2.32,0.21875,4.1
2.33,0.175,3.5
2.34,0.13125,2.9
2.35,0.0875,2.3333
2.36,0.04375,1.7333
2.37,0,1.0667
2.38,-0.04375,0.33333
2.39,-0.0875,-0.53333
2.4,-0.13125,-1.4333
2.41,-0.18125,-2.3
2.42,-0.24375,-3.1667
2.43,-0.30625,-4.0667
2.44,-0.36875,-5
2.45,-0.43125,-5.9667
2.46,-0.49375,-6.9
2.47,-0.55625,-7.7667
2.48,-0.61875,-8.6
2.49,-0.675,-9.4
2.5,-0.725,-10.133
2.51,-0.775,-10.833
2.52,-0.825,-11.5
2.53,-0.875,-12.133
2.54,-0.925,-12.733
2.55,-0.96875,-13.267
2.56,-1.0063,-13.8
2.57,-1.0375,-14.3
2.58,-1.0625,-14.8
2.59,-1.0813,-15.3
2.6,-1.0938,-15.8
2.61,-1.0938,-16.3
2.62,-1.0813,-16.8
2.63,-1.0688,-17.267
2.64,-1.0562,-17.7
2.65,-1.0437,-18.133
2.66,-1.0313,-18.5
2.67,-1.0188,-18.8
2.68,-1.0063,-19
2.69,-0.99375,-19.067
2.7,-0.98125,-18.967
2.71,-0.9625,-18.833
2.72,-0.93125,-18.533
2.73,-0.8875,-18.033
2.74,-0.83125,-17.333
2.75,-0.7625,-16.467
2.76,-0.68125,-15.5
2.77,-0.5875,-14.467
2.78,-0.4875,-13.333
2.79,-0.38125,-12.167
2.8,-0.275,-11.033
2.81,-0.16875,-9.9333
2.82,-0.0625,-8.8333
2.83,0.04375,-7.7667
2.84,0.15,-6.7
2.85,0.25,-5.6667
2.86,0.35,-4.5667
2.87,0.45,-3.4333
2.88,0.55,-2.2333
2.89,0.65,-0.96667
2.9,0.75,0.33333
2.91,0.85,1.6333
2.92,0.94375,2.9333
2.93,1.0313,4.2667
2.94,1.1125,5.6333
2.95,1.1875,7.0667
2.96,1.2563,8.5
2.97,1.3125,9.9333
2.98,1.3625,11.333
2.99,1.4063,12.667
3,1.45,13.867
3.01,1.4875,15
3.02,1.5188,15.933
3.03,1.5437,16.7
3.04,1.5625,17.3
3.05,1.5813,17.8
3.06,1.5938,18.2
3.07,1.6,18.533
3.08,1.6062,18.733
3.09,1.6125,18.933
3.1,1.6187,19.133
3.11,1.625,19.333
3.12,1.6313,19.667
3.13,1.6375,19.967
3.14,1.6438,20.3
3.15,1.65,20.6
3.16,1.65,20.867
3.17,1.6438,21.1
3.18,1.6313,21.267
3.19,1.6125,21.333
3.2,1.5875,21.267
3.21,1.5562,21.1
3.22,1.5188,20.867
3.23,1.475,20.5
3.24,1.425,20.067
3.25,1.375,19.533
3.26,1.325,18.967
3.27,1.275,18.367
3.28,1.2188,17.733
3.29,1.1563,17.133
3.3,1.0875,16.533
3.31,1.0125,15.9
3.32,0.93125,15.267
3.33,0.84375,14.6
3.34,0.75,13.867
3.35,0.64375,13.033
3.36,0.53125,12.133
3.37,0.41875,11.133
3.38,0.30625,10.067
3.39,0.19375,8.9
3.4,0.08125,7.7
3.41,-0.025,6.4667
3.42,-0.125,5.0667
3.43,-0.2125,3.7
3.44,-0.2875,2.3
3.45,-0.35625,0.9
3.46,-0.425,-0.53333
3.47,-0.49375,-2.0667
3.48,-0.5625,-3.6667
3.49,-0.6375,-5.2667
3.5,-0.71875,-6.8667
3.51,-0.80625,-8.4333
3.52,-0.9,-10
3.53,-1,-11.5
3.54,-1.1,-13
3.55,-1.1938,-14.433
3.56,-1.2813,-15.8
3.57,-1.3625,-17.133
3.58,-1.4375,-18.433
3.59,-1.5063,-19.733
3.6,-1.5688,-21
3.61,-1.625,-22.233
3.62,-1.675,-23.433
3.63,-1.725,-24.6
3.64,-1.775,-25.7
3.65,-1.825,-26.733
3.66,-1.8625,-27.633
3.67,-1.8875,-28.367
3.68,-1.9,-28.9
3.69,-1.8938,-29.233
3.7,-1.8687,-29.367
3.71,-1.825,-29.3
3.72,-1.7625,-29.033
3.73,-1.675,-28.6
3.74,-1.5813,-28.067
3.75,-1.4812,-27.433
3.76,-1.375,-26.767
3.77,-1.2688,-26.067
3.78,-1.1625,-25.3
3.79,-1.0562,-24.533
3.8,-0.95,-23.667
3.81,-0.85,-22.7
3.82,-0.75,-21.6
