t,phi,delta
0,0,0
0.01,0.0001462,0.029602
0.02,0.0022659,0.21003
0.03,0.010686,0.62227
0.04,0.031004,1.2804
0.05,0.068851,2.1439
0.06,0.12888,3.1312
0.07,0.21402,4.1344
0.08,0.325,5.0333
0.09,0.4601,5.7091
0.1,0.61517,6.0559
0.11,0.78388,5.9901
0.12,0.95817,5.4578
0.13,1.1289,4.4392
0.14,1.2864,2.9494
0.15,1.4215,1.0376
0.16,1.5256,-1.2168
0.17,1.5915,-3.71
0.18,1.6139,-6.3209
0.19,1.5891,-8.9193
0.2,1.5159,-11.374
0.21,1.3954,-13.558
0.22,1.2309,-15.362
0.23,1.0288,-16.694
0.24,0.79728,-17.486
0.25,0.54655,-17.7
0.26,0.28788,-17.329
0.27,0.032769,-16.396
0.28,-0.20788,-14.953
0.29,-0.42458,-13.081
0.3,-0.60966,-10.879
0.31,-0.75757,-8.4611
0.32,-0.86496,-5.949
0.33,-0.93057,-3.4628
0.34,-0.95512,-1.1147
0.35,-0.94113,0.99684
0.36,-0.89274,2.7922
0.37,-0.81541,4.2137
0.38,-0.71566,5.2274
0.39,-0.60063,5.8234
0.4,-0.47771,6.0148
0.41,-0.35407,5.8355
0.42,-0.23623,5.3366
0.43,-0.12978,4.5824
0.44,-0.039089,3.6461
0.45,0.032841,2.6047
0.46,0.084394,1.534
0.47,0.11533,0.50467
0.48,0.12665,-0.42159
0.49,0.12046,-1.1952
0.5,0.099745,-1.7806
0.51,0.068105,-2.1572
0.52,0.029506,-2.3194
0.53,-0.012007,-2.2762
0.54,-0.052564,-2.0489
0.55,-0.088727,-1.669
0.56,-0.11765,-1.176
0.57,-0.13724,-0.61347
0.58,-0.14619,-0.026751
0.59,-0.14407,0.54048
0.6,-0.13123,1.0487
0.61,-0.10877,1.4648
0.62,-0.078389,1.7636
0.63,-0.04227,1.9294
0.64,-0.0028814,1.9558
0.65,0.037176,1.8458
0.66,0.075372,1.6112
0.67,0.10938,1.2711
0.68,0.13723,0.85026
0.69,0.15741,0.37752
0.7,0.16893,-0.11652
0.71,0.17135,-0.60132
0.72,0.16482,-1.0484
0.73,0.14998,-1.4328
0.74,0.12795,-1.7345
0.75,0.10022,-1.9396
0.76,0.068532,-2.0403
0.77,0.034774,-2.0355
0.78,0.00086633,-1.9302
0.79,-0.031361,-1.7353
0.8,-0.060276,-1.4658
0.81,-0.084522,-1.1407
0.82,-0.10308,-0.78086
0.83,-0.11532,-0.40799
0.84,-0.12099,-0.043294
0.85,-0.12024,0.29377
0.86,-0.11355,0.58653
0.87,-0.10173,0.82191
0.88,-0.08581,0.99095
0.89,-0.066979,1.0891
0.9,-0.046519,1.1162
0.91,-0.02571,1.0762
0.92,-0.0057607,0.9767
0.93,0.01226,0.82815
0.94,0.027475,0.64319
0.95,0.039236,0.43569
0.96,0.047148,0.21983
0.97,0.051076,0.0092887
0.98,0.05113,-0.18359
0.99,0.047646,-0.34841
1,0.041148,-0.47721
1.01,0.032304,-0.56479
1.02,0.021875,-0.60882
1.03,0.010663,-0.60979
1.04,-0.00054006,-0.57081
1.05,-0.010999,-0.49718
1.06,-0.020082,-0.39602
1.07,-0.027283,-0.27561
1.08,-0.032254,-0.14488
1.09,-0.034805,-0.012812
1.1,-0.034915,0.11215
1.11,-0.032716,0.22254
1.12,-0.028478,0.31227
1.13,-0.022581,0.37693
1.14,-0.015486,0.41394
1.15,-0.0077031,0.42256
1.16,0.00024678,0.40389
1.17,0.0078602,0.36061
1.18,0.014686,0.29677
1.19,0.020346,0.21743
1.2,0.024554,0.1283
1.21,0.02713,0.035344
1.22,0.028002,-0.055575
1.23,0.027205,-0.13908
1.24,0.024874,-0.21054
1.25,0.021227,-0.26635
1.26,0.016549,-0.30403
1.27,0.011171,-0.32236
1.28,0.0054465,-0.32133
1.29,-0.00027252,-0.30211
1.3,-0.0056526,-0.26687
1.31,-0.010402,-0.21862
1.32,-0.014284,-0.16096
1.33,-0.017125,-0.097823
1.34,-0.018827,-0.033235
1.35,-0.019361,0.02894
1.36,-0.018772,0.085221
1.37,-0.017167,0.13269
1.38,-0.014706,0.16915
1.39,-0.011589,0.19318
1.4,-0.0080424,0.20418
1.41,-0.0043036,0.20238
1.42,-0.0006051,0.18875
1.43,0.0028377,0.1649
1.44,0.0058395,0.13294
1.45,0.0082535,0.095328
1.46,0.0099775,0.054693
1.47,0.010957,0.013676
1.48,0.011187,-0.025233
1.49,0.010706,-0.059838
1.5,0.0095943,-0.088345
1.51,0.0079632,-0.10945
1.52,0.0059487,-0.12237
1.53,0.0037009,-0.12687
1.54,0.0013736,-0.12326
1.55,-0.00088466,-0.11229
1.56,-0.0029394,-0.095116
1.57,-0.0046775,-0.073201
1.58,-0.0060125,-0.048194
1.59,-0.0068882,-0.021824
1.6,-0.0072799,0.0042096
1.61,-0.0071942,0.028335
1.62,-0.0066663,0.049201
1.63,-0.005756,0.065737
1.64,-0.0045429,0.077207
1.65,-0.0031197,0.083226
1.66,-0.0015863,0.083769
1.67,-4.3008e-05,0.07914
1.68,0.0014153,0.06994
1.69,0.0027052,0.057009
1.7,0.0037584,0.04136
1.71,0.0045253,0.02411
1.72,0.0049764,0.0063985
1.73,0.0051035,-0.010674
1.74,0.0049181,-0.026115
1.75,0.0044502,-0.039094
1.76,0.0037446,-0.048978
1.77,0.0028579,-0.055361
1.78,0.0018542,-0.058073
1.79,0.00080043,-0.057176
1.8,-0.0002374,-0.052945
1.81,-0.0011983,-0.045837
1.82,-0.0020298,-0.036455
1.83,-0.0026905,-0.025501
1.84,-0.0031517,-0.013726
1.85,-0.0033984,-0.0018854
1.86,-0.0034295,0.0093109
1.87,-0.0032567,0.019235
1.88,-0.0029032,0.027376
1.89,-0.0024017,0.03336
1.9,-0.0017916,0.036968
1.91,-0.0011161,0.038138
1.92,-0.00041985,0.036954
1.93,0.00025427,0.033641
1.94,0.00086735,0.028534
1.95,0.0013868,0.022055
1.96,0.0017876,0.014681
1.97,0.0020536,0.0069129
1.98,0.0021777,-0.000757
1.99,0.0021617,-0.0078744
2,0.0020157,-0.014047
