v,a,b,c,d
0,-4.155,-3.1645,4.155,3.1645
0.1,-4.1457,-3.2613,4.1276,3.0963
0.2,-4.0873,-3.3994,4.0662,3.0544
0.3,-3.9033,-3.6551,3.9673,3.0419
0.4,-3.811,-3.811,3.8178,3.0719
0.5,-3.8385,-3.8385,3.5534,3.2083
0.6,-3.8617,-3.8617,3.3125,3.3125
0.7,-3.8803,-3.8803,3.2396,3.2396
0.8,-3.8941,-3.8941,3.1619,3.1619
0.9,-3.9028,-3.9028,3.0791,3.0791
1,-3.9061,-3.9061,2.9908,2.9908
1.1,-3.9036,-3.9036,2.8968,2.8968
1.2,-3.8948,-3.8948,2.7964,2.7964
1.3,-3.8791,-3.8791,2.6892,2.6892
1.4,-3.8559,-3.8559,2.5745,2.5745
1.5,-3.8244,-3.8244,2.4515,2.4515
1.6,-3.7837,-3.7837,2.3192,2.3192
1.7,-3.7327,-3.7327,2.1767,2.1767
1.8,-3.6702,-3.6702,2.0226,2.0226
1.9,-3.5945,-3.5945,1.8554,1.8554
2,-3.5042,-3.5042,1.6735,1.6735
2.1,-3.3977,-3.3977,1.4755,1.4755
2.2,-3.2745,-3.2745,1.2608,1.2608
2.3,-3.1367,-3.1367,1.0315,1.0315
2.4,-2.993,-2.993,0.7962,0.7962
2.5,-2.86,-2.86,0.57175,0.57175
2.6,-3.6702,-1.844,0.37728,0.37728
2.7,-3.9997,-1.3855,0.22128,0.22128
2.8,-4.251,-1.0744,0.099817,0.099817
2.9,-4.4669,-0.85084,0.0044341,0.0044341
3,-4.6625,-0.68459,-0.072416,-0.072416
3.1,-4.8452,-0.55741,-0.13618,-0.13618
3.2,-5.0191,-0.4578,-0.19057,-0.19057
3.3,-5.1867,-0.37824,-0.23809,-0.23809
3.4,-5.3496,-0.31365,-0.28045,-0.28045
3.5,-5.509,-0.26049,-0.31886,-0.31886
3.6,-5.6657,-0.21624,-0.35418,-0.35418
3.7,-5.8202,-0.17903,-0.38704,-0.38704
3.8,-5.9731,-0.1475,-0.41791,-0.41791
3.9,-6.1246,-0.12057,-0.44715,-0.44715
4,-6.275,-0.09743,-0.47504,-0.47504
4.1,-6.4245,-0.07744,-0.5018,-0.5018
4.2,-6.5734,-0.060087,-0.5276,-0.5276
4.3,-6.7216,-0.044959,-0.55258,-0.55258
4.4,-6.8694,-0.031722,-0.57685,-0.57685
4.5,-7.0167,-0.020102,-0.6005,-0.6005
4.6,-7.1638,-0.0098721,-0.62362,-0.62362
4.7,-7.3106,-0.00084279,-0.64627,-0.64627
4.8,-7.4572,0.0071443,-0.6685,-0.6685
4.9,-7.6036,0.014223,-0.69037,-0.69037
5,-7.7499,0.020507,-0.7119,-0.7119
5.1,-7.896,0.026094,-0.73313,-0.73313
5.2,-8.0421,0.031065,-0.7541,-0.7541
5.3,-8.1882,0.035494,-0.77483,-0.77483
5.4,-8.3342,0.039442,-0.79534,-0.79534
5.5,-8.4801,0.042963,-0.81565,-0.81565
5.6,-8.6261,0.046104,-0.83578,-0.83578
5.7,-8.772,0.048905,-0.85575,-0.85575
5.8,-8.9179,0.051403,-0.87556,-0.87556
5.9,-9.0639,0.053629,-0.89523,-0.89523
6,-9.2098,0.055611,-0.91477,-0.91477
