t	delta	deltasim
0	0	0
0.05	0.1	0.39956
0.1	2.4	2.1904
0.15	4.3	4.9558
0.2	6.9	7.7256
0.25	9.6	9.7845
0.3	10.8	10.894
0.35	11.2	11.192
0.4	10.9	10.996
0.45	10.5	10.62
0.5	10.1	10.281
0.55	10	10.076
0.6	10	10.009
0.65	10.2	10.037
0.7	10.3	10.105
0.75	10.3	10.172
0.8	10.1	10.215
0.85	10.1	10.233
0.9	10.2	10.231
0.95	10.2	10.22
1	10.2	10.207
1.05	10.1	10.199
1.1	10.2	10.194
1.15	10.2	10.194
1.2	10.2	10.196
1.25	10.2	10.198
1.3	10.2	10.2
1.35	10.2	10.201
1.4	10.2	10.201
1.45	10.2	10.201
1.5	10.2	10.2
1.55	10.2	10.2
