t,phi,delta
0,0,0
0.01,0.0032774,0.77744
0.02,0.026494,2.7748
0.03,0.08424,5.2887
0.04,0.18367,7.7451
0.05,0.32536,9.7167
0.06,0.50439,10.921
0.07,0.71158,11.211
0.08,0.93498,10.555
0.09,1.1615,9.0211
0.1,1.3783,6.749
0.11,1.5738,3.932
0.12,1.7386,0.79377
0.13,1.8657,-2.4318
0.14,1.9506,-5.5183
0.15,1.9917,-8.262
0.16,1.9901,-10.494
0.17,1.9496,-12.09
0.18,1.8768,-12.973
0.19,1.7801,-13.119
0.2,1.6691,-12.552
0.21,1.5538,-11.345
0.22,1.4441,-9.6083
0.23,1.3483,-7.4841
0.24,1.2735,-5.1348
0.25,1.2249,-2.7322
0.26,1.2054,-0.44545
0.27,1.2158,1.5699
0.28,1.2549,3.1821
0.29,1.3191,4.2909
0.3,1.4034,4.8336
0.31,1.5009,4.7878
0.32,1.6041,4.172
0.33,1.705,3.0431
0.34,1.7959,1.4915
0.35,1.8699,-0.36561
0.36,1.9209,-2.3929
0.37,1.9448,-4.4464
0.38,1.9389,-6.383
0.39,1.9024,-8.0707
0.4,1.8366,-9.3963
0.41,1.7447,-10.273
0.42,1.6315,-10.645
0.43,1.5033,-10.492
0.44,1.3671,-9.8278
0.45,1.2304,-8.7001
0.46,1.1004,-7.1865
0.47,0.98346,-5.3889
0.48,0.88512,-3.426
0.49,0.80942,-1.4253
0.5,0.75887,0.48579
0.51,0.73432,2.1882
0.52,0.73493,3.5792
0.53,0.75821,4.5787
0.54,0.80022,5.1343
0.55,0.85587,5.224
0.56,0.91923,4.8567
0.57,0.98404,4.0717
0.58,1.0441,2.9345
0.59,1.0938,1.5327
0.6,1.1281,-0.030625
0.61,1.1434,-1.6443
0.62,1.1374,-3.1961
0.63,1.109,-4.5807
0.64,1.0589,-5.7062
0.65,0.98915,-6.4998
0.66,0.9031,-6.9127
0.67,0.80521,-6.922
0.68,0.70066,-6.5326
0.69,0.59499,-5.7753
0.7,0.49371,-4.7052
0.71,0.40192,-3.3966
0.72,0.32399,-1.9386
0.73,0.2633,-0.42819
0.74,0.2221,1.0361
0.75,0.20131,2.3608
0.76,0.20057,3.4635
0.77,0.21821,4.2782
0.78,0.25142,4.7595
0.79,0.29643,4.8847
0.8,0.34877,4.6552
0.81,0.40363,4.0957
0.82,0.45619,3.2521
0.83,0.50191,2.188
0.84,0.53685,0.98039
0.85,0.5579,-0.28621
