t,phi,delta
0,0,0
0.01,0.0032774,0.77744
0.02,0.026495,2.7752
0.03,0.084261,5.2924
0.04,0.18382,7.7635
0.05,0.32602,9.7772
0.06,0.50654,11.075
0.07,0.71723,11.536
0.08,0.94765,11.157
0.09,1.1866,10.019
0.1,1.4235,8.2677
0.11,1.649,6.0775
0.12,1.8558,3.634
0.13,2.0385,1.1134
0.14,2.1937,-1.331
0.15,2.3198,-3.577
0.16,2.4168,-5.5371
0.17,2.4858,-7.1586
0.18,2.529,-8.4204
0.19,2.5493,-9.3283
0.2,2.5497,-9.9085
0.21,2.5337,-10.201
0.22,2.5042,-10.255
0.23,2.464,-10.121
0.24,2.4154,-9.8486
0.25,2.3605,-9.4823
0.26,2.3007,-9.0597
0.27,2.237,-8.6106
0.28,2.1702,-8.1568
0.29,2.1009,-7.7126
0.3,2.0294,-7.2859
0.31,1.9561,-6.8795
0.32,1.881,-6.4924
0.33,1.8045,-6.1215
0.34,1.7267,-5.7622
0.35,1.6479,-5.41
0.36,1.5685,-5.0607
0.37,1.4889,-4.7114
0.38,1.4094,-4.3601
0.39,1.3304,-4.0065
0.4,1.2524,-3.6513
0.41,1.1758,-3.2962
0.42,1.101,-2.9439
0.43,1.0282,-2.5971
0.44,0.95788,-2.2592
0.45,0.8902,-1.9332
0.46,0.82537,-1.6218
0.47,0.76355,-1.3275
0.48,0.70483,-1.0521
0.49,0.64926,-0.79689
0.5,0.59687,-0.56267
0.51,0.54762,-0.3497
0.52,0.50149,-0.15777
0.53,0.45841,0.013665
0.54,0.41829,0.16543
0.55,0.38104,0.29855
0.56,0.34656,0.41417
0.57,0.31474,0.51351
0.58,0.28547,0.59776
0.59,0.25863,0.66812
0.6,0.23411,0.72572
0.61,0.21179,0.77162
0.62,0.19155,0.8068
0.63,0.17327,0.83219
0.64,0.15684,0.84863
0.65,0.14214,0.85693
0.66,0.12905,0.85783
0.67,0.11746,0.85206
0.68,0.10726,0.84029
0.69,0.098335,0.82319
0.7,0.090577,0.80139
0.71,0.083882,0.77551
0.72,0.07815,0.74615
0.73,0.073283,0.71389
0.74,0.06919,0.67928
0.75,0.065783,0.64284
0.76,0.06298,0.60505
0.77,0.060704,0.56639
0.78,0.058883,0.52727
0.79,0.057452,0.48806
0.8,0.056349,0.44911
0.81,0.055518,0.41073
0.82,0.054911,0.37318
0.83,0.054479,0.33668
0.84,0.054184,0.30143
0.85,0.053988,0.26758
