t,phi,delta
0,-0.8,-4
0.1,-0.8,-4
0.2,-0.8,-4
0.3,-0.74,-4
0.4,-0.62,-3.6667
0.5,-0.44,-3
0.6,-0.2,-2
0.7,0.1,-0.66667
0.8,0.4,1
0.9,0.7,2.6667
1,0.94,4
1.1,1.1057,5
1.2,1.16,5.6
1.3,1.1229,5.5333
1.4,0.97429,5
1.5,0.74857,4.2
1.6,0.47143,2.8667
1.7,0.20857,1.2
1.8,-0.014286,-0.2
1.9,-0.10857,-1
2,-0.077143,-1.0667
2.1,0.12,-0.13333
2.2,0.49429,2.2
2.3,0.96286,5.5333
2.4,1.36,8.8
2.5,1.6657,11.133
2.6,1.7771,12.267
2.7,1.6857,11.667
2.8,1.4171,9.4
2.9,1.0743,6.0667
3,0.73714,3
3.1,0.54,1.0667
3.2,0.50571,0.46667
3.3,0.61143,1.6
3.4,0.83714,3.6
3.5,1.1343,6
3.6,1.4071,8
3.7,1.5719,9.4667
3.8,1.6906,9.6444
3.9,1.7207,9.5733
4,1.7258,9.3667
