t,phi,delta
0,0,0
0.01,0.0032774,0.77743
0.02,0.026493,2.7746
0.03,0.084228,5.2867
0.04,0.18359,7.7362
0.05,0.32504,9.6893
0.06,0.50342,10.856
0.07,0.70916,11.08
0.08,0.92981,10.326
0.09,1.1516,8.6539
0.1,1.3611,6.2044
0.11,1.5458,3.1711
0.12,1.6957,-0.22022
0.13,1.8027,-3.7326
0.14,1.8613,-7.1365
0.15,1.8688,-10.225
0.16,1.825,-12.827
0.17,1.7328,-14.813
0.18,1.5975,-16.098
0.19,1.4268,-16.647
0.2,1.2299,-16.47
0.21,1.0167,-15.616
0.22,0.79725,-14.17
0.23,0.58085,-12.245
0.24,0.37557,-9.9699
0.25,0.18802,-7.4848
0.26,0.023206,-4.9293
0.27,-0.11549,-2.4354
0.28,-0.22627,-0.11975
0.29,-0.30885,1.9214
0.3,-0.36436,3.616
0.31,-0.39513,4.9181
0.32,-0.40453,5.8079
0.33,-0.39662,6.2901
0.34,-0.37592,6.3912
0.35,-0.34702,6.1558
0.36,-0.31435,5.642
0.37,-0.2819,4.9171
0.38,-0.25304,4.0524
0.39,-0.2304,3.119
0.4,-0.21582,2.1836
0.41,-0.21031,1.3052
0.42,-0.21412,0.53263
0.43,-0.22679,-0.097492
0.44,-0.24726,-0.56129
0.45,-0.274,-0.84776
0.46,-0.30516,-0.95798
0.47,-0.3387,-0.90377
0.48,-0.37258,-0.70583
0.49,-0.40482,-0.39155
0.5,-0.43368,0.0073353
0.51,-0.45771,0.45706
0.52,-0.47581,0.92407
0.53,-0.48727,1.377
0.54,-0.49181,1.7882
0.55,-0.48949,2.1353
0.56,-0.48074,2.4016
0.57,-0.46626,2.5767
0.58,-0.44701,2.6566
0.59,-0.42407,2.643
0.6,-0.39862,2.5429
0.61,-0.37182,2.3675
0.62,-0.34481,2.1312
0.63,-0.31859,1.8507
0.64,-0.29402,1.5432
0.65,-0.27174,1.226
0.66,-0.25224,0.91523
0.67,-0.23577,0.62503
0.68,-0.22238,0.36698
0.69,-0.21199,0.1497
0.7,-0.2043,-0.021309
0.71,-0.19896,-0.14368
0.72,-0.19549,-0.21799
0.73,-0.19338,-0.2474
0.74,-0.19213,-0.23722
0.75,-0.19123,-0.19436
0.76,-0.19024,-0.12678
0.77,-0.18878,-0.042905
