w,mag
0.1,20.746
0.11514,19.536
0.13257,18.33
0.15264,17.131
0.17575,15.939
0.20236,14.758
0.233,13.591
0.26827,12.44
0.30888,11.313
0.35565,10.213
0.40949,9.1496
0.47149,8.13
0.54287,7.1639
0.62506,6.2611
0.71969,5.4314
0.82864,4.6836
0.9541,4.0247
1.0985,3.459
1.2649,2.9879
1.4563,2.6096
1.6768,2.3201
1.9307,2.1133
2.223,1.9819
2.5595,1.9174
2.9471,1.9097
3.3932,1.9467
3.9069,2.0131
4.4984,2.0899
5.1795,2.1538
5.9636,2.1783
6.8665,2.135
7.906,1.9967
9.103,1.7403
10.481,1.3501
12.068,0.81996
13.895,0.15497
15.999,-0.63006
18.421,-1.5159
21.21,-2.4959
24.421,-3.624
28.118,-5.1217
32.375,-7.4713
37.276,-11.094
42.919,-15.761
49.417,-20.903
56.899,-26.155
65.513,-31.381
75.431,-36.548
86.851,-41.656
100,-46.714
