t,true,estimate
0,0,0
0.01,0.0021639,0.0019888
0.02,0.017325,0.020671
0.03,0.054566,0.040634
0.04,0.11787,0.093711
0.05,0.20694,0.16925
0.06,0.31814,0.26649
0.07,0.44544,0.38133
0.08,0.58152,0.51563
0.09,0.71874,0.65978
0.1,0.84997,0.80173
0.11,0.96915,0.9369
0.12,1.0715,1.0584
0.13,1.1537,1.1583
0.14,1.2135,1.2437
0.15,1.2501,1.2975
0.16,1.2632,1.3175
0.17,1.2539,1.3154
0.18,1.2236,1.3086
0.19,1.1743,1.2717
0.2,1.1082,1.2116
0.21,1.0279,1.135
0.22,0.93582,1.045
0.23,0.8344,0.94492
0.24,0.72589,0.836
0.25,0.6123,0.72178
0.26,0.49548,0.61203
0.27,0.37704,0.49323
0.28,0.25843,0.37851
0.29,0.14094,0.262
0.3,0.025729,0.14427
0.31,-0.086136,0.023774
0.32,-0.19367,-0.093255
0.33,-0.29595,-0.20451
0.34,-0.39212,-0.31546
0.35,-0.48139,-0.40276
0.36,-0.56302,-0.4863
0.37,-0.63633,-0.57122
0.38,-0.70075,-0.65054
0.39,-0.75576,-0.71669
0.4,-0.80095,-0.76769
0.41,-0.83604,-0.81314
0.42,-0.86081,-0.85425
0.43,-0.87521,-0.8837
0.44,-0.87927,-0.89763
0.45,-0.87317,-0.89391
0.46,-0.8572,-0.88514
0.47,-0.83177,-0.86197
0.48,-0.79739,-0.83617
0.49,-0.7547,-0.79976
0.5,-0.7044,-0.75382
0.51,-0.64729,-0.70947
0.52,-0.58422,-0.66308
0.53,-0.5161,-0.59732
0.54,-0.44387,-0.52742
0.55,-0.36851,-0.44663
0.56,-0.29098,-0.36827
0.57,-0.21225,-0.29049
0.58,-0.13328,-0.2128
0.59,-0.054979,-0.12893
0.6,0.021767,-0.045764
0.61,0.096124,0.03756
0.62,0.16731,0.12439
0.63,0.23461,0.20163
0.64,0.29737,0.26148
0.65,0.35501,0.3243
0.66,0.40702,0.39019
0.67,0.45297,0.43828
0.68,0.4925,0.48339
0.69,0.52534,0.51456
0.7,0.5513,0.54762
0.71,0.57027,0.57041
0.72,0.58221,0.57983
0.73,0.58718,0.59231
0.74,0.58531,0.60755
0.75,0.57679,0.60947
0.76,0.56189,0.59928
0.77,0.54097,0.59911
0.78,0.51441,0.57543
0.79,0.48267,0.55281
0.8,0.44626,0.52417
0.81,0.40571,0.49068
0.82,0.36163,0.44943
0.83,0.31459,0.3965
0.84,0.26524,0.35018
0.85,0.2142,0.30071
0.86,0.1621,0.24081
0.87,0.10957,0.20097
0.88,0.057228,0.15754
0.89,0.0056628,0.10581
0.9,-0.044557,0.047389
0.91,-0.092897,-0.0079382
0.92,-0.13886,-0.059321
0.93,-0.18198,-0.1063
0.94,-0.22186,-0.15448
0.95,-0.25813,-0.20006
0.96,-0.29048,-0.23999
0.97,-0.31864,-0.2776
0.98,-0.34241,-0.30021
0.99,-0.36164,-0.32763
1,-0.37624,-0.34366
1.01,-0.38615,-0.34578
1.02,-0.3914,-0.35813
1.03,-0.39205,-0.36034
1.04,-0.38821,-0.36295
1.05,-0.38006,-0.35978
1.06,-0.36779,-0.35803
1.07,-0.35165,-0.33641
1.08,-0.33195,-0.31727
1.09,-0.30899,-0.29669
1.1,-0.28313,-0.27244
1.11,-0.25474,-0.24606
1.12,-0.22422,-0.22208
1.13,-0.19197,-0.19179
1.14,-0.15841,-0.15293
1.15,-0.12396,-0.10602
1.16,-0.089029,-0.068179
1.17,-0.054039,-0.04465
1.18,-0.019385,-0.0030187
1.19,0.014545,0.032752
1.2,0.047386,0.074722
1.21,0.078794,0.11449
1.22,0.10845,0.14677
1.23,0.13607,0.17261
1.24,0.16139,0.20729
1.25,0.18418,0.22964
1.26,0.20427,0.24877
1.27,0.22148,0.27363
1.28,0.23571,0.29361
1.29,0.24688,0.29975
1.3,0.25493,0.30852
1.31,0.25987,0.3152
1.32,0.26171,0.31887
1.33,0.26053,0.32206
1.34,0.25642,0.31323
1.35,0.2495,0.30517
1.36,0.23992,0.28971
1.37,0.22788,0.28229
1.38,0.21357,0.27632
1.39,0.19721,0.26129
1.4,0.17906,0.24617
1.41,0.15936,0.23125
1.42,0.13838,0.21398
1.43,0.11639,0.19588
1.44,0.093681,0.17266
1.45,0.07052,0.15141
1.46,0.047186,0.1212
1.47,0.023949,0.098915
1.48,0.0010711,0.081892
1.49,-0.021197,0.058611
1.5,-0.042619,0.035959
1.51,-0.062975,0.024489
1.52,-0.082062,0.0043582
1.53,-0.099698,-0.013942
1.54,-0.11572,-0.027592
1.55,-0.12999,-0.047702
1.56,-0.1424,-0.061135
1.57,-0.15286,-0.067283
1.58,-0.16129,-0.074422
1.59,-0.16766,-0.081092
1.6,-0.17195,-0.095562
1.61,-0.17417,-0.10683
1.62,-0.17435,-0.12069
1.63,-0.17254,-0.12764
1.64,-0.16882,-0.12479
1.65,-0.16328,-0.12088
1.66,-0.15604,-0.12005
1.67,-0.14721,-0.10029
1.68,-0.13695,-0.092217
1.69,-0.12542,-0.08126
1.7,-0.11277,-0.069154
1.71,-0.099175,-0.05504
1.72,-0.084826,-0.036172
1.73,-0.069902,-0.032632
1.74,-0.054588,-0.027136
1.75,-0.039069,-0.021869
1.76,-0.023528,-0.005495
1.77,-0.0081404,0.01043
1.78,0.0069216,0.026075
1.79,0.021496,0.041775
1.8,0.03543,0.06263
1.81,0.048584,0.075721
1.82,0.060828,0.080217
1.83,0.072049,0.085637
1.84,0.082146,0.089776
1.85,0.091036,0.091679
1.86,0.09865,0.099694
1.87,0.10494,0.098819
1.88,0.10986,0.10226
1.89,0.1134,0.11381
1.9,0.11556,0.11159
1.91,0.11634,0.11064
1.92,0.11578,0.10544
1.93,0.11392,0.097656
1.94,0.11082,0.10195
1.95,0.10654,0.095968
1.96,0.10116,0.084409
1.97,0.094781,0.071438
1.98,0.087497,0.05949
1.99,0.079416,0.052032
2,0.070652,0.038998
2.01,0.061322,0.035061
2.02,0.051549,0.024778
2.03,0.041454,0.016125
2.04,0.031163,-0.0006301
2.05,0.020796,-0.014968
2.06,0.010475,-0.024541
2.07,0.00031446,-0.03944
2.08,-0.0095738,-0.054742
2.09,-0.019085,-0.066198
2.1,-0.028121,-0.076412
2.11,-0.036593,-0.092665
2.12,-0.044418,-0.10135
2.13,-0.051527,-0.10241
2.14,-0.057857,-0.099581
2.15,-0.063358,-0.1132
2.16,-0.067989,-0.11156
2.17,-0.071723,-0.10636
2.18,-0.074539,-0.10635
2.19,-0.076433,-0.11303
2.2,-0.077406,-0.11202
2.21,-0.077474,-0.1116
2.22,-0.076659,-0.11768
2.23,-0.074994,-0.1197
2.24,-0.072523,-0.12047
2.25,-0.069295,-0.11445
2.26,-0.065366,-0.10988
2.27,-0.060801,-0.11045
2.28,-0.055669,-0.10024
2.29,-0.050044,-0.087771
2.3,-0.044002,-0.08031
2.31,-0.037624,-0.070755
2.32,-0.030992,-0.061815
2.33,-0.024187,-0.054089
2.34,-0.017292,-0.056142
2.35,-0.010388,-0.044259
2.36,-0.0035524,-0.041861
2.37,0.0031376,-0.03709
2.38,0.0096104,-0.026887
2.39,0.015798,-0.013274
2.4,0.021639,-0.01361
2.41,0.027075,-0.010887
2.42,0.032056,-0.013538
2.43,0.036538,-0.0031322
2.44,0.040483,0.0010156
2.45,0.04386,0.0013655
2.46,0.046648,-0.0073308
2.47,0.04883,-0.013409
2.48,0.050398,-0.015591
2.49,0.05135,-0.006548
2.5,0.051694,-0.0052114
2.51,0.05144,-0.0066633
2.52,0.050609,-0.0061767
2.53,0.049225,-0.0078306
2.54,0.047319,-0.0087553
2.55,0.044927,-0.0071917
2.56,0.04209,-0.0088549
2.57,0.038851,-0.0082341
2.58,0.035258,-0.011856
2.59,0.031363,-0.01876
2.6,0.027216,-0.017583
2.61,0.022873,-0.019332
2.62,0.018387,-0.027806
2.63,0.013815,-0.03768
2.64,0.0092092,-0.033115
2.65,0.004624,-0.034614
2.66,0.00011054,-0.051809
2.67,-0.0042817,-0.059936
2.68,-0.0085061,-0.059431
2.69,-0.012519,-0.060984
2.7,-0.016281,-0.068041
2.71,-0.019756,-0.071111
2.72,-0.022912,-0.086025
2.73,-0.025722,-0.087171
2.74,-0.028164,-0.084429
2.75,-0.030219,-0.08951
2.76,-0.031875,-0.090637
2.77,-0.033124,-0.083237
2.78,-0.033963,-0.085498
2.79,-0.034393,-0.082592
2.8,-0.03442,-0.081974
2.81,-0.034056,-0.0807
2.82,-0.033314,-0.06603
2.83,-0.032214,-0.055281
2.84,-0.030778,-0.056961
2.85,-0.029031,-0.061395
2.86,-0.027001,-0.067812
2.87,-0.02472,-0.064445
2.88,-0.02222,-0.053136
2.89,-0.019535,-0.052582
2.9,-0.0167,-0.052279
2.91,-0.013753,-0.045189
2.92,-0.01073,-0.037833
2.93,-0.0076663,-0.029121
2.94,-0.0045989,-0.02181
2.95,-0.0015625,-0.01849
2.96,0.0014093,-0.017231
2.97,0.0042845,-0.017546
2.98,0.0070329,-0.015052
2.99,0.0096269,-0.016575
3,0.012041,-0.014334
3.01,0.014253,-0.015012
3.02,0.016243,-0.018654
3.03,0.017994,-0.01565
3.04,0.019494,-0.0092773
3.05,0.020731,0.0052976
3.06,0.021699,0.014702
3.07,0.022394,0.010122
3.08,0.022816,0.013604
3.09,0.022967,0.0041663
3.1,0.022853,0.001611
3.11,0.022482,0.00048474
3.12,0.021866,0.0010453
3.13,0.021018,0.003843
3.14,0.019955,0.0067362
3.15,0.018693,0.0046771
3.16,0.017254,0.0069547
3.17,0.015657,0.0055486
3.18,0.013925,0.00092854
3.19,0.012083,-0.0022667
3.2,0.010153,-0.01434
3.21,0.0081597,-0.013575
3.22,0.0061281,-0.014908
3.23,0.0040819,-0.010119
3.24,0.0020449,-0.011667
3.25,3.9883e-05,-0.026879
3.26,-0.0019112,-0.02607
3.27,-0.0037876,-0.027698
3.28,-0.0055701,-0.022015
3.29,-0.0072409,-0.020369
3.3,-0.0087841,-0.027645
3.31,-0.010186,-0.035527
3.32,-0.011433,-0.035634
3.33,-0.012517,-0.031961
3.34,-0.01343,-0.032868
3.35,-0.014165,-0.034395
3.36,-0.014719,-0.036176
3.37,-0.01509,-0.041367
