t,phi,delta,deltasim
0,0,0,0.01681
0.01,0,0,0.041524
0.02,0.07162,0,0.082634
0.03,0.12732,0,0.14325
0.04,0.17189,0.090909,0.22468
0.05,0.20835,0.16667,0.32683
0.06,0.23873,0.30769,0.44783
0.07,0.28648,0.5,0.63065
0.08,0.38197,0.78571,0.85538
0.09,0.47746,1.2143,1.134
0.1,0.62071,1.7143,1.487
0.11,0.81169,2.3571,1.9432
0.12,1.0027,3.2143,2.5347
0.13,1.1937,4.2143,3.2913
0.14,1.3369,5.4286,4.234
0.15,1.4801,6.7857,5.3697
0.16,1.5756,8.2143,6.6882
0.17,1.6711,9.7143,8.1612
0.18,1.7189,11.071,9.7427
0.19,1.7666,12.429,11.375
0.2,1.7666,13.714,12.994
0.21,1.7666,14.929,14.54
0.22,1.7189,16.071,15.955
0.23,1.6234,17.071,17.189
0.24,1.5279,18,18.201
0.25,1.4324,18.786,18.957
0.26,1.3369,19.357,19.437
0.27,1.2414,19.786,19.635
0.28,1.1936,20,19.558
0.29,1.1459,20.071,19.227
0.3,1.0982,20.071,18.678
0.31,1.0504,20,17.959
0.32,1.0027,20,17.126
0.33,0.95492,20,16.235
0.34,0.85943,20,15.332
0.35,0.76394,19.929,14.448
0.36,0.66845,19.786,13.596
0.37,0.52521,19.5,12.771
0.38,0.38197,19.071,11.95
0.39,0.19098,18.429,11.102
0.4,1.6667e-06,17.643,10.189
0.41,-0.19098,16.643,9.1777
0.42,-0.33422,15.5,8.0412
0.43,-0.47746,14.143,6.7643
0.44,-0.66845,12.643,5.3422
0.45,-0.85944,10.929,3.7821
0.46,-0.95493,9.0714,2.1025
0.47,-1.0504,7.0714,0.33168
0.48,-1.1459,4.9286,-1.4941
0.49,-1.1937,2.7857,-3.3336
0.5,-1.2414,0.57143,-5.1421
0.51,-1.2414,-1.5,-6.8737
0.52,-1.2414,-3.4286,-8.4848
0.53,-1.2414,-5.1429,-9.9379
0.54,-1.2414,-6.7143,-11.206
