t,phi,delta
0,0.65,0.33333
0.01,0.54167,0.28571
0.02,0.46429,0.25
0.03,0.40625,0.22222
0.04,0.21875,0
0.05,0.0625,0
0.06,-0.09375,-0.11111
0.07,-0.1875,-0.33333
0.08,-0.3125,-0.77778
0.09,-0.46875,-1.4444
0.1,-0.65625,-2.3333
0.11,-0.875,-3.4444
0.12,-1.125,-4.7778
0.13,-1.3438,-6.4444
0.14,-1.5313,-8.3333
0.15,-1.6875,-10.444
0.16,-1.8125,-12.667
0.17,-1.9063,-15
0.18,-1.9688,-17.222
0.19,-1.9688,-19.111
0.2,-1.9063,-20.667
0.21,-1.8125,-22
0.22,-1.7188,-22.889
0.23,-1.6563,-23.556
0.24,-1.5938,-23.778
0.25,-1.5313,-23.778
0.26,-1.4375,-23.333
0.27,-1.3125,-22.667
0.28,-1.1875,-22
0.29,-1.0625,-21.111
0.3,-0.90625,-19.889
0.31,-0.6875,-18.444
0.32,-0.4375,-16.778
0.33,-0.15625,-14.889
0.34,0.09375,-12.667
0.35,0.25,-10.222
0.36,0.34375,-7.6667
0.37,0.375,-5.2222
0.38,0.34375,-3.1111
0.39,0.25,-1.4444
0.4,0.09375,-0.22222
0.41,-0.125,0.55556
0.42,-0.34375,0.88889
0.43,-0.53125,0.77778
0.44,-0.65625,0.22222
0.45,-0.71875,-0.55556
0.46,-0.71875,-1.2222
0.47,-0.65625,-1.7778
0.48,-0.5625,-2.1111
0.49,-0.40625,-2.2222
0.5,-0.21875,-2
0.51,-0.03125,-1.4444
0.52,0.125,-0.66667
0.53,0.21875,0.33333
0.54,0.25,1.3333
0.55,0.21875,2.1111
0.56,0.15625,2.5556
0.57,0.03125,2.7778
0.58,-0.15625,2.7778
0.59,-0.34375,2.5556
0.6,-0.53125,1.8889
0.61,-0.65625,1
0.62,-0.71875,0.11111
0.63,-0.71875,-0.77778
0.64,-0.65625,-1.4444
0.65,-0.5625,-1.6667
0.66,-0.40625,-1.6667
0.67,-0.25,-1.4444
0.68,-0.09375,-1
0.69,0.03125,-0.22222
0.7,0.09375,0.77778
0.71,0.125,1.6667
0.72,0.125,2.5556
0.73,0.09375,3.2222
0.74,0,3.5556
0.75,-0.125,3.5556
0.76,-0.28125,3.3333
0.77,-0.4375,2.7778
0.78,-0.5625,2.1111
0.79,-0.65625,1.1111
0.8,-0.71875,0.11111
0.81,-0.71875,-0.88889
0.82,-0.65625,-1.6667
0.83,-0.5625,-2.1111
0.84,-0.4375,-2.2222
0.85,-0.3125,-2.1111
0.86,-0.1875,-1.6667
0.87,-0.09375,-1.1111
0.88,-0.03125,-0.22222
0.89,0,0.66667
0.9,0,1.3333
0.91,0,1.7778
0.92,-0.03125,2
0.93,-0.09375,1.8889
0.94,-0.1875,1.5556
0.95,-0.28125,1.1111
0.96,-0.34375,0.44444
0.97,-0.375,-0.33333
0.98,-0.375,-1.1111
0.99,-0.375,-1.6667
1,-0.34375,-2.1111
1.01,-0.28125,-2.4444
1.02,-0.1875,-2.4444
1.03,-0.09375,-2.2222
1.04,-0.03125,-1.8889
1.05,0,-1.3333
1.06,0,-0.66667
1.07,0,0.11111
1.08,0,0.88889
1.09,0,1.7778
1.1,0,2.5556
1.11,0,3.1111
1.12,0,3.4444
1.13,0,3.5556
1.14,0,3.5556
1.15,0,3.3333
1.16,0,2.8889
1.17,0,2.4444
1.18,0,1.8889
1.19,0,1.4444
1.2,0,1.1111
1.21,0.03125,1
1.22,0.09375,1.2222
1.23,0.1875,1.4444
1.24,0.3125,2
1.25,0.4375,2.7778
1.26,0.53125,3.6667
1.27,0.59375,4.5556
1.28,0.625,5.3333
1.29,0.59375,6.1111
1.3,0.53125,6.6667
