t	u	p1	p2	p5
0	10	0	0	0
0.01	10	0.1	0.1	0.1
0.02	10	0.5	0.7	0.6
0.03	10	1.1	1.3	1.1
0.04	10	1.7	1.9	1.8
0.05	10	2.5	2.7	2.5
0.06	10	3.1	3.5	3.2
0.07	10	3.8	4.4	4
0.08	10	4.4	5.3	4.8
0.09	10	5.1	6.3	5.7
0.1	10	5.7	7.3	6.6
0.11	10	6.3	8.1	7.5
0.12	10	7.1	8.9	8.5
0.13	10	7.4	9.5	9.4
0.14	10	7.5	10	10.4
0.15	10	7.7	10.2	11
0.16	10	8	10.2	11.2
0.17	10	8.3	10.2	11
0.18	10	8.5	10.1	10.7
0.19	10	8.7	10.1	10.3
0.2	10	8.8	10.1	10
0.21	10	9	10.1	9.8
0.22	10	9.1	10	9.7
0.23	10	9.2	10	9.8
0.24	10	9.3	10	9.9
0.25	10	9.3	10	10
0.26	10	9.3	10	10
0.27	10	9.4	10	10
0.28	10	9.4	10	10
0.29	10	9.5	10	10
0.3	10	9.5	10	10
