t,phi1,u1,phi2,u2
0,0,0,0,0
0.01,0.99286,1.8703,-2.563,6.9688
0.02,1.9645,9.646,-5.0332,29.907
0.03,2.8067,19.627,-6.9595,57.286
0.04,3.48,30.379,-7.0455,80.548
0.05,3.9425,40.772,-2.9514,76.897
0.06,4.1462,49.821,-2.1537,60.568
0.07,4.0515,56.611,-2.3449,51.266
0.08,3.6718,60.421,-2.7517,48.682
0.09,3.1199,61.082,-3.1513,50.21
0.1,2.561,59.231,-3.4357,53.513
0.11,2.1033,55.991,-3.5508,56.83
0.12,1.7708,52.391,-3.4954,59.031
0.13,1.5433,49.07,-3.3232,59.673
0.14,1.3909,46.307,-3.1141,58.964
0.15,1.2872,44.144,-2.9285,57.474
0.16,1.212,42.501,-2.7895,55.769
0.17,1.151,41.253,-2.6942,54.209
0.18,1.0951,40.27,-2.6294,52.934
0.19,1.0387,39.436,-2.5814,51.936
0.2,0.97922,38.663,-2.5398,51.14
0.21,0.91578,37.889,-2.4985,50.457
0.22,0.84887,37.077,-2.4547,49.815
0.23,0.77958,36.205,-2.4078,49.166
0.24,0.70925,35.27,-2.3585,48.485
0.25,0.63919,34.276,-2.3082,47.769
0.26,0.57053,33.232,-2.2578,47.022
0.27,0.50416,32.149,-2.2084,46.254
0.28,0.4407,31.041,-2.1603,45.476
0.29,0.38057,29.918,-2.1138,44.695
0.3,0.32397,28.791,-2.069,43.919
0.31,0.27099,27.667,-2.0256,43.15
0.32,0.22159,26.553,-1.9836,42.391
0.33,0.17569,25.454,-1.9428,41.641
0.34,0.13314,24.372,-1.9029,40.901
0.35,0.09379,23.312,-1.864,40.169
0.36,0.057484,22.275,-1.8259,39.445
0.37,0.024058,21.262,-1.7885,38.729
0.38,-0.0066419,20.274,-1.7519,38.021
0.39,-0.034761,19.313,-1.7158,37.32
0.4,-0.060434,18.377,-1.6805,36.626
0.41,-0.083787,17.469,-1.6457,35.939
0.42,-0.10494,16.588,-1.6115,35.259
0.43,-0.12399,15.735,-1.578,34.588
0.44,-0.14106,14.91,-1.545,33.924
0.45,-0.15623,14.113,-1.5126,33.268
0.46,-0.16961,13.344,-1.4808,32.62
0.47,-0.18128,12.603,-1.4496,31.98
0.48,-0.19134,11.891,-1.4189,31.348
0.49,-0.19986,11.206,-1.3887,30.725
0.5,-0.20694,10.551,-1.3591,30.111
0.51,-0.21267,9.9226,-1.33,29.505
0.52,-0.21712,9.3224,-1.3014,28.908
0.53,-0.22038,8.7496,-1.2734,28.32
0.54,-0.22253,8.2037,-1.2458,27.74
0.55,-0.22366,7.6844,-1.2188,27.169
0.56,-0.22383,7.191,-1.1923,26.607
0.57,-0.22314,6.723,-1.1662,26.054
0.58,-0.22166,6.2797,-1.1407,25.51
0.59,-0.21946,5.8604,-1.1156,24.974
0.6,-0.21661,5.4645,-1.091,24.447
0.61,-0.21318,5.0911,-1.0669,23.93
0.62,-0.20925,4.7393,-1.0432,23.421
0.63,-0.20486,4.4085,-1.02,22.92
0.64,-0.2001,4.0978,-0.99729,22.429
0.65,-0.195,3.8062,-0.975,21.946
0.66,-0.18963,3.533,-0.95315,21.472
0.67,-0.18403,3.2773,-0.93175,21.006
0.68,-0.17826,3.0382,-0.91077,20.549
0.69,-0.17236,2.8149,-0.89022,20.1
0.7,-0.16636,2.6065,-0.87009,19.66
0.71,-0.16031,2.4124,-0.85038,19.228
0.72,-0.15424,2.2315,-0.83108,18.804
0.73,-0.14817,2.0633,-0.81218,18.388
0.74,-0.14214,1.9069,-0.79367,17.981
0.75,-0.13617,1.7617,-0.77556,17.581
